target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop2_penalty_axes,gate_only,production_scoring_changed
PLATFORM_SOFTWARE_INTERNET,portal_or_messenger_growth|commerce_platform_growth|ad_platform_recovery|user_growth,arpu_growth|recurring_revenue|opm_improvement|governance_clean,platform_monetization|fcf_conversion|regulatory_risk_low|ad_quality_clean,platform_multiple_crowded|user_count_story_overpriced|legal_risk_ignored,privacy_lawsuit|founder_legal_case|regulatory_investigation|trust_damage|scam_ad_lawsuit,governance|privacy|legal_overhang|youth_safety|ad_quality,governance|privacy|ad_quality|youth_safety,false,false
CLOUD_AI_SOFTWARE_INFRA,cloud_erp_transition|b2b_saas_growth|ai_workflow_feature|sme_cloud_conversion,arr_growth|recurring_revenue_ratio|customer_retention|opm_improvement|large_customer_contract,customer_lock_in|fcf_conversion|net_retention_rate|valuation_frame_shift,ai_saas_narrative_crowded|valuation_saturation|strong_results_stock_stalls,churn_spike|ai_compute_cost_surge|opm_decline|si_revenue_reversion,churn|ai_cost|si_revenue_mix|customer_concentration|margin_slowdown,churn|ai_cost|si_revenue|valuation,false,false
AI_SOFTWARE_APPLICATION,ai_application_launch|enterprise_ai_adoption|api_usage_growth,paid_customer_growth|api_revenue|workflow_integration|total_contract_value,repeat_paid_usage|fcf_conversion|compute_cost_controlled|auditable_workflow,ai_app_narrative_crowded|valuation_before_margin_proof|rule_of_40_fully_priced,compute_cost_spike|model_dependency|copyright_lawsuit|data_privacy_lawsuit,compute_cost|model_dependency|copyright|data_privacy|free_user_growth_only,compute_cost|model_dependency|4b_crowding,false,false
GENERATIVE_AI_IP_RISK,generative_ai_training_data|content_license|open_source_dependency,licensed_dataset|rights_cleared_revenue|enterprise_contract,rights_cleared_repeat_revenue|liability_risk_low,genai_ip_story_overheated,copyright_lawsuit|license_gap|privacy_lawsuit|opensource_supply_chain_risk,copyright|license_risk|privacy|training_data,copyright|license|training_data,true,false
CONTACT_CENTER_AI_AUTOMATION,ccaas_ai_agent_assist|contact_center_automation|seat_expansion,enterprise_contract|seat_expansion|retention_rate|opm_improvement|aht_reduction,workflow_embedded|low_churn|enterprise_retention|fcf_conversion|roi_verified,contact_center_ai_crowded,churn_spike|it_budget_cut|privacy_event|automation_roi_failure,churn|it_budget_cut|privacy|roi_failure,churn|it_budget|privacy|roi,false,false
SERVICE_KIOSK_SELF_CHECKOUT,kiosk_installation|self_checkout_rollout|unmanned_store_theme,maintenance_revenue|payment_fee_revenue|store_roi,recurring_maintenance|low_theft|customer_acceptance|fcf_visibility,kiosk_theme_crowded,theft_rate_up|customer_complaint|hardware_one_off|regulatory_restriction,theft|customer_complaint|hardware_one_off|regulation,theft|hardware_one_off|customer_complaint,false,false
GAME_CONTENT_IP,new_title_announcement|ip_expansion|user_growth|platform_growth,bookings_growth|sell_through|live_service_monetization|op_eps_revision,repeat_ip_portfolio|global_monetization|single_ip_risk_low,single_ip_valuation_crowded|launch_expectations_saturated,game_delay|bookings_cut|child_safety_regulation|user_growth_slowdown|age_verification_friction,single_ip|game_delay|child_safety|regulatory_ban|bookings_cut,single_ip|delay|child_safety|bookings_cut,false,false
MEDIA_AD_CONTENT_CYCLE,ad_market_recovery|ctv_growth|digital_ad_rebound|retail_media_growth,ad_revenue_growth|ad_arpu|opm_improvement|budget_resilience,repeat_platform_ad_revenue|budget_resilience|hybrid_ad_subscription_model,adtech_valuation_crowded|growth_expectations_saturated|premium_multiple_guidance_miss,client_budget_cut|revenue_miss|privacy_lawsuit|scam_ad_regulation|ai_disintermediation,ad_cycle|client_budget_cut|privacy|scam_ads|ai_disintermediation,ad_cycle|client_budget|ai_disruption|guidance_miss,false,false
STREAMING_AD_PLATFORM,ad_tier_user_growth|streaming_ad_inventory|ctv_ad_platform,ad_tier_users|ad_revenue_growth|ad_arpu|own_ad_tech,subscription_ad_hybrid|arpu_expansion|privacy_risk_low|fcf_support,streaming_ad_multiple_crowded|ad_tier_growth_fully_priced|privacy_risk_ignored,privacy_lawsuit|ad_arpu_saturation|ad_load_pressure|subscriber_churn,privacy|ad_arpu_saturation|ad_load|subscriber_churn,privacy|ad_arpu|ad_load|churn,false,false
SECURITY_IDENTITY_DEEPFAKE,cybersecurity_demand|identity_threat|deepfake_regulation,arr_growth|customer_diversification|low_churn|opm_improvement,security_platform_lock_in|renewal_strength|operational_trust_intact,security_multiple_crowded|outage_risk_ignored,global_outage|faulty_update|customer_lawsuit|renewal_rate_down|trust_damage,outage|lawsuit|renewal_risk|trust_damage,outage|customer_lawsuit|renewal|trust_damage,false,false
METAVERSE_NFT_THEME,metaverse_nft_theme|token_content_launch|virtual_goods_user_growth,regulated_revenue|repeat_paid_usage|non_token_cash_flow,durable_non_token_revenue|fcf_conversion|regulatory_risk_low,metaverse_nft_liquidity_bubble,liquidity_collapse|token_volume_collapse|regulatory_action|revenue_absent,liquidity|token_volume|regulation|revenue_absent,no_revenue_model|liquidity_collapse,false,false
