case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
douzone_bizon_eqt_cloud_erp_case,CLOUD_AI_SOFTWARE_INFRA,012510,Douzone Bizon EQT cloud ERP case,KR,success_candidate,CLOUD_AI_SOFTWARE_INFRA,GREEN_POSSIBLE,,2025-11-07,,,,cloud_erp_transition|b2b_saas_growth|sme_customer_lock_in|operating_improvement_plan,regulatory_approval_needed|arr_unverified|churn_unverified|event_premium_risk,b2b_saas_success_candidate_price_backfill_needed,needs_price_backfill,false,"EQT deal is useful evidence for B2B SaaS/ERP quality, but ARR, churn, OPM, and FCF still gate Green."
palantir_q4_2025_ai_revenue_case,AI_SOFTWARE_APPLICATION,PLTR,Palantir Q4 2025 AI revenue and contract value,US,structural_success,AI_SOFTWARE_APPLICATION,WATCH_YELLOW_FIRST,,2026-02-03,,,,ai_revenue_growth|commercial_revenue_growth|government_revenue_growth|total_contract_value|rule_of_40,valuation_saturation|government_customer_risk|political_risk,ai_software_revenue_aligned,needs_price_backfill,false,"AI is treated as structural only because revenue, contract value, and Rule of 40 evidence are present."
palantir_q1_2026_fastest_growth_case,AI_SOFTWARE_APPLICATION,PLTR,Palantir Q1 2026 fastest growth but 4B watch,US,4b_watch,AI_SOFTWARE_APPLICATION,WATCH_YELLOW_FIRST,,2026-05-05,,2026-05-05,,revenue_growth_85pct|commercial_revenue_growth|government_revenue_growth,after_hours_decline_despite_results|valuation_saturation|ai_software_crowding,ai_software_4b_valuation,needs_price_backfill,false,Strong revenue can still be 4B-watch when multiple expansion is saturated.
netflix_ad_tier_70m_case,STREAMING_AD_PLATFORM,NFLX,Netflix ad tier reaches 70 million users,US,success_candidate,STREAMING_AD_PLATFORM,WATCH_YELLOW_FIRST,,2024-11-12,,,,ad_tier_users|ad_supported_signup_mix|own_adtech_flag|subscription_ad_hybrid,ad_arpu_unverified|privacy_risk|ad_revenue_scale_unverified,streaming_ad_platform_aligned_stage2,needs_price_backfill,false,"Ad-tier users and signup mix support Stage 2, but ad revenue, ARPU, churn, and privacy gate Green."
netflix_ad_250m_privacy_case,STREAMING_AD_PLATFORM,NFLX,Netflix ad tier 250m and privacy watch,US,4b_watch,STREAMING_AD_PLATFORM,WATCH_YELLOW_FIRST,,2026-05-01,,2026-05-01,,ad_tier_users|ad_revenue_growth|own_adtech_flag,privacy_lawsuit|ad_growth_fully_recognized|ad_arpu_unverified,streaming_ad_platform_4b_privacy_watch,needs_price_backfill,false,"Netflix ad tier can be structural, but privacy/data litigation keeps RedTeam active."
trade_desk_revenue_miss_case,MEDIA_AD_CONTENT_CYCLE,TTD,The Trade Desk premium valuation revenue miss,US,4c_thesis_break,MEDIA_AD_CONTENT_CYCLE,WATCH_YELLOW_FIRST,,,,,2025-02-13,programmatic_adtech|ctv_growth|retail_media_growth,revenue_miss|premium_valuation_miss|large_drawdown|growth_slowdown,adtech_premium_miss,needs_price_backfill,false,"Ad-tech can be structural, but premium valuation makes revenue or guide misses a 4C watch."
trade_desk_weak_q2_guide_case,MEDIA_AD_CONTENT_CYCLE,TTD,The Trade Desk weak Q2 guide,US,4b_watch,MEDIA_AD_CONTENT_CYCLE,WATCH_YELLOW_FIRST,,2026-05-01,,2026-05-01,,ad_revenue_growth|programmatic_adtech,weak_guidance|growth_slowdown|premium_valuation,adtech_premium_valuation_4b_watch,needs_price_backfill,false,Good revenue is not enough when forward guidance weakens under a premium multiple.
crowdstrike_outage_shareholder_case,OPERATIONAL_TRUST_BREAK_OVERLAY,CRWD,CrowdStrike outage shareholder case,US,4c_thesis_break,OPERATIONAL_TRUST_BREAK,REDTEAM_FIRST,,,,,2024-07-31,security_arr_platform|enterprise_customer_base,global_outage|affected_device_count|shareholder_lawsuit|trust_damage|large_drawdown,security_trust_break_hard_4c,needs_price_backfill,false,Security ARR does not protect Stage 3 if operational trust breaks.
delta_crowdstrike_lawsuit_case,OPERATIONAL_TRUST_BREAK_OVERLAY,CRWD,Delta CrowdStrike lawsuit customer damage,US,4c_thesis_break,OPERATIONAL_TRUST_BREAK,REDTEAM_FIRST,,,,,2024-10-25,security_arr_platform,customer_lawsuit|customer_damage_claim|flight_cancellations|trust_damage|renewal_risk,customer_damage_operational_trust_break,needs_price_backfill,false,Customer damage and litigation convert an outage from a technical issue into hard RedTeam evidence.
kakao_founder_legal_overhang_case,PLATFORM_GOVERNANCE_LEGAL_RISK,035720,Kakao founder legal overhang and acquittal,KR,4b_watch,PLATFORM_GOVERNANCE_LEGAL_RISK,REDTEAM_FIRST,,2024-07-01,,2025-08-01,,platform_assets|messenger_ecosystem|legal_overhang_resolved_by_acquittal,founder_legal_case|mna_legal_dispute|governance_discount|regulatory_investigation,legal_overhang_watch_resolved_by_acquittal,needs_price_backfill,false,Platform moat is not enough while founder/M&A legal overhang pressures the valuation frame.
