case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
sk_hynix_hbm_memory_structural_4b_watch_case,STRUCTURAL_SUCCESS_ALIGNED,000660,SK하이닉스,KR,structural_success,STRUCTURAL_SUCCESS_ALIGNED,GREEN_POSSIBLE,2025-01-01,2026-05-07,2026-05-14,2026-05-14,,hbm_demand|memory_bottleneck|eps_fcf_revision|price_rerating|valuation_frame_change,crowded_4b|capex_expansion|customer_price_resistance,structural_success_aligned_but_4b_watch,needs_price_backfill,false,"HBM/memory rerating is structurally aligned, but the price path also requires 4B monitoring."
hyundai_motor_valueup_strategy_aligned_case,STRUCTURAL_SUCCESS_ALIGNED,005380,현대차,KR,success_candidate,STRUCTURAL_SUCCESS_ALIGNED,GREEN_POSSIBLE,2024-08-28,2024-08-28,,,,hybrid_mix|sales_target_2030|buyback|dividend|fcf_sustainability,tariff_risk|peak_margin|execution_risk,valueup_strategy_aligned_requires_fcf_validation,needs_price_backfill,false,"Hybrid mix and shareholder return can align, but Green still needs FCF and execution evidence."
korea_buyback_cancellation_policy_to_execution_case,EVENT_TO_CONTRACT_ESCALATION,KOREA_VALUEUP_POLICY,Korea buyback cancellation policy background,KR,success_candidate,EVENT_TO_CONTRACT_ESCALATION,WATCH_YELLOW_FIRST,2026-02-25,,,,,commercial_act_revision|buyback_cancellation_policy|shareholder_value_policy,policy_only|company_execution_missing|roe_improvement_unverified,policy_to_execution_background,needs_price_backfill,false,"Policy is Stage 1 background; individual names require actual cancellation, returns, ROE/PBR evidence."
circle_regulated_stablecoin_infra_4b_watch_case,STRUCTURAL_SUCCESS_BUT_4B_WATCH,CRCL,Circle Internet Group,US,4b_watch,STRUCTURAL_SUCCESS_BUT_4B_WATCH,WATCH_YELLOW_FIRST,2026-05-11,2026-05-11,,2026-05-11,,fiat_backed_stablecoin|regulated_fiat_backing|stablecoin_circulation|reserve_income|ipo_rerating,rate_sensitivity|reserve_income_margin_pressure|convertibility_risk|valuation_crowded,regulated_stablecoin_infra_success_but_4b_watch,needs_price_backfill,false,"Regulated fiat-backed stablecoin infrastructure can be a real business, but IPO rerating and rate-sensitive reserve income require 4B-watch and convertibility review."
blackstone_digital_infra_trust_stage1_capped_case,DISCLOSURE_CONFIDENCE_CAPPED,BXDC,Blackstone Digital Infrastructure Trust,US,failed_rerating,DISCLOSURE_CONFIDENCE_CAPPED,REDTEAM_FIRST,2026-05-14,,,,,ai_data_center_acquisition_pipeline|sponsor_track_record|hyperscale_tenant_target,asset_acquired_missing|binding_lease_unknown|noi_affo_unknown|power_water_permitting_unknown|disclosure_confidence_capped,ai_infra_real_asset_stage1_disclosure_capped,needs_price_backfill,false,"An AI data-center vehicle can be Stage 1, but asset acquisition, binding tenant lease, NOI/AFFO, and power/water detail are required before Stage 3 confidence."
fermi_ai_real_asset_no_revenue_case,DISCLOSURE_CONFIDENCE_CAPPED,FRMI,Fermi AI real asset no-revenue power-campus case,US,failed_rerating,DISCLOSURE_CONFIDENCE_CAPPED,REDTEAM_FIRST,2025-09-30,,,,,ai_power_campus|11gw_power_plan|ipo_valuation|sponsor_premium,no_revenue_flag|binding_tenant_lease_absent|power_delivery_long_dated|power_water_permitting_unknown|disclosure_confidence_capped,ai_real_asset_no_revenue_high_risk,needs_price_backfill,false,"AI real-asset demand is not Stage 3 evidence before acquired assets, binding tenants, revenue, power delivery, water, permitting, and NOI/AFFO are verified."
event_to_contract_escalation_reference_case,EVENT_TO_CONTRACT_ESCALATION,EVENT_TO_CONTRACT,event-to-contract reference case,GLOBAL,success_candidate,EVENT_TO_CONTRACT_ESCALATION,WATCH_YELLOW_FIRST,,,,,,event_news|government_order|stockpile|funded_budget|guide_up,one_off_event|repeat_contract_unproven,event_escalates_to_stage2_only_after_contract_or_order,needs_price_backfill,false,"Disease, rebuild, or policy news can become Stage 2 only after funded order, budget, or guidance."
korea_ai_tax_policy_market_shock_case,SECTOR_SUCCESS_BUT_POLICY_SHOCK_WATCH,KOSPI_AI_POLICY_SHOCK,Korea AI tax policy market shock reference,KR,4b_watch,SECTOR_SUCCESS_BUT_POLICY_SHOCK_WATCH,WATCH_YELLOW_FIRST,2026-05-12,,,2026-05-12,,ai_windfall_tax_comment|citizen_dividend_comment|market_wide_selloff|crowded_ai_rally,policy_market_shock|tax_or_redistribution_comment|government_clarification_needed|valuation_risk_premium_spike|crowded_trade_unwind,policy_market_shock_breaks_crowded_4b_price_path,needs_price_backfill,false,"Policy, tax, or redistribution comments are not company evidence, but they can break the price path of crowded AI and value-up rallies until company-level EPS/FCF impact is clarified."
coreweave_nvidia_circular_financing_watch_case,CIRCULAR_AI_FINANCING_WATCH,CRWV,CoreWeave / Nvidia circular financing watch,US,failed_rerating,CIRCULAR_AI_FINANCING_WATCH,REDTEAM_FIRST,2026-05-13,,,,,ai_cloud_demand|supplier_investor_customer_loop|capacity_guarantee|gpu_capacity_contract,circular_financing|supplier_investor_customer_loop|capacity_guarantee|gpu_collateral_debt|customer_concentration|refinancing_risk,contract_visibility_but_circular_financing_watch,needs_price_backfill,false,"AI cloud contract visibility is capped when supplier, investor, customer, and capacity-guarantee relationships are circular or leverage-heavy."
supermicro_accounting_trust_4c_case,REDTEAM_ACCOUNTING_TRUST_OVERLAY,SMCI,Super Micro Computer,US,4c_thesis_break,REDTEAM_ACCOUNTING_TRUST_OVERLAY,REDTEAM_FIRST,2024-01-01,,,,2024-10-30,ai_server_rerating|prior_price_rally,auditor_resignation|filing_delay|internal_control_issue|related_party_risk|regulatory_probe,early_rerating_success_then_hard_4c,needs_price_backfill,false,Accounting trust failure is a hard RedTeam gate even after a strong AI rerating.
crowdstrike_operational_trust_break_case,OPERATIONAL_TRUST_BREAK,CRWD,CrowdStrike,US,4c_thesis_break,OPERATIONAL_TRUST_BREAK,REDTEAM_FIRST,2024-07-19,,,,2024-07-31,security_platform_growth|large_customer_base|recurring_revenue,global_outage|customer_damage|shareholder_lawsuit|customer_lawsuit|renewal_risk,operational_trust_break_4c,needs_price_backfill,false,Security SaaS recurring revenue depends on operational trust.
