case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,evidence_fields,red_flag_fields,price_validation_status,production_input,notes
korea_brokerage_trading_value_rally_candidate,SECURITIES_BROKERAGE_CYCLE,BROKER_TURNOVER,거래대금회복_증권사,KR,success_candidate,FINANCIAL_SPREAD_BALANCE_SHEET,WATCH_YELLOW_FIRST,trading_value_growth|brokerage_revenue_growth,turnover_peak|pf_loss,needs_price_backfill,false,Brokerage candidate requires revenue and risk confirmation.
securities_pf_loss_4c,SECURITIES_BROKERAGE_CYCLE,BROKER_PF_4C,증권사_PF손실,KR,4c_thesis_break,FINANCIAL_SPREAD_BALANCE_SHEET,WATCH_YELLOW_FIRST,brokerage_balance_sheet,pf_loss|capital_ratio_down,needs_price_backfill,false,PF loss can override trading-value recovery.
ipo_pipeline_recovery_candidate,SECURITIES_BROKERAGE_CYCLE,IPO_PIPE,IPO파이프라인회복,KR,success_candidate,FINANCIAL_SPREAD_BALANCE_SHEET,WATCH_YELLOW_FIRST,ipo_pipeline|ib_fee_growth,pipeline_delay|market_turnover_peak,needs_price_backfill,false,IB recovery needs actual fee conversion.
vc_exit_market_weakness_counterexample,SECURITIES_BROKERAGE_CYCLE,VC_EXIT_WEAK,VC회수시장부진,KR,failed_rerating,FINANCIAL_SPREAD_BALANCE_SHEET,WATCH_YELLOW_FIRST,vc_portfolio,exit_market_weakness|valuation_markdown,needs_price_backfill,false,VC recovery expectation without exits stays Watch.
samsung_fire_underwriting_valueup_candidate,INSURANCE_UNDERWRITING_CYCLE,000810,삼성화재,KR,success_candidate,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,loss_ratio_stability|roe|shareholder_return,loss_ratio_worsens|capital_ratio_down,needs_price_backfill,false,Insurance value-up candidate; CSM/K-ICS/return evidence needs backfill.
db_insurance_loss_ratio_candidate,INSURANCE_UNDERWRITING_CYCLE,005830,DB손해보험,KR,success_candidate,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,loss_ratio_stability|roe|capital_ratio,underwriting_deterioration|return_retreat,needs_price_backfill,false,Loss-ratio and ROE candidate.
low_pbr_insurer_no_capital_return_counterexample,INSURANCE_UNDERWRITING_CYCLE,INS_LOW_PBR,저PBR보험_환원부재,KR,failed_rerating,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,low_pbr,capital_return_limited|low_roe,needs_price_backfill,false,Low PBR alone is not rerating evidence.
sgi_ransomware_operational_risk_4c,INSURANCE_UNDERWRITING_CYCLE,031210,서울보증보험_랜섬웨어,KR,4c_thesis_break,FINANCIAL_SPREAD_BALANCE_SHEET,GREEN_POSSIBLE,guarantee_insurance,cyber_operational_risk|service_outage,needs_price_backfill,false,Insurance/financial infrastructure needs cyber operation guardrails.
megastudy_private_education_candidate,EDUCATION_SPECIALTY_SERVICES,215200,메가스터디교육,KR,success_candidate,EDUCATION_SPECIALTY_SERVICES,WATCH_YELLOW_FIRST,repeat_courses|pricing_power|online_education,regulation|birthrate_decline,needs_price_backfill,false,Education candidate requires proof that repeat/online offsets demographics.
adult_education_subscription_candidate,EDUCATION_SPECIALTY_SERVICES,ADULT_EDU,성인교육구독,KR,success_candidate,EDUCATION_SPECIALTY_SERVICES,WATCH_YELLOW_FIRST,adult_education|subscription_revenue,ai_substitution|churn,needs_price_backfill,false,Adult/subscription education can offset birthrate risk.
