case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
korea_pf_delinquency_restructuring_case,PF_CREDIT_REDTEAM_OVERLAY,KR_PF_DELINQUENCY,Korea PF delinquency restructuring,KR,4c_thesis_break,PF_CREDIT_REDTEAM_OVERLAY,REDTEAM_FIRST,2024-05-13,,,,2024-05-13,pf_delinquency_rate|fss_project_assessment|restructuring,pf_delinquency_increase|bridge_loan_rollover_failure|debt_workout,pf_credit_risk_hard_counterexample,needs_price_backfill,false,PF delinquency rose from 0.37% in 2021 to 2.70% in 2023; backlog alone cannot create Green.
korea_builder_support_relief_case,PF_RESTRUCTURING_RELIEF,KR_BUILDER_SUPPORT,Korea builder liquidity support,KR,event_premium,PF_RESTRUCTURING_RELIEF,WATCH_YELLOW_FIRST,2024-03-27,,,2024-03-27,,government_support|policy_support_amount|builder_liquidity_support,pf_exposure|unsold_inventory|refinancing,pf_policy_relief_stage1,needs_price_backfill,false,Government support is Stage 1 relief; Stage 2 needs refinancing and cash-flow proof.
blackstone_mortgage_trust_dividend_cut_case,COMMERCIAL_REAL_ESTATE_CREDIT,BXMT,Blackstone Mortgage Trust dividend cut,US,4c_thesis_break,COMMERCIAL_REAL_ESTATE_CREDIT,REDTEAM_FIRST,2024-07-24,,,,2024-07-24,office_exposure|watchlisted_or_impaired_asset_ratio|credit_loss_reserve,dividend_cut|office_vacancy|impaired_loan|credit_loss_reserve,commercial_real_estate_credit_4c,needs_price_backfill,false,Dividend cut after office credit stress is a hard CRE credit 4C example.
equinix_affo_integrity_short_case,REIT_AFFO_INTEGRITY_OVERLAY,EQIX,Equinix AFFO integrity short case,US,4c_thesis_break,REIT_AFFO_INTEGRITY_OVERLAY,REDTEAM_FIRST,2024-03-20,,,,2024-03-20,affo_overstatement_allegation|maintenance_capex|short_report_flag,maintenance_capex_misclassification|affo_integrity_risk|power_constrained_facility,reit_affo_integrity_risk,needs_price_backfill,false,Data-center REIT AFFO must be verified against maintenance capex and dividend coverage.
equinix_ai_capex_burden_case,DATA_CENTER_REIT_INFRASTRUCTURE,EQIX,Equinix AI capex burden,US,4b_watch,DATA_CENTER_REIT_INFRASTRUCTURE,GREEN_POSSIBLE,2025-06-26,,,2025-06-26,,ai_inference_demand|capex_amount|affo_per_share_growth,capex_growth_above_affo_growth|per_share_affo_slowdown|funding_cost_rise,ai_data_center_capex_burden_4b_to_4c_watch,needs_price_backfill,false,AI data-center demand can still pressure per-share AFFO when capex and funding costs outrun growth.
blackstone_data_center_reit_flat_debut_case,DATA_CENTER_REIT_INFRASTRUCTURE,BLACKSTONE_DC_REIT,Blackstone Digital Infrastructure Trust flat debut,US,failed_rerating,DATA_CENTER_REIT_INFRASTRUCTURE,GREEN_POSSIBLE,2026-05-14,,,2026-05-14,,ai_data_center_reit_ipo|hyperscale_tenant_target|asset_pipeline,no_acquired_assets|no_affo|tenant_lease_missing,data_center_reit_theme_without_assets_yet,needs_price_backfill,false,"Sponsor and AI infrastructure demand are not enough before assets, tenants, NOI/AFFO, and power/water are verified."
fermi_ai_data_center_no_revenue_case,AI_INFRA_REAL_ASSET_THEME_OVERLAY,FRMI,Fermi AI data-center no-revenue project,US,4b_watch,AI_INFRA_REAL_ASSET_THEME_OVERLAY,REDTEAM_FIRST,2025-09-30,,,2025-09-30,,ai_data_center_campus|power_pipeline|asset_pipeline_value,no_revenue|funding_gap|tenant_missing|single_site_concentration,ai_real_asset_no_revenue_high_risk_watch,needs_price_backfill,false,"Pre-revenue AI real-asset mega-project valuation is 4B-watch, not Green."
perth_datacenter_withdrawal_case,DATA_CENTER_POWER_WATER_PERMITTING,PERTH_DC_PROJECT,Perth data-center withdrawal after opposition,AU,4c_thesis_break,DATA_CENTER_POWER_WATER_PERMITTING,REDTEAM_FIRST,2026-05-15,,,,2026-05-15,local_opposition_flag|noise_pollution_flag|project_withdrawal_flag,project_withdrawal|community_opposition|zoning_rejection,data_center_power_water_4c,needs_price_backfill,false,"Power, water, noise, and local approval can break AI data-center real asset projects."
utah_stratos_datacenter_backlash_case,DATA_CENTER_POWER_WATER_PERMITTING,UTAH_STRATOS_DC,Utah Stratos AI data-center backlash,US,4b_watch,DATA_CENTER_POWER_WATER_PERMITTING,REDTEAM_FIRST,2026-05-13,,,2026-05-13,,power_demand_gw|water_permitting_flag|referendum_or_moratorium_flag,water_rights_delay|grid_interconnection_delay|referendum_or_moratorium,data_center_power_water_4b_watch,needs_price_backfill,false,A 9GW data-center plan can be a 4B-watch when power and water backlash are not resolved.
lineage_cold_storage_ipo_case,COLD_CHAIN_REIT_LOGISTICS,LINE,Lineage cold-storage REIT IPO,US,success_candidate,COLD_CHAIN_REIT_LOGISTICS,GREEN_POSSIBLE,2024-07-25,2024-07-25,,,,cold_storage_warehouse_count|customer_count|noi_growth|adjusted_ebitda,net_loss|energy_cost|debt|affo_uncertainty,cold_chain_scale_success_candidate_but_profitability_watch,needs_price_backfill,false,"Scale and customer count help, but net loss and AFFO uncertainty keep Green restricted."
lineage_cold_storage_drawdown_case,COLD_CHAIN_REIT_LOGISTICS,LINE,Lineage cold-storage post-IPO drawdown,US,4c_thesis_break,COLD_CHAIN_REIT_LOGISTICS,GREEN_POSSIBLE,2025-10-01,,,,2025-10-01,post_ipo_drawdown_flag|customer_inventory_normalization_flag|guidance_cut,net_loss|energy_cost_pressure|occupancy_decline|debt_burden|guidance_cut,cold_chain_scale_to_profitability_4c_watch,needs_price_backfill,false,"Cold-chain warehouse scale is not Green when demand softens, energy cost and debt remain, and guidance is cut."
heidelberg_materials_price_cost_case,BUILDING_MATERIALS_PRICE_COST,HEI.DE,Heidelberg Materials price-cost alignment,EU,success_candidate,BUILDING_MATERIALS_PRICE_COST,GREEN_POSSIBLE,2025-11-06,2025-11-06,,2025-11-06,,price_hike|cost_saving_amount|opm_improvement|infrastructure_demand,volume_decline|energy_cost|construction_slowdown,building_materials_price_cost_aligned_candidate,needs_price_backfill,false,"Building materials can be Watch-to-Green when price, cost, OPM, volume, and FCF align."
cemex_demand_slowdown_costcut_case,BUILDING_MATERIALS_VOLUME_FAILURE,CEMEX,Cemex demand slowdown and cost-cut program,MX,4c_thesis_break,BUILDING_MATERIALS_VOLUME_FAILURE,REDTEAM_FIRST,2025-02-06,,,,2025-02-06,price_hike|cost_saving_amount,volume_decline|demand_slowdown|ebitda_decline|price_increase_not_enough,building_materials_volume_failure,needs_price_backfill,false,"Price increases and cost cuts cannot create Green when volume, demand, and EBITDA are weak."
