case_id,detected_stage,price_path_status,verdict,normalization_adjustment
ge_vernova_data_center_orders_case,Stage 2 -> Stage 3 / 4B-watch,event-day price reaction confirmed in round note; longer MFE/MAE still needs official OHLCV backfill,score_to_stage_to_price_aligned,"keep EPS/FCF, visibility, and bottleneck weights high; reduce valuation room through 4B watch"
siemens_energy_fcf_buyback_case,Stage 3 candidate / 4B-watch,FCF and buyback evidence strong; price path requires OHLCV backfill,partially_confirmed,raise capital/FCF conversion weight but require price validation before Green
us_transformer_shortage_import_slots_case,Stage 1 -> Stage 2 macro bottleneck,"US transformer demand, prices, and lead time confirm bottleneck; company-level price path requires contract backfill",bottleneck_signal_confirmed,"raise transformer shortage weight, but cap before company contract, margin, OP/EPS/FCF, and price-path evidence"
ls_electric_525kv_us_datacenter_transformer_case,Stage 2,contract detail strong; price path requires backfill,stage2_not_green_yet,raise EHV visibility; keep EPS/FCF cap until margin and revisions appear
hyundai_rotem_morocco_rail_case,Stage 2,large contract visible; price path and margin require backfill,stage2_not_green_yet,"rail remains capped before margin, warranty, financing, FX, and OP/EPS evidence"
constellation_tmi_microsoft_restart_case,Stage 2,"Q1 beat and Microsoft PPA context exist, but the round note recorded a negative price reaction and open FERC/grid-rights gates",stage2_with_approval_gate,"existing nuclear PPA/restart stays capped until FERC/PJM grid rights, restart CAPEX, and guidance conversion are verified"
hanwha_aerospace_dilution_trim_case,Stage 2 structure + 4C-watch,capital raise shock matched negative price-path warning in round note,redteam_alignment_confirmed,strengthen capital discipline penalty and stage_after_redteam downgrade
hd_hyundai_huntington_us_navy_aux_case,Stage 1~2 option,MoU/MoA only; any price move is event premium until contract economics appear,green_block_correct,"strengthen MoU/MoA score cap and require vessel count, contract value, schedule, margin, and yard CAPEX"
siemens_orders_profit_miss_case,Stage 2 capped / 4C-watch,"orders and backlog looked strong, but sales and industrial profit miss matched the negative price reaction",orders_only_false_positive_contained,orders-only evidence is capped when profit/margin conversion is missing or negative
oklo_smr_no_revenue_watch_case,Stage 1~2 watch,"regulatory progress did not offset no revenue, wider loss, and delayed commercialization in the round note",pre_revenue_smr_green_block_correct,"SMR policy/news is capped before revenue, signed customer economics, financing, and commercial operation visibility"
