target_id,stage1,stage2,stage3,stage4b,stage4c,production_scoring_changed
SMART_FARM_AGRI_TECH,smart_farm_policy|autonomous_agri_equipment|vertical_farming|agri_ai,actual_order|operation_contract|maintenance_saas_revenue|capacity_utilization,unit_economics_positive|fcf_conversion|repeat_contracts|energy_cost_control,smart_farm_theme_crowded|vertical_farming_story_priced_before_unit_economics,chapter11|shutdown|energy_cost_failure|premium_pricing_failure|capex_burden,false
VERTICAL_FARMING_UNIT_ECONOMICS,vertical_farming|indoor_farm|hydroponics|leafy_greens|ai_farming_narrative,capacity_utilization|customer_contract|yield_stability|premium_pricing_success|energy_cost_control,unit_economics_positive|repeat_customer_demand|fcf_conversion|low_energy_cost_burden,vertical_farming_unicorn_narrative|premium_pricing_assumed|capex_risk_ignored,shutdown|chapter11|energy_cost_failure|premium_pricing_failure|yield_loss|capex_burden,false
AGRI_MACHINERY_PRECISION_CYCLE,autonomous_tractor|precision_agriculture|agri_drone|ces_technology_demo,equipment_sales_growth|farmer_roi|software_attach_rate|service_revenue,recurring_software_or_service|farm_income_support|low_financing_stress,autonomous_agri_theme_crowded|technology_priced_before_adoption,farm_income_weakness|high_borrowing_cost|equipment_sales_decline|right_to_repair_lawsuit,false
AGRI_MACHINERY_SOFTWARE_LOCKIN,software_enabled_equipment|precision_agriculture_platform|dealer_network_lockin|repair_software,software_attach_rate|service_revenue|farmer_roi|authorized_service_revenue,recurring_software_or_service|low_regulatory_risk|customer_retention|fcf_conversion,software_lockin_multiple_expansion|right_to_repair_risk_ignored,right_to_repair_lawsuit|repair_monopoly_allegation|settlement_cost|ftc_lawsuit|customer_backlash,false
AGRI_INPUT_SEED_CROP_PROTECTION,seed_pricing|crop_protection_product|soy_seed_licensing|food_security_theme,licensing_revenue|seed_revenue_growth|crop_protection_revenue_growth|price_pass_through|farmer_roi,repeat_seed_or_crop_protection_revenue|litigation_risk_contained|regulatory_clearance|fcf_conversion,seed_ip_food_security_theme_crowded|pricing_power_assumed_before_farmer_roi,roundup_litigation|patent_expiry|regulatory_restriction|farmer_margin_pressure|sales_delay,false
FERTILIZER_INPUT_COST_CYCLE,potash_or_phosphate_supply|nitrogen_price|crop_nutrient_depletion|fertilizer_price_spike,fertilizer_volume|potash_sales_volume|fertilizer_price_change|farmer_application_rate|margin_improvement,low_cost_supply|multi_period_demand|farmer_margin_support|fcf_conversion,fertilizer_price_spike_crowded|food_security_narrative_overextended,crop_price_decline|farmer_margin_pressure|demand_deferral|input_cost_spike|guidance_withdrawal,false
AGRI_LIVESTOCK_FOOD_COMMODITY,avian_flu|asf|egg_price_spike|feed_cost_change|soybean_or_tuna_price,price_pass_through|op_profit_increase|cost_stabilization,structural_green_restricted|multi_period_margin_stability,food_price_cycle_crowded|disease_price_spike_extrapolated,price_normalization|feed_cost_spike|government_inquiry|price_fixing_investigation|disease_normalization,false
ANIMAL_HEALTH_BIOSECURITY,outbreak|vaccine_conditional_approval|government_stockpile,government_purchase_contract|government_stockpile|repeat_vaccination|guidance_up|distribution_channel,recurring_animal_health_revenue|customer_diversification|fcf_conversion,animal_vaccine_event_crowded|stockpile_story_priced,government_purchase_end|disease_normalization|vaccine_unused|trade_restriction,false
EDUCATION_SPECIALTY_SERVICES,ai_training|adult_education|job_training|b2b_education_contract,repeat_enrollment|enterprise_contract|completion_rate|paid_conversion|opm_improvement,b2b_b2g_recurring_revenue|student_roi|low_cac|fcf_conversion|ai_disruption_defense,ai_education_narrative_crowded|valuation_before_profitability,ai_substitutes_core_service|bookings_miss|subscriber_decline|cac_spike|bankruptcy,false
EDTECH_AI_DISRUPTION,ai_tutor|ai_answer_engine|homework_help_ai|traffic_risk,ai_defense_contract_or_productivity_needed,normally_blocked_if_core_service_substituted,ai_education_theme_crowded|user_growth_before_monetization,ai_substitutes_core_service|traffic_decline|subscriber_decline|bookings_miss|layoff|strategic_review,false
ONLINE_EDUCATION_OPM_DISTRESS,online_degree_platform|bootcamp_growth|opm_revenue_share|edtech_platform,student_roi|completion_rate|partner_retention|fcf_conversion|debt_reduction,repeat_contracts|low_debt_stress|regulatory_compliance|fcf_conversion,online_education_platform_premium|growth_priced_before_roi,chapter11|high_leverage|student_roi_failure|regulatory_scrutiny|partner_concentration_failure,false
HOME_CHILD_EDUCATION,kids_product|learning_material|premium_childcare|overseas_expansion,repeat_subscription|export_channel|premium_mix|inventory_control,low_birthrate_offset|recurring_revenue|fcf_conversion,premium_kids_theme_crowded,low_birthrate|tam_decline|inventory_build|regulatory_risk,false
HOME_LIVING_APPLIANCE_RENTAL,rental_accounts_growth|new_product|overseas_expansion,rental_churn_stable|filter_service_revenue|care_service_revenue|opm_fcf_improvement,recurring_service_revenue_dominates|hardware_cycle_less_important|fcf_conversion,rental_account_growth_crowded|consumer_service_multiple_rerated,replacement_demand_collapse|dividend_suspension|rental_churn_spike|housing_weakness,false
HOME_APPLIANCE_HARDWARE_CYCLE,appliance_replacement_cycle|housing_turnover|consumer_durable_demand|hardware_sales,replacement_demand_indicator|housing_turnover_indicator|hardware_sales_margin|debt_reduction_progress,stable_replacement_demand|fcf_conversion|low_debt_pressure,appliance_hardware_recovery_crowded|replacement_cycle_assumed,replacement_demand_collapse|housing_turnover_weakness|dividend_suspension|guidance_cut|debt_reduction_pressure,false
SERVICE_KIOSK_SELF_CHECKOUT,labor_cost_increase|unmanned_store|self_checkout_rollout|kiosk_installation,installed_base|maintenance_revenue|payment_fee_revenue|loss_prevention_effect,recurring_service_revenue|hardware_mix_declines|customer_friction_low,automation_theme_crowded|installed_base_priced_before_service_revenue,retailer_retreat|theft_shrink|customer_friction|employee_workload|one_off_hardware_sales,false
CONSUMER_REGULATED_PRODUCT,fda_approval|dea_rescheduling|regulated_product_license,sales_authorization|channel_access|tax_effect|repeat_consumption,regulatory_stability|repeat_revenue|fcf_conversion,regulatory_approval_rally_crowded|policy_reversal_ignored,approval_revoked|sales_ban|legal_conflict|youth_usage_controversy|public_health_backlash,false
NICOTINE_ALTERNATIVE_REGULATED,e_cigarette|nicotine_pouch|fda_enforcement_easing|reduced_risk_product,sales_authorization|license_scope|authorized_channel|repeat_consumption,regulatory_stability|repeat_revenue|public_health_risk_contained|fcf_conversion,nicotine_policy_relief_rally|approval_scope_ignored,youth_usage_risk|flavored_product_restriction|public_health_warning|unauthorized_product_status|enforcement_reversal,false
CANNABIS_REGULATED_PRODUCT,cannabis_rescheduling|medical_cannabis_policy|dea_registration|state_license,license_scope|tax_effect|sales_channel|compliance_cost_visible,regulatory_stability|repeat_revenue|tax_benefit_realized|fcf_conversion,cannabis_policy_relief_rally|full_legalization_assumed,state_federal_conflict|dea_registration_failure|legal_challenge|public_health_backlash|license_scope_limited,false
FOOD_INPUT_REGULATED_CYCLE,grain_input_price|alcohol_or_food_input_regulation|feed_or_soybean_cost,price_pass_through|regulated_margin|cost_stabilization,multi_period_spread|stable_regulation|fcf_conversion,food_input_spread_crowded|regulated_price_theme,cost_spike|price_control|regulatory_margin_cap|demand_fade,false
AGRI_DISEASE_EVENT_OVERLAY,avian_flu|asf|livestock_disease|egg_or_meat_price_spike,government_stockpile_or_order_needed,normally_blocked_without_repeat_demand,disease_theme_crowded|price_spike_extrapolated,disease_normalization|price_normalization|government_inquiry,false
REGULATED_CONSUMER_APPROVAL_OVERLAY,fda_approval|dea_rescheduling|license_or_ban,sales_authorization_and_scope_needed,normally_blocked_without_scope_channel_and_recurring_revenue,approval_theme_crowded|policy_relief_rally,approval_revoked|limited_scope|youth_usage|state_federal_conflict|public_health_backlash,false
