target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop8_penalty_axes,gate_only,production_scoring_changed
CONSTRUCTION_REAL_ESTATE_CREDIT,pf_support|rate_cut_expectation|property_recovery_news|backlog_headline,refinancing_success|unsold_inventory_decline|cash_flow_improvement|construction_cost_ratio_stable,pf_risk_reduced|eps_fcf_recovery|cash_conversion_improves|valuation_frame_change,pf_relief_rally_crowded|support_news_priced_before_restructuring,pf_delinquency_increase|bridge_loan_rollover_failure|debt_workout|impairment|cost_ratio_spike,pf_exposure|unsold_inventory|refinancing|construction_cost_ratio|debt_workout,pf|unsold_inventory|refinancing|cost_ratio|cash_conversion,false,false
PF_RESTRUCTURING_RELIEF,government_pf_support|guarantee_expansion|market_stabilizing_fund,profitable_project_refinanced|bridge_to_main_pf_conversion|bad_project_separated,cash_conversion_improves|cost_ratio_stable|pf_exposure_declines,relief_rally_before_restructuring|policy_support_priced_as_recovery,delinquency_rises_after_support|workout|impairment|unprofitable_project_restructuring,policy_support_only|unprofitable_project|bridge_loan|delinquency,policy_relief|refinancing|cash_conversion|project_profitability,false,false
PF_SYNDICATED_LOAN_SOFT_LANDING,syndicated_loan|pf_support|guarantee_expansion|profitable_project_rescue,syndicated_loan_amount|refinancing_success_flag|profitable_project_flag|bad_project_separated,pf_exposure_declines|cash_conversion_improves|cost_ratio_stable|unprofitable_project_restructured,soft_landing_priced_before_project_separation|syndicated_loan_headline_priced_as_recovery,delinquency_rises_after_support|bridge_loan_rollover_failure|workout|impairment|unprofitable_project_restructuring_delay,policy_support_only|unprofitable_project|bridge_loan|delinquency|workout,policy_relief|refinancing|cash_conversion|project_profitability,false,false
RESIDENTIAL_HOUSING_CYCLE,housing_recovery|rate_cut_expectation|presale_recovery,unsold_inventory_decline|starts_recovery|cost_ratio_stable,cash_flow_recovery|eps_fcf_recovery|credit_risk_low,housing_cycle_rally_crowded,unsold_inventory_increase|household_debt_stress|starts_decline|rate_shock,unsold_inventory|household_debt|rate|construction_cost|starts_decline,unsold_inventory|household_debt|starts|rate|cost_ratio,false,false
REIT_DEVELOPMENT_TRUST,rate_cut_expectation|dividend_yield|nav_discount,occupancy|noi_affo|dividend_coverage|ltv_stable,affo_growth|dividend_sustainability|nav_discount_narrowing,high_yield_reit_rally_crowded|rate_cut_priced,vacancy_increase|ltv_deterioration|refinancing_failure|dividend_cut,vacancy|ltv|refinancing|dividend_cut|funding_cost,occupancy|noi_affo|ltv|funding_cost|dividend_coverage,false,false
COMMERCIAL_REAL_ESTATE_CREDIT,office_recovery_news|cre_credit_relief|rate_cut_expectation,vacancy_stabilization|credit_loss_reserve_stable|dividend_coverage,loan_quality_recovery|occupancy_recovery|dividend_sustainability,cre_relief_rally_before_credit_repair|yield_chase_crowded,office_vacancy|watchlisted_or_impaired_loan|credit_loss_reserve|dividend_cut,office_exposure|vacancy|impaired_asset|credit_loss_reserve|dividend_cut,office_vacancy|impaired_loans|credit_reserve|dividend_cut,false,false
DATA_CENTER_REIT_INFRASTRUCTURE,ai_data_center_reit_ipo|hyperscale_demand|asset_pipeline,asset_acquisition|binding_tenant_lease|power_cooling_water_secured|noi_affo,affo_growth|dividend_coverage|tenant_contract_quality|funding_cost_controlled,ai_infrastructure_reit_valuation_crowded|capex_pipeline_priced_before_cashflow,no_acquired_assets|no_tenant|no_affo|power_or_water_permitting_failure|funding_cost_up,no_assets|tenant_concentration|capex|funding_cost|power_water_permitting,asset|tenant|noi_affo|power_water|funding_cost,false,false
DATA_CENTER_REIT_IPO_NO_ASSET,ai_data_center_ipo|sponsor_track_record|acquisition_pipeline,asset_acquired_flag|binding_tenant_lease|power_water_secured|noi_affo_visible,noi_affo|dividend_coverage|tenant_contract_quality|asset_cashflow_proven,ai_infrastructure_ipo_window_crowded|sponsor_premium_priced_without_assets,no_acquired_assets|tenant_lease_missing|no_affo|funding_cost_up|ipo_discount_or_flat_debut,no_asset|no_tenant|no_affo|sponsor_premium|funding_cost,asset|tenant|noi_affo|sponsor_premium,false,false
DATA_CENTER_SPONSOR_PREMIUM_PIPELINE,sponsor_track_record|acquisition_pipeline|ai_data_center_ipo|asset_pipeline,asset_acquired_flag|binding_tenant_lease|noi_affo_visible|power_water_secured,asset_cashflow_proven|tenant_contract_quality|dividend_coverage|affo_growth,sponsor_premium_priced_without_assets|pipeline_priced_as_current_cashflow,no_acquired_assets|tenant_lease_missing|no_affo|funding_cost_up|pipeline_execution_delay,sponsor_premium|no_asset|no_tenant|no_affo|execution_delay,sponsor|pipeline|asset|tenant|noi_affo,false,false
AI_DATA_CENTER_POWER_CAMPUS,ai_power_campus|planned_power_gw|dedicated_power_plan|nuclear_gas_solar_power_plan,binding_tenant_lease|planned_power_delivery_year|power_secured|permitting|financing_secured,revenue_start|noi_affo|tenant_contract_quality|power_delivery_on_schedule|financing_stability,ai_power_campus_valuation_crowded|long_dated_power_priced_today,no_tenant|power_delivery_delay|water_permitting_delay|funding_gap|single_site_concentration|non_binding_loi,no_tenant|non_binding_loi|power_delivery_delay|water_permitting|funding_gap,tenant|power_delivery|water|permitting|funding,false,false
AI_DATA_CENTER_NO_REVENUE_NO_TENANT,ai_data_center_campus|power_campus_plan|pre_revenue_real_asset|non_binding_loi,binding_tenant_lease|revenue_start|funding_secured|permitting_secured,not_applicable_gate_only,no_revenue_ai_real_asset_valuation_crowded|tenant_gap_priced_as_secured_demand,no_revenue|no_tenant|non_binding_loi|funding_agreement_terminated|single_site_concentration|net_loss,no_revenue|no_tenant|non_binding_loi|funding_gap|single_site,revenue|tenant|loi|funding|site_concentration,true,false
DATA_CENTER_POWER_WATER_PERMITTING,local_opposition|water_rights_issue|grid_interconnection_delay|noise_pollution,permit_resolution|power_interconnection_secured|water_permitting_secured,community_approval|grid_and_water_secured|project_schedule_intact,power_water_risk_underpriced,project_withdrawal|referendum_or_moratorium|zoning_rejection|water_permitting_delay|grid_interconnection_failure,local_opposition|water_permitting|grid_interconnection|noise|withdrawal,power|water|community|permitting,true,false
DATA_CENTER_LOCAL_MORATORIUM_OVERLAY,local_moratorium|zoning_pause|referendum|community_opposition,moratorium_resolved|zoning_approval|community_approval,community_approval|zoning_approval|project_schedule_intact,moratorium_risk_underpriced|zoning_delay_ignored,moratorium|zoning_pause|referendum_or_moratorium|project_delay|project_withdrawal,moratorium|zoning_pause|referendum|community_opposition|project_delay,moratorium|zoning|community|project_timing,true,false
DATA_CENTER_WATER_RIGHTS_REFERENDUM,water_rights_issue|referendum|large_power_demand|community_opposition,water_rights_secured|referendum_resolved|phased_approval_complete,not_applicable_gate_only,water_rights_risk_underpriced|power_campus_priced_before_local_approval,water_rights_delay|referendum_or_moratorium|phased_approval_delay|ratepayer_cost_risk|project_delay,water_rights|referendum|ratepayer_cost|phased_approval,water|referendum|local_cost|approval,true,false
DATA_CENTER_RATEPAYER_UTILITY_COST_OVERLAY,utility_strain|ratepayer_cost|power_cost_concern|public_hearing_delay,utility_cost_allocation_resolved|grid_upgrade_plan_funded|community_approval,not_applicable_gate_only,utility_cost_risk_underpriced,ratepayer_cost_risk|utility_strain|power_cost_concern|public_hearing_delay|grid_upgrade_cost_dispute,ratepayer_cost|utility_strain|power_cost|public_hearing,utility|ratepayer|grid|hearing,true,false
DATA_CENTER_CAPEX_AFFO_DILUTION,ai_capex_plan|data_center_expansion_capex|affo_growth_question,capex_to_affo_ratio|affo_per_share_growth|dividend_coverage_ratio,not_applicable_gate_only,ai_capex_growth_priced_before_affo_per_share,capex_growth_above_affo_growth|per_share_affo_slowdown|funding_cost_rise|dividend_coverage_pressure|capacity_expansion_without_yield,capex_to_affo|affo_per_share_growth|dividend_coverage|funding_cost,capex|affo_share|funding_cost|dividend_coverage,true,false
COLD_CHAIN_REIT_LOGISTICS,cold_storage_ipo|food_pharma_cold_chain_demand|warehouse_network_scale,occupancy|customer_contract|noi_affo|energy_cost_control,repeat_logistics_demand|dividend_coverage|affo_visibility|debt_stable,cold_chain_reit_premium_crowded|warehouse_scale_priced_without_profit,net_loss|energy_cost_pressure|occupancy_decline|debt_burden|guidance_cut,net_loss|energy_cost|debt|occupancy|affo_uncertainty,occupancy|energy_cost|noi_affo|debt|customer_inventory,false,false
COLD_CHAIN_DEBT_OCCUPANCY_RISK,cold_chain_scale|warehouse_network_premium|food_pharma_cold_chain_demand,occupancy_rate|debt_to_ebitda|energy_cost_ratio|affo_visibility,not_applicable_gate_only,cold_chain_scale_priced_before_profitability,net_loss|debt_burden|occupancy_decline|energy_cost_pressure|customer_inventory_normalization|post_ipo_drawdown,net_loss|debt|occupancy|energy_cost|customer_inventory,debt|occupancy|energy_cost|net_loss,true,false
BUILDING_MATERIALS_PRICE_COST,price_hike|cost_stabilization|housing_starts_recovery|infrastructure_demand,volume_recovery|opm_improvement|cost_pass_through|energy_cost_control,fcf_stability|volume_and_price_aligned|opm_improvement|infrastructure_demand_visible,building_material_price_hike_crowded|infrastructure_spend_priced|price_hike_fully_priced,volume_decline|energy_cost_spike|raw_material_cost_spike|construction_slowdown|ebitda_decline,volume_decline|energy_cost|raw_material_cost|construction_slowdown|ebitda_decline,price|cost|volume|opm|fcf,false,false
BUILDING_MATERIALS_VOLUME_FAILURE,price_hike|cost_cut_program|infrastructure_story,price_offset|cost_saving_amount,volume_recovery_required|ebitda_recovery_required,price_hike_story_priced_despite_volume,volume_decline|demand_slowdown|ebitda_decline|price_increase_not_enough,volume_decline|demand_slowdown|ebitda_decline|price_offset_failure,volume|ebitda|demand|price_cost,false,false
LOW_CARBON_CEMENT_PREMIUM,net_zero_cement|carbon_capture|ccs_project|green_construction_demand,product_presold_flag|carbon_capture_capacity_tons|ccs_subsidy_flag|customer_contract,green_premium_sustainable|repeat_contract|fcf_stability|production_scale,green_cement_premium_crowded|subsidy_risk_underpriced,ccs_cost_overrun|subsidy_cut|green_premium_not_accepted|storage_contract_failure,subsidy_durability_risk|ccs_cost|green_premium_uncertain|scale_up_risk,subsidy|green_premium|ccs_cost|customer_contract|fcf,false,false
BUILDING_PRODUCTS_MNA_SHIFT,building_products_mna|walling_roofing_insulation_shift|portfolio_shift,target_revenue|target_ebitda|mna_multiple|earnings_accretive_guidance_flag,synergy_realized|margin_improvement|fcf_growth|leverage_stable,mna_story_crowded|multiple_expansion_before_synergy,integration_failure|multiple_overpay|debt_burden|synergy_miss,integration_risk|multiple_overpay|leverage_after_mna|synergy_miss,mna_multiple|synergy|margin|leverage|fcf,false,false
PRECAST_WALLING_BUILDING_SOLUTIONS,precast_concrete_mna|walling_systems|water_management_systems|building_solutions_mix,target_revenue|production_site_count|earnings_accretive_guidance_flag|systems_selling_opportunity,synergy_realized|building_solutions_margin|fcf_growth|leverage_stable,building_solution_mna_story_crowded|multiple_expansion_before_synergy,deal_price_unknown|synergy_miss|integration_failure|europe_construction_slowdown|leverage_increase,deal_price_unknown|integration_risk|leverage_after_mna|synergy_miss,precast|walling|water_management|synergy|leverage,false,false
INFRA_RECONSTRUCTION_POLICY,ukraine_reconstruction|neom_city|overseas_infra_policy|disaster_recovery_policy,actual_contract|financing_secured|construction_started|revenue_recognition,multi_year_backlog|contract_margin_visible|delivery_schedule,policy_theme_crowded|reconstruction_basket_rally_before_contract,project_cancellation|financing_failure|geopolitical_setback|project_delay,no_actual_contract|financing|policy_event_only|project_delay,contract|financing|construction_started|revenue_recognition,false,false
