case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
us_transformer_shortage_korea_import_case,GRID_TRANSFORMER_SHORTAGE,POWER_TRANSFORMER_IMPORT,US power transformer shortage / Korean import reference,GLOBAL,success_candidate,GRID_TRANSFORMER_SHORTAGE,GREEN_POSSIBLE,2026-05-11,2026-05-11,,,,gsu_transformer_demand_growth|substation_transformer_demand_growth|lead_time_four_years|price_up_80pct|korea_import_slot,data_center_delay|capa_normalization|tariff_cost_spike,structural_shortage_candidate_needs_company_price_backfill,needs_price_backfill,false,"Transformer shortage is R1 Loop-2 top Green-capable evidence, but company-specific MFE/MAE and EPS revisions must be backfilled."
ls_electric_525kv_datacenter_transformer_case,GRID_TRANSFORMER_SHORTAGE,010120,LS ELECTRIC 525kV data-center transformer contract,KR,success_candidate,GRID_TRANSFORMER_SHORTAGE,GREEN_POSSIBLE,,,,,,525kv_transformer_contract|us_utility_counterparty|data_center_delivery_2027_2029|contract_value_312m_usd,exact_contract_date_needed|margin_unverified|capa_normalization,contract_quality_aligned_but_exact_stage_date_needs_backfill,needs_contract_date_backfill,false,"The month-level contract reference is strong, but exact contract date and margin data are not invented."
ge_vernova_data_center_orders_case,AI_DATA_CENTER_POWER_EQUIPMENT,GEV,GE Vernova data-center power orders,US,4b_watch,AI_DATA_CENTER_POWER_EQUIPMENT,GREEN_POSSIBLE,2026-04-22,2026-04-22,,2026-04-22,,orders_up_71pct|backlog_163b_usd|electrification_revenue_growth|data_center_orders|event_day_price_up_15pct,ytd_return_70pct|crowded_ai_power_equipment|bookings_slowdown_risk,aligned_plus_4b_watch,needs_price_backfill,false,"Orders/backlog and price reaction align, but 70% YTD move requires 4B-watch."
hanwha_aerospace_romania_k9_case,DEFENSE_GOVERNMENT_BACKLOG,012450,한화에어로스페이스 루마니아 K9 계약,KR,structural_success,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,,2024-07-09,,,,romania_k9_contract|k10_ammunition_vehicle|contract_1bn_usd|delivery_to_2029|backlog_growth|event_day_price_up,delivery_delay|cost_overrun|dilution,defense_backlog_aligned_candidate,needs_price_backfill,false,"Government customer, multi-year delivery, backlog growth, and event-day price reaction align; 180D/1Y/2Y price path still needs backfill."
hanwha_aerospace_europe_sales_case,DEFENSE_GOVERNMENT_BACKLOG,012450,한화에어로스페이스 유럽 지상무기 매출 visibility,KR,success_candidate,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,,2024-10-07,,,,europe_land_arms_sales_double_by_2027|poland_contracts|romania_contract|local_production_preference|backlog_10x_since_2020,localization_cost|delivery_delay|dilution,multi_year_visibility_candidate,needs_price_backfill,false,Regional repeat demand and local production improve visibility beyond a one-off contract.
hanwha_aerospace_dilution_case,DEFENSE_GOVERNMENT_BACKLOG,012450,한화에어로스페이스 대규모 자본조달 리스크,KR,failed_rerating,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,2025-03-27,2025-03-27,,2025-03-27,,share_issuance_plan|overseas_expansion_capex|drone_engine_development,large_equity_issuance|dilution|use_of_proceeds_unclear|event_day_price_down_13pct,capital_allocation_shock_4b_watch,needs_price_backfill,false,Strong defense backlog can be hit by dilution and unclear capital allocation.
hyundai_rotem_morocco_rail_case,RAIL_INFRASTRUCTURE,064350,현대로템 모로코 철도 수주,KR,success_candidate,RAIL_INFRASTRUCTURE,WATCH_YELLOW_FIRST,,2025-02-26,,,,morocco_oncf_contract|large_rail_order|contract_1_54b_usd|largest_rail_order|delivery_schedule_needed,margin_uncertainty|financing|project_delay,rail_infrastructure_stage2_candidate,needs_price_backfill,false,"A large signed rail order is Stage-2 style evidence; margin, delivery schedule, financing, and MFE need backfill."
korean_shipbuilder_contract_rally_case,SHIPBUILDING_OFFSHORE_BACKLOG,KR_SHIPBUILDERS,한국 조선주 수주·선가 랠리,KR,cyclical_success,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,,,,,,contract_wins|newbuilding_price_index_up|korea_order_share_recovery|group_price_reaction,low_margin_backlog|steel_plate_cost|labor_cost|order_slowdown,shipbuilding_price_aligned_candidate,needs_source_date_backfill,false,"Shipbuilding showed strong price reaction, but structural Green still depends on backlog quality and margin recognition."
hanwha_ocean_mro_rerating_case,SHIPBUILDING_OFFSHORE_BACKLOG,042660,한화오션 MRO 기대 리레이팅,KR,4b_watch,SHIPBUILDING_OFFSHORE_BACKLOG,GREEN_POSSIBLE,2025-04-28,2025-04-28,,2025-04-28,,shipbuilding_defense_mro_option|philadelphia_shipyard|us_navy_mro_expectation|price_up_139pct_ytd,kdb_block_sale_overhang|valuation_after_rapid_rise|mro_contract_unverified,shipbuilding_defense_mro_success_candidate_plus_4b_watch,needs_price_backfill,false,"MRO can change the valuation frame, but +139% YTD plus KDB overhang makes 4B-watch mandatory."
meta_constellation_nuclear_ppa_case,NUCLEAR_SMR_GRID_POLICY,CEG,Meta-Constellation nuclear PPA,US,success_candidate,NUCLEAR_SMR_GRID_POLICY,WATCH_YELLOW_FIRST,,2025-06-03,,,,twenty_year_nuclear_ppa|ai_data_center_power_demand|carbon_free_power_visibility|premarket_price_up_13_4pct,ppa_price_unverified|regulatory_risk|korea_equipment_mapping_needed,nuclear_ppa_aligned_reference,needs_price_backfill,false,"Existing nuclear PPA is stronger than SMR policy talk, but Korean equipment mapping needs direct contract evidence."
