target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,production_scoring_changed,normalization_point
NORTH_KOREA_POLICY_EVENT,POLICY_GEOPOLITICAL_EVENT,NORTH_KOREA_POLICY_EVENT,REDTEAM_FIRST,5,5,5,8,5,0,3,summit_or_dialogue|tourism_reopening_headline|inter_korea_infra_theme,sanctions_relief|binding_policy|funded_project|revenue_visibility,cash_flow_project|multi_year_contract|low_sanctions_risk,summit_expectation_rally|policy_theme_basket_crowding,military_tension|facility_dismantle|road_rail_destroyed|sanctions_intact,sanctions_relief|funded_project|cash_flow_project|revenue_visibility,sanctions|military_tension|facility_dismantle|policy_reversal,false,Inter-Korea headlines remain RedTeam-first until binding revenue and sanctions relief exist.
GEOPOLITICAL_RECONSTRUCTION,POLICY_GEOPOLITICAL_EVENT,GEOPOLITICAL_RECONSTRUCTION,REDTEAM_FIRST,12,10,8,10,8,0,4,reconstruction_conference|mou_or_policy_declaration|post_war_infra_theme,actual_project|project_financing|participating_company|construction_started,multi_year_revenue|supplier_margin|funded_backlog|delivery_schedule,reconstruction_basket_rally_before_contract|headline_project_priced,war_escalation|financing_failure|insurance_delay|project_start_delay,actual_project|project_financing|company_contract|margin_visibility,mou_only|financing_missing|geopolitical_setback|project_delay,false,"Reconstruction needs funded projects and company-level contract economics, not slogans."
DISASTER_REBUILD_EVENT,POLICY_GEOPOLITICAL_EVENT,DISASTER_REBUILD_EVENT,REDTEAM_FIRST,10,6,7,8,6,0,4,earthquake_rebuild|wildfire_rebuild|flood_or_typhoon_rebuild,rebuild_order|insurance_or_budget_approved|sell_through|margin_visibility,repeat_rebuild_demand|fcf_after_event|multi_period_orders,disaster_theme_rally|material_basket_crowding,one_off_rebuild_fade|insurance_delay|budget_delay|inventory_build,rebuild_order|budget_approved|margin_visibility|repeat_demand,one_off_demand|budget_delay|insurance_delay|inventory,false,"Disaster rebuilding is an event unless orders, budget, and margins repeat."
CLIMATE_DISASTER_EVENT,POLICY_GEOPOLITICAL_EVENT,CLIMATE_DISASTER_EVENT,WATCH_YELLOW_FIRST,12,12,10,10,8,0,5,heatwave|cooling_demand|grid_stress|air_quality_event,product_sales|grid_investment|cooling_order|repeat_weather_demand,structural_grid_capex|recurring_cooling_demand|op_eps_conversion,seasonal_weather_theme_rally|cooling_theme_crowded,weather_normalization|inventory_build|demand_fade|margin_reversal,repeat_demand|grid_capex|sales_or_order|margin_visibility,seasonality|weather_fade|inventory|no_sales_conversion,false,"Weather events can route to grid/cooling sectors, but weather itself is not Green evidence."
EVENT_DISEASE_PEST_DEMAND,POLICY_GEOPOLITICAL_EVENT,EVENT_DISEASE_PEST_DEMAND,REDTEAM_FIRST,12,8,8,8,6,0,5,outbreak_alert|who_emergency|pest_demand_spike|stockpile_headline,government_order|stockpile_contract|guide_up|dose_or_amount_disclosed,recurring_procurement|non_event_demand|ebitda_margin_visible,outbreak_news_rally|vaccine_or_pest_basket_crowding,outbreak_normalization|government_purchase_end|inventory_build|demand_cliff,government_order|stockpile_contract|guide_up|recurring_procurement,one_off_outbreak|demand_normalization|purchase_end|inventory,false,Outbreak/pest demand is event premium unless government orders or recurring demand are verified.
DIAGNOSTICS_INFECTIOUS_EVENT,POLICY_GEOPOLITICAL_EVENT,DIAGNOSTICS_INFECTIOUS_EVENT,REDTEAM_FIRST,20,5,5,5,5,0,5,diagnostic_test_demand|pandemic_or_outbreak_testing|test_kit_order,diagnostic_revenue_after_event|recurring_non_event_demand|margin_normalization,durable_testing_market|non_event_revenue_base|fcf_conversion,test_kit_rally_after_case_counts|diagnostic_margin_extrapolated,testing_demand_wane|diagnostic_sales_decline|guide_down|inventory_writeoff,non_event_revenue|recurring_testing_demand|margin_normalization|fcf_conversion,covid_like_one_off|sales_decline|guide_down|inventory,false,"Diagnostics can show EPS spikes, but one-off testing demand should not become structural Green."
SPECULATIVE_SCIENCE_THEME,POLICY_GEOPOLITICAL_EVENT,SPECULATIVE_SCIENCE_THEME,REDTEAM_FIRST,5,5,5,5,5,0,3,preprint|lab_claim|sns_video|paper_keyword,replication_success|customer_testing|commercial_product|contract_or_revenue,commercial_revenue|repeat_customer|eps_fcf_conversion,preprint_sns_rally|retail_theme_crowding,replication_failure|impurity_explanation|peer_review_failure|trading_warning,replication_success|commercial_product|customer_contract|revenue,replication_failure|no_commercial_product|preprint_only|sns_only,false,Speculative science is Green-blocked until commercialization and revenue are real.
ADVANCED_MATERIAL_SPECULATIVE_THEME,POLICY_GEOPOLITICAL_EVENT,ADVANCED_MATERIAL_SPECULATIVE_THEME,REDTEAM_FIRST,7,6,6,8,6,0,3,mxene_or_graphene_claim|quantum_material_news|advanced_material_theme,technical_validation|pilot_customer|supply_contract|revenue_conversion,repeat_order|commercial_scale|margin_visibility,advanced_material_theme_crowding|paper_to_price_gap,validation_failure|no_customer|no_revenue|dilution_or_funding_need,technical_validation|pilot_customer|revenue_conversion|margin_visibility,paper_only|no_customer|no_revenue|funding_need,false,Advanced materials need customer or revenue validation before Watch can become scoring evidence.
POLICY_LOCAL_THEME,POLICY_GEOPOLITICAL_EVENT,POLICY_LOCAL_THEME,REDTEAM_FIRST,5,5,5,8,5,0,3,local_policy_headline|administrative_capital_theme|regional_currency_policy,budget_approved|contract_awarded|construction_started|revenue_visibility,repeat_project_revenue|margin_visibility|fcf_conversion,local_policy_theme_rally|election_policy_crowding,policy_reversal|budget_cut|project_delay|no_company_exposure,budget_approved|contract_awarded|revenue_visibility|margin_visibility,budget_missing|policy_reversal|project_delay|no_exposure,false,Local policy themes need budget and revenue; policy labels alone are search routing only.
ONE_OFF_EVENT_DEMAND,POLICY_GEOPOLITICAL_EVENT,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,8,5,5,6,5,0,4,temporary_shortage|event_demand_spike|emergency_purchase,short_term_order|reported_revenue_spike|margin_visible,recurrence_proven|post_event_revenue_base|fcf_conversion,event_demand_extrapolated|peak_margin_crowding,demand_normalization|one_off_purchase_end|asp_or_margin_drop,recurrence_proven|post_event_revenue_base|fcf_conversion,one_off_risk|normalization|purchase_end|margin_reversal,false,"One-off event demand should usually be Yellow/Red, not Green."
