target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,gate_only,production_scoring_changed,normalization_point
SMART_FARM_AGRI_TECH,EDUCATION_LIFE_AGRI_MISC,SMART_FARM_AGRI_TECH,WATCH_YELLOW_FIRST,17,13,12,9,8,0,5,smart_farm_policy|autonomous_agri_equipment|vertical_farming|agri_ai,actual_order|operation_contract|maintenance_saas_revenue|capacity_utilization,unit_economics_positive|fcf_conversion|repeat_contracts|energy_cost_control,smart_farm_theme_crowded|vertical_farming_story_priced_before_unit_economics,chapter11|shutdown|energy_cost_failure|premium_pricing_failure|capex_burden,actual_order|operation_contract|unit_economics_positive|fcf_conversion,energy_cost|capex_burden|unit_economics_failure|subsidy_dependency,false,false,"Smart-farm labels need orders, utilization, energy-cost proof, and FCF before Green."
VERTICAL_FARMING_UNIT_ECONOMICS,EDUCATION_LIFE_AGRI_MISC,VERTICAL_FARMING_UNIT_ECONOMICS,REDTEAM_FIRST,8,6,5,7,5,0,4,vertical_farming|indoor_farm|hydroponics|leafy_greens|ai_farming_narrative,capacity_utilization|customer_contract|yield_stability|premium_pricing_success|energy_cost_control,unit_economics_positive|repeat_customer_demand|fcf_conversion|low_energy_cost_burden,vertical_farming_unicorn_narrative|premium_pricing_assumed|capex_risk_ignored,shutdown|chapter11|energy_cost_failure|premium_pricing_failure|yield_loss|capex_burden,unit_economics_positive|customer_contract|energy_cost_control|fcf_conversion,energy_cost_failure|capex_burden|premium_pricing_failure|shutdown|chapter11,false,false,Vertical farming is separated from smart-farm automation because unit economics can break the whole thesis.
AGRI_MACHINERY_PRECISION_CYCLE,EDUCATION_LIFE_AGRI_MISC,AGRI_MACHINERY_PRECISION_CYCLE,WATCH_YELLOW_FIRST,16,13,10,10,9,1,5,autonomous_tractor|precision_agriculture|agri_drone|ces_technology_demo,equipment_sales_growth|farmer_roi|software_attach_rate|service_revenue,recurring_software_or_service|farm_income_support|low_financing_stress,autonomous_agri_theme_crowded|technology_priced_before_adoption,farm_income_weakness|high_borrowing_cost|equipment_sales_decline|right_to_repair_lawsuit,equipment_sales_growth|farmer_roi|software_attach_rate|service_revenue,farm_income|financing_cost|replacement_cycle|right_to_repair|dealer_inventory,false,false,"Autonomous farm equipment still needs farm-income, financing, adoption, and software attachment checks."
AGRI_MACHINERY_DEMAND_CYCLE,EDUCATION_LIFE_AGRI_MISC,AGRI_MACHINERY_DEMAND_CYCLE,WATCH_YELLOW_FIRST,14,11,8,9,7,1,5,equipment_replacement_cycle|farm_productivity|precision_agriculture_narrative,equipment_sales_growth|dealer_inventory_normalization|farm_income_improvement,recurring_software_or_service|equipment_cycle_buffered|fcf_conversion,autonomous_precision_agri_expectation_crowded,crop_price_decline|financing_cost_increase|rental_instead_of_purchase|dealer_inventory_increase,equipment_sales_growth|dealer_inventory_normalization|service_revenue|fcf_conversion,farm_income_weakness|crop_price|dealer_inventory|farmer_financing_cost,false,false,Farm-equipment demand is scored separately from precision-agriculture technology because crop prices and dealer inventory can break the case.
AGRI_MACHINERY_SOFTWARE_LOCKIN,EDUCATION_LIFE_AGRI_MISC,AGRI_MACHINERY_SOFTWARE_LOCKIN,WATCH_YELLOW_FIRST,16,14,9,11,9,1,5,software_enabled_equipment|precision_agriculture_platform|dealer_network_lockin|repair_software,software_attach_rate|service_revenue|farmer_roi|authorized_service_revenue,recurring_software_or_service|low_regulatory_risk|customer_retention|fcf_conversion,software_lockin_multiple_expansion|right_to_repair_risk_ignored,right_to_repair_lawsuit|repair_monopoly_allegation|settlement_cost|ftc_lawsuit|customer_backlash,software_attach_rate|service_revenue|customer_retention|fcf_conversion,right_to_repair|repair_monopoly|ftc_lawsuit|customer_backlash,false,false,Farm-equipment software lock-in earns credit only after right-to-repair and dealer-monopoly risks are checked.
RIGHT_TO_REPAIR_REGULATORY_OVERLAY,EDUCATION_LIFE_AGRI_MISC,RIGHT_TO_REPAIR_REGULATORY_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,right_to_repair_lawsuit|repair_monopoly_allegation|ftc_scrutiny,settlement_terms|digital_tool_access|customer_repair_rights,low_regulatory_risk,software_lockin_priced_without_regulatory_risk,settlement_cost|ftc_lawsuit|repair_monopoly_allegation|customer_backlash,regulatory_risk_resolved|customer_retention|service_revenue,right_to_repair|repair_monopoly|settlement_cost|ftc_lawsuit|customer_backlash,true,false,Right-to-repair is a RedTeam overlay for software lock-in; it gates confidence rather than adding positive score.
RIGHT_TO_REPAIR_CONSTRUCTION_EXPANSION,EDUCATION_LIFE_AGRI_MISC,RIGHT_TO_REPAIR_CONSTRUCTION_EXPANSION,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,construction_equipment_repair_lawsuit|independent_repair_access_restriction|dealer_network_dependency,settlement_terms|digital_tool_access|independent_repair_access,low_regulatory_risk,repair_lockin_priced_without_construction_equipment_litigation,construction_equipment_litigation|class_action_expansion_risk|repair_monopoly_allegation|customer_backlash,regulatory_risk_resolved|customer_retention|service_revenue,construction_equipment_litigation|repair_monopoly|class_action_expansion|customer_backlash,true,false,Right-to-repair risk can expand from farm machinery to construction equipment; this gates software lock-in quality.
AGRI_INPUT_SEED_CROP_PROTECTION,EDUCATION_LIFE_AGRI_MISC,AGRI_INPUT_SEED_CROP_PROTECTION,WATCH_YELLOW_FIRST,18,16,11,12,10,1,5,seed_licensing|crop_protection_patent|food_security|new_product,licensing_revenue|price_pass_through|farmer_roi|ebitda_improvement,repeat_seed_revenue|crop_protection_margin|litigation_control|fcf_conversion,food_security_seed_ip_theme_crowded,crop_protection_litigation|patent_expiry|regulatory_restriction|farmer_margin_pressure,licensing_revenue|farmer_roi|ebitda_improvement|fcf_conversion,litigation|patent_expiry|regulation|farmer_margin,false,false,"Seed and crop-protection stories need licensing/IP economics, farmer ROI, and litigation/regulatory controls."
FERTILIZER_INPUT_COST_CYCLE,EDUCATION_LIFE_AGRI_MISC,FERTILIZER_INPUT_COST_CYCLE,WATCH_YELLOW_FIRST,18,11,14,9,8,0,5,potash_price|phosphate_price|nitrogen_price|supply_disruption|crop_nutrient_depletion,fertilizer_volume|fertilizer_price|margin_improvement|application_rate,low_cost_supply|structural_demand|fcf_conversion,fertilizer_price_spike_theme_crowded,crop_price_decline|farmer_margin_pressure|demand_deferral|input_cost_spike|guidance_cut,volume_growth|price_margin|farmer_roi|fcf_conversion,crop_price|farmer_margin|input_cost|demand_deferral|geopolitical_supply,false,false,"Fertilizer can be a strong cycle, but crop prices, farmer margin, input cost, and geopolitics cap Green."
FERTILIZER_STRATEGIC_PHOSPHATE_OPTION,EDUCATION_LIFE_AGRI_MISC,FERTILIZER_STRATEGIC_PHOSPHATE_OPTION,WATCH_YELLOW_FIRST,16,12,13,10,8,0,5,phosphate_strategic_mineral|phosphate_asset_review|phosphate_price|potash_price,phosphate_volume|phosphate_revenue|fertilizer_volume|fcf_conversion,low_cost_supply|asset_option_value_backed_by_cash_flow|farmer_roi|fcf_conversion,phosphate_option_priced_without_farmer_margin_check,crop_price_decline|farmer_margin_pressure|input_cost_spike|asset_sale_uncertainty|demand_deferral,phosphate_revenue|volume_growth|farmer_roi|fcf_conversion,crop_price|farmer_margin|input_cost|asset_sale_uncertainty|demand_deferral,false,false,"Strategic phosphate optionality is only Watch/Yellow unless volume, farmer ROI, and FCF support it."
FERTILIZER_INPUT_COST_SULFURIC_ACID,EDUCATION_LIFE_AGRI_MISC,FERTILIZER_INPUT_COST_SULFURIC_ACID,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,phosphate_price_strength|fertilizer_supply_tightness|sulfuric_acid_cost|sulfur_cost,input_cost_risk_detected|production_guidance_at_risk,normally_blocked_if_input_cost_overwhelms_phosphate_price,fertilizer_price_rally_before_input_cost_audit,sulfuric_acid_spike|sulfur_cost_spike|ammonia_cost_spike|urea_cost_spike|production_curtailment|guidance_withdrawal|loss_reported,input_cost_risk_resolved|farmer_margin_stable|fcf_conversion,sulfuric_acid|sulfur|ammonia|urea|production_curtailment|guidance_withdrawal,true,false,"Fertilizer price strength can fail when sulfuric acid, sulfur, ammonia, or urea costs overwhelm phosphate pricing."
AGRI_LIVESTOCK_FOOD_COMMODITY,EDUCATION_LIFE_AGRI_MISC,AGRI_LIVESTOCK_FOOD_COMMODITY,REDTEAM_FIRST,18,8,14,8,7,0,5,avian_flu|asf|egg_price_spike|feed_cost_change|soybean_or_tuna_price,price_pass_through|op_profit_increase|cost_stabilization,structural_green_restricted|multi_period_margin_stability,food_price_cycle_crowded|disease_price_spike_extrapolated,price_normalization|feed_cost_spike|government_inquiry|price_fixing_investigation|disease_normalization,price_pass_through|cost_stabilization|multi_period_margin_stability,disease_event|feed_cost|weather|price_normalization|government_inquiry,false,false,"Livestock and food commodities are usually cyclical success or RedTeam cases, not structural Green."
LIVESTOCK_DISEASE_PRICE_REGULATORY,EDUCATION_LIFE_AGRI_MISC,LIVESTOCK_DISEASE_PRICE_REGULATORY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,avian_flu_price_spike|egg_price_spike|price_fixing_investigation|doj_investigation,multi_period_margin_stability|disease_normalization_checked|cost_stabilization,normally_blocked_if_disease_or_price_investigation_drives_profit,food_price_spike_priced_as_structural,price_fixing_investigation|doj_investigation|price_normalization|consumer_backlash|disease_normalization,investigation_resolved|multi_period_margin_stability|cost_stabilization,price_fixing_investigation|doj_investigation|price_normalization|consumer_backlash|disease_normalization,true,false,"Disease-driven livestock price spikes are regulatory and cycle gates, not structural Green evidence."
ANIMAL_HEALTH_BIOSECURITY,EDUCATION_LIFE_AGRI_MISC,ANIMAL_HEALTH_BIOSECURITY,WATCH_YELLOW_FIRST,18,16,8,11,9,0,5,outbreak|vaccine_conditional_approval|government_stockpile,government_purchase_contract|government_stockpile|repeat_vaccination|guidance_up|distribution_channel,recurring_animal_health_revenue|customer_diversification|fcf_conversion,animal_vaccine_event_crowded|stockpile_story_priced,government_purchase_end|disease_normalization|vaccine_unused|trade_restriction,government_purchase_contract|repeat_vaccination|recurring_revenue|fcf_conversion,emergency_license|one_off_stockpile|government_policy_uncertain|outbreak_normalization,false,false,"Animal-health can improve after approval and stockpile demand, but one-off outbreak risk remains."
