target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop3_penalty_axes,gate_only,production_scoring_changed,normalization_point
AUTO_MOBILITY_COMPLETED_VEHICLE,MOBILITY_TRANSPORT_LEISURE,AUTO_MOBILITY_COMPLETED_VEHICLE,WATCH_YELLOW_FIRST,20,18,10,15,17,10,5,hybrid_demand|ev_slowdown_response|shareholder_return_policy|local_production_plan,sales_target|op_margin_target|buyback_or_dividend|fcf_margin|roe_pbr_rerating,durable_fcf|high_margin_mix|shareholder_return_execution|old_auto_discount_removed,valueup_narrative_crowded|hybrid_story_fully_priced|peak_margin_ignored,tariff_hit|op_margin_cut|recall_cost|peak_margin_reversal|demand_slowdown,hybrid_or_mix_improvement|op_margin_target|fcf_margin|shareholder_return|tariff_risk_low,tariff|op_margin_cut|recall|peak_margin|local_production_capex,tariff|opm_cut|recall|peak_margin,false,false,"Completed vehicles can be Watch-to-Green only when hybrid/mix, OPM, FCF, and capital return are source-backed."
AUTO_HYBRID_VALUEUP,MOBILITY_TRANSPORT_LEISURE,AUTO_HYBRID_VALUEUP,GREEN_POSSIBLE,21,20,11,15,17,10,5,ev_slowdown_response|hybrid_lineup_expansion|erev_strategy|shareholder_return_policy,sales_target|op_margin_target|buyback_or_dividend|dividend_policy_change|fcf_margin,roe_fcf_persistent|shareholder_return_execution|hybrid_mix_margin|pbr_per_frame_improves,auto_valueup_narrative_crowded|hybrid_margin_fully_priced,tariff_hit|op_margin_cut|recall_cost|peak_margin_reversal|demand_slowdown,hybrid_sales_growth|op_margin_target|fcf_margin|shareholder_return_ratio|tariff_risk_low,tariff|hybrid_capa|quality_cost|return_execution,tariff|hybrid_capa|quality_cost|return_execution,false,false,"Auto hybrid value-up is Green-eligible only when hybrid mix, OPM, FCF, and returns align."
AUTO_MOBILITY_COMPONENTS,MOBILITY_TRANSPORT_LEISURE,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,20,18,11,14,14,3,5,hybrid_component_demand|electronics_component|lighting_or_adas_demand,customer_delivery|customer_diversification|opm_improvement|cost_pass_through,high_value_mix|repeat_program_visibility|fcf_improvement|quality_cost_low,component_group_multiple_expansion,customer_concentration|raw_material_cost_spike|quality_cost|program_delay,customer_delivery|cost_pass_through|customer_diversification|op_eps_revision,customer_concentration|raw_material|quality_cost|bottleneck_normalization,customer_concentration|raw_material|bottleneck_normalization,false,false,"Auto components need customer diversification, cost pass-through, OPM, and repeat programs."
HYBRID_COMPONENT_BOTTLENECK,MOBILITY_TRANSPORT_LEISURE,HYBRID_COMPONENT_BOTTLENECK,WATCH_YELLOW_FIRST,21,19,14,14,13,2,5,hybrid_wait_time|motor_bottleneck|inverter_bottleneck|magnet_bottleneck,customer_delivery|hybrid_component_order|capa_shortage|opm_improvement,high_value_hybrid_mix|fcf_improvement|cost_pass_through|customer_delivery_visible,hybrid_component_bottleneck_crowded,capacity_normalization|single_customer|raw_material_cost_spike|quality_cost,hybrid_component_order|customer_delivery|opm_improvement|cost_pass_through,capacity_normalization|single_customer|raw_material|quality_cost,capacity_normalization|single_customer|raw_material,false,false,"Hybrid bottleneck needs actual deliveries and margin, not just hybrid demand."
AUTO_COMPONENTS_EV_ADAS,MOBILITY_TRANSPORT_LEISURE,AUTO_COMPONENTS_EV_ADAS,WATCH_YELLOW_FIRST,18,16,9,13,11,0,5,adas_adoption|sensor_or_camera_order|ev_component_demand,actual_adoption|customer_diversification|development_cost_control,content_per_vehicle_growth|multi_customer_program|op_eps_revision,adas_theme_crowded,actual_adoption_missing|customer_concentration|development_cost|program_delay,actual_adoption|customer_diversification|op_eps_revision,actual_adoption_missing|customer_concentration|development_cost,actual_adoption|development_cost|single_customer,false,false,"ADAS parts need actual adoption and customer diversification, not autonomy theme labels."
AUTONOMOUS_ROBOTAXI_DEPLOYMENT,MOBILITY_TRANSPORT_LEISURE,AUTONOMOUS_ROBOTAXI_DEPLOYMENT,WATCH_YELLOW_FIRST,17,17,10,15,10,0,6,robotaxi_partnership|pilot_launch|service_area_expansion|autonomous_platform,robotaxi_service_area|robotaxi_fleet_size|paid_ride_volume|platform_integration,unit_economics|safety_record_clean|insurance_liability_cost_stable|vehicle_utilization,robotaxi_scale_narrative_crowded,safety_recall|weather_handling_failure|nhtsa_scrutiny|service_suspension|insurance_liability_cost,paid_ride_volume|vehicle_utilization|safety_record_clean|unit_economics,safety_recall|nhtsa_scrutiny|weather_handling|unit_economics,safety|nhtsa|weather|unit_economics,false,false,"Robotaxi is Watch-to-Green only after deployment, paid rides, safety, and unit economics are proven."
TIRE_AUTO_COMPONENT_SPREAD,MOBILITY_TRANSPORT_LEISURE,TIRE_AUTO_COMPONENT_SPREAD,WATCH_YELLOW_FIRST,17,12,12,10,9,2,5,tire_demand_recovery|raw_material_spread|replacement_market,oe_re_mix|north_america_demand_stable|op_eps_revision|fcf_margin,spread_fcf_persistent|replacement_demand_resilient|china_competition_controlled,spread_peak_ignored,north_america_demand_slowdown|replacement_market_weakness|raw_material_spike|tariff_hit|fcf_guidance_cut,oe_re_mix|raw_material_spread|op_eps_revision|fcf_margin,north_america_demand|raw_material|tariff|fcf_guidance_cut,north_america_demand|raw_material|tariff|fcf,false,false,Tire Green is restricted; demand recovery must become margin and FCF.
AIRLINE_TRAVEL_CYCLE,MOBILITY_TRANSPORT_LEISURE,AIRLINE_TRAVEL_CYCLE,WATCH_YELLOW_FIRST,18,14,5,12,10,2,5,passenger_recovery|cargo_rate|airline_merger|reopening_news,revenue_op_improvement|integration_synergy|passenger_cargo_mix|load_factor,fcf_cost_stability|fuel_fx_risk_low|integration_cost_controlled,integration_or_reopening_crowded|cargo_cycle_ignored,fuel_shock|fx_loss|integration_cost|cargo_passenger_slowdown|tariff_trade_uncertainty,load_factor|yield_or_margin|fuel_fx_risk_low|integration_cost_controlled,fuel|fx|integration_cost|cargo_cycle|regulatory_condition,fuel|fx|integration|cargo_cycle,false,false,Airline recovery is Watch-first; traffic without margin is not Green evidence.
TRAVEL_LEISURE_REOPENING,MOBILITY_TRANSPORT_LEISURE,TRAVEL_LEISURE_REOPENING,WATCH_YELLOW_FIRST,17,13,5,12,10,1,5,tourist_recovery|hotel_occupancy|leisure_reopening,revpar_improvement|op_leverage|visitor_spend|average_spend_per_visitor,repeat_travel_spend|occupancy_and_margin_visible|revpar_persistent,reopening_policy_crowded,visitor_mix_weak|occupancy_slowdown|cost_inflation|policy_event_only,visitor_spend|hotel_occupancy|revpar|opm_improvement,tourist_mix|policy_event_only|cost_inflation|occupancy_slowdown,tourist_mix|occupancy|policy_event,false,false,"Travel needs spend and operating leverage, not arrival headlines alone."
CASINO_DUTYFREE_TOURISM,MOBILITY_TRANSPORT_LEISURE,CASINO_DUTYFREE_TOURISM,WATCH_YELLOW_FIRST,18,13,5,12,10,2,5,visa_policy|china_group_tourism|casino_dutyfree_recovery,tourist_spend|casino_drop_amount|duty_free_sales|hotel_occupancy|vip_mix,visitor_mix_diversified|china_dependence_lower|cashflow_margin_visible,tourism_policy_rally_crowded|spend_unverified_policy_rally,drop_slowdown|duty_free_asp_weak|china_mix_weak|capex_burden,tourist_arrivals|casino_drop_amount|duty_free_sales|opm_improvement,china_dependence|drop_amount|duty_free_asp|policy_event_only,china_dependence|drop_amount|dutyfree_asp,false,false,"Tourism policy is Stage 1 until actual spend, drop, ASP, and OPM are visible."
