target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,gate_only,production_scoring_changed,normalization_point
NORTH_KOREA_POLICY_EVENT,POLICY_GEOPOLITICAL_EVENT,NORTH_KOREA_POLICY_EVENT,REDTEAM_FIRST,4,3,5,8,4,0,3,summit_or_dialogue|tourism_reopening_headline|sanctions_discussion|inter_korea_infra_theme,government_approval|business_restart|sanctions_relief|cash_flow_project,very_rare_cash_flow_project|multi_year_contract|low_sanctions_risk,summit_expectation_rally|policy_theme_basket_crowding|tourism_reopen_price_spike,military_tension|facility_dismantle|road_rail_destroyed|sanctions_intact|hostile_state_rhetoric,sanctions_relief|funded_project|cash_flow_project|revenue_visibility,sanctions|military_tension|facility_dismantle|road_rail_destroyed|policy_reversal,false,false,North Korea policy themes remain hard Red-biased until sanctions relief and cash-flow evidence exist.
GEOPOLITICAL_RECONSTRUCTION,POLICY_GEOPOLITICAL_EVENT,GEOPOLITICAL_RECONSTRUCTION,WATCH_YELLOW_FIRST,12,11,8,10,8,0,4,reconstruction_conference|mou_or_policy_declaration|post_war_infra_theme,actual_project|project_financing|participating_company|company_contract|construction_started,multi_year_revenue|supplier_margin|funded_backlog|delivery_schedule,reconstruction_basket_rally_before_contract|headline_project_priced|financing_expectation_crowding,war_escalation|financing_failure|insurance_delay|project_start_delay,actual_project|project_financing|company_contract|margin_visibility,mou_only|financing_missing|geopolitical_setback|project_delay,false,false,Reconstruction is a Watch path only after funded projects and company-level exposure appear.
REAL_RECONSTRUCTION_FINANCING,POLICY_GEOPOLITICAL_EVENT,REAL_RECONSTRUCTION_FINANCING,WATCH_YELLOW_FIRST,14,15,9,11,9,0,5,reconstruction_need|international_financing_intent|mou_or_support_declaration,ebrd_ifc_financing|guarantee_structure|operating_company|infrastructure_asset|project_financing,company_contract|revenue_recognition|margin_visibility|multi_year_cashflow,single_financing_case_generalized_to_theme|reconstruction_theme_crowded,financing_delay|war_reescalation|guarantee_absent|project_cancellation|no_company_contract,project_financing|operating_company|infrastructure_asset|company_contract|revenue_visibility,war_risk|financing_delay|no_company_contract|insurance_absent,false,false,"Real reconstruction financing is stronger than a slogan, but still needs company-level revenue and margin proof."
CRITICAL_INFRA_RECONSTRUCTION_FINANCING,POLICY_GEOPOLITICAL_EVENT,CRITICAL_INFRA_RECONSTRUCTION_FINANCING,WATCH_YELLOW_FIRST,15,16,10,12,9,0,5,critical_infra_rebuild|grid_reconstruction|port_concession|telecom_resilience|transformer_shelter,concession_signed|project_financing|guarantee_structure|operating_asset|critical_infra_asset,company_contract|revenue_recognition|margin_visibility|multi_year_infra_cashflow,critical_infra_theme_priced_before_company_contract|single_financing_case_extrapolated,war_reescalation|insurance_absent|guarantee_failure|project_delay|concession_cancelled,project_financing|guarantee_structure|critical_infra_asset|company_contract|revenue_visibility,war_risk|insurance_absent|guarantee_failure|no_company_contract|project_delay,false,false,"Critical-infra reconstruction is Stage 2 only when financing, guarantees, concession/assets, and company-level exposure are visible."
STRATEGIC_SUPPLY_CHAIN_EXPORT_CONTROL_EVENT,POLICY_GEOPOLITICAL_EVENT,STRATEGIC_SUPPLY_CHAIN_EXPORT_CONTROL_EVENT,WATCH_YELLOW_FIRST,12,12,17,12,8,0,5,export_control|export_license_delay|rare_earth_supply_shock|strategic_material_price_spike,export_license_delay_flag|rare_earth_export_control_flag|price_spike_multiple|customer_supply_chain_disruption,domestic_capacity|alternative_supply_contract|offtake_contract|price_floor|fcf_conversion,export_control_theme_rally|rare_earth_basket_crowding|macro_bottleneck_extrapolated_to_no_capacity_names,export_control_relief|truce_extension|license_approval_recovery|price_spike_normalization|no_domestic_capacity,domestic_capacity_flag|alternative_supply_contract_flag|offtake_contract_flag|price_floor_flag|revenue_recognized_flag,export_control_relief|no_domestic_capacity|no_offtake_contract|price_spike_normalization,false,false,Export-control events are macro bottleneck evidence; company-level capacity and offtake are required before higher-stage use.
EXPORT_CONTROL_TO_OFFTAKE_ESCALATION,POLICY_GEOPOLITICAL_EVENT,EXPORT_CONTROL_TO_OFFTAKE_ESCALATION,WATCH_YELLOW_FIRST,16,17,17,13,10,1,5,export_control|strategic_material_supply_shock|customer_shortage|government_supply_chain_support,alternative_supply_contract|offtake_contract|price_floor|domestic_capacity|government_support,multi_year_offtake|price_floor_visible|volume_and_margin_visibility|fcf_conversion,offtake_hope_priced_before_contract|scarcity_theme_crowding,offtake_absent|price_floor_absent|capacity_delay|export_control_relief|customer_contract_missing,alternative_supply_contract_flag|offtake_contract_flag|price_floor_flag|domestic_capacity_flag|volume_margin_visibility,offtake_absent|price_floor_absent|capacity_delay|export_control_relief,false,false,"An export-control event only escalates when it becomes alternative supply, offtake, price-floor, capacity, and margin evidence."
DISASTER_REBUILD_EVENT,POLICY_GEOPOLITICAL_EVENT,DISASTER_REBUILD_EVENT,WATCH_YELLOW_FIRST,10,6,7,8,6,0,4,earthquake_rebuild|wildfire_rebuild|flood_or_typhoon_rebuild|rebuild_material_theme,rebuild_order|insurance_or_budget_approved|sell_through|margin_visibility,repeat_rebuild_demand|fcf_after_event|multi_period_orders,disaster_theme_rally|material_basket_crowding|insurance_expectation_rally,one_off_rebuild_fade|insurance_delay|budget_delay|inventory_build,rebuild_order|budget_approved|margin_visibility|repeat_demand,one_off_demand|budget_delay|insurance_delay|inventory,false,false,"Disaster rebuilding needs orders, budget, insurance, and margin checks before scoring credit."
CLIMATE_DISASTER_EVENT,POLICY_GEOPOLITICAL_EVENT,CLIMATE_DISASTER_EVENT,WATCH_YELLOW_FIRST,13,14,11,10,8,0,5,heatwave|cooling_demand|grid_stress|air_quality_event|wildfire_or_flood_event,grid_investment|cooling_order|demand_response_program|vpp_program|repeat_weather_demand,structural_grid_capex|recurring_cooling_demand|energy_system_investment|op_eps_conversion,seasonal_weather_theme_rally|cooling_theme_crowded|grid_theme_price_spike,weather_normalization|inventory_build|demand_fade|margin_reversal|policy_budget_delay,repeat_demand|grid_capex|sales_or_order|margin_visibility|vpp_or_ess_revenue,seasonality|weather_fade|inventory|no_sales_conversion,false,false,"Climate events become stronger only when they cross into grid, cooling, VPP, ESS, or rebuild capex."
CLIMATE_EVENT_TO_GRID_INFRA,POLICY_GEOPOLITICAL_EVENT,CLIMATE_EVENT_TO_GRID_INFRA,WATCH_YELLOW_FIRST,15,16,13,11,9,0,5,heatwave|cooling_demand|peak_load_increase|grid_stress,grid_stress|peak_load_increase_estimate|vpp_program|plug_in_battery_program|ess_or_grid_response_contract|cooling_infrastructure_order,recurring_grid_service_revenue|energy_system_investment|repeat_program_expansion|op_eps_conversion,heatwave_grid_theme_crowded|pilot_program_extrapolated,pilot_program_ends|budget_delay|no_follow_on_contract|weather_normalization,vpp_program|battery_program_capacity|grid_service_revenue|repeat_program_expansion,seasonal_demand|pilot_only|budget_delay|no_sales_conversion,false,false,"Climate event-to-grid cases need VPP, ESS, grid service, or repeat program evidence before Green is considered."
EVENT_DISEASE_PEST_DEMAND,POLICY_GEOPOLITICAL_EVENT,EVENT_DISEASE_PEST_DEMAND,REDTEAM_FIRST,13,9,8,8,6,0,5,outbreak_alert|who_emergency|pest_demand_spike|stockpile_headline,government_order|stockpile_contract|guide_up|dose_or_amount_disclosed,recurring_procurement|non_event_demand|ebitda_margin_visible,outbreak_news_rally|vaccine_or_pest_basket_crowding|demand_extrapolated,outbreak_normalization|government_purchase_end|inventory_build|demand_cliff,government_order|stockpile_contract|guide_up|recurring_procurement,one_off_outbreak|demand_normalization|purchase_end|inventory,false,false,"Disease/pest events are RedTeam-first unless orders, stockpile contracts, and guidance are source-backed."
