target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop9_penalty_axes,gate_only,production_scoring_changed,normalization_point
REFINING_OIL_SPREAD,MATERIALS_SPREAD_STRATEGIC,REFINING_OIL_SPREAD,WATCH_YELLOW_FIRST,18,12,16,10,8,5,10,refining_margin_rebound|oil_geopolitical_event|inventory_gain|logistics_normalization,refining_op_improvement|inventory_gain_loss_excluded|core_refining_margin|op_revision_1q,repeat_fcf|core_margin_durable|high_margin_mix|inventory_noise_excluded,refining_margin_peak|inventory_gain_crowded|geopolitical_premium_fully_priced,refining_margin_drop|inventory_loss|logistics_recovery_delay|demand_slowdown,repeat_fcf|core_margin_durable|inventory_noise_excluded,inventory_loss|refining_margin_drop|temporary_crack_spread|geopolitical_event_reversal,refining_margin|inventory_gain_loss|logistics|geopolitics,false,false,Refining remains Watch because crack spread and inventory gains are not durable FCF by themselves.
LUBRICANTS_HIGH_MARGIN_MIX,MATERIALS_SPREAD_STRATEGIC,LUBRICANTS_HIGH_MARGIN_MIX,GREEN_POSSIBLE,19,16,12,12,10,6,10,lubricants_high_margin_mix|base_oil_margin|repeat_industrial_demand,mix_ratio_improves|repeat_demand|opm_expansion|fcf_margin,high_margin_mix_durable|repeat_customer_demand|capital_return|fcf_conversion,lubricants_premium_crowded|margin_peak_ignored,oil_price_shock|mix_deterioration|industrial_demand_slowdown|margin_reversal,high_margin_mix_durable|repeat_demand|fcf_conversion|capital_return,mix_deterioration|oil_price_shock|demand_slowdown,oil_price|mix|demand|margin,false,false,Lubricants can move toward Green only when high-margin mix is repeatable and cash-generative.
CHEMICAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,CHEMICAL_SPREAD,REDTEAM_FIRST,14,5,12,7,5,4,10,chemical_spread_rebound|china_stimulus|product_price_rebound|restocking,actual_op_improvement|spread_change_90d|inventory_normalization|capacity_shutdown,supply_glut_easing|restructuring|durable_spread|fcf_margin,spread_recovery_crowded|china_stimulus_overpriced,china_middle_east_capacity_glut|spread_reversal|inventory_increase|op_fcf_drop,supply_glut_easing|capacity_restructuring|durable_fcf,china_middle_east_capacity_glut|supply_glut|spread_reversal|inventory_increase,oversupply|supply_glut|china_middle_east_capacity|inventory,false,false,Chemicals are RedTeam-first because spread rebound can reverse before FCF becomes structural.
STEEL_METAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,STEEL_METAL_SPREAD,WATCH_YELLOW_FIRST,17,10,15,10,7,5,10,steel_spread|iron_ore_price|china_construction_demand|plate_price,steel_spread_improvement|cost_control|op_revision_1q|inventory_normalization,supply_discipline|demand_recovery|fcf_margin|dividend_supported_by_fcf,steel_recovery_crowded|dividend_expectation_full,iron_ore_price_decline|china_demand_weakness|dividend_cut|profit_downcycle,supply_discipline|demand_recovery|fcf_margin,chinese_exports|china_demand_weakness|dividend_cut|price_pressure,china_demand|iron_ore|steel_spread|dividend,false,false,"Steel is Watch; China demand, raw material cost, and dividends decide whether the story survives."
IRON_ORE_CHINA_DEMAND_CYCLE,MATERIALS_SPREAD_STRATEGIC,IRON_ORE_CHINA_DEMAND_CYCLE,REDTEAM_FIRST,16,8,14,8,6,5,10,iron_ore_price|china_property_demand|steel_production|dividend_expectation,iron_ore_margin|china_demand_visible|capital_return_supported|cost_curve_advantage,low_cost_position|china_demand_recovery|fcf_defense|dividend_supported_by_fcf,iron_ore_rebound_crowded|dividend_expectation_full,iron_ore_price_decline|china_demand_weakness|dividend_cut|profit_downcycle,low_cost_position|fcf_defense|dividend_supported_by_fcf|demand_recovery,iron_ore_price_decline|china_demand_weakness|dividend_cut|profit_downcycle,china_demand|iron_ore_price|dividend_cut|profit_downcycle,false,false,Iron ore is RedTeam-first because China demand weakness can quickly cut profit and capital return.
NONFERROUS_STRATEGIC_METALS,MATERIALS_SPREAD_STRATEGIC,NONFERROUS_STRATEGIC_METALS,WATCH_YELLOW_FIRST,18,14,15,12,8,6,10,copper_zinc_aluminum_price|smelting_margin|mine_disruption|strategic_metal_keyword,realized_metal_price|smelting_margin|op_revision_1q|fcf_margin,cost_curve_advantage|supply_constraint|fcf_conversion|capital_return,nonferrous_price_rally_crowded|event_premium_confused_with_fcf,metal_price_drop|china_demand_slowdown|smelting_margin_drop|governance_event_only,cost_curve_advantage|supply_constraint|fcf_conversion|capital_return,metal_price_drop|smelting_margin_drop|event_premium|governance_dispute,metal_price|smelting_margin|event_premium|china_demand,false,false,Nonferrous needs smelting-margin and FCF evidence; event price moves must be separated.
COPPER_AI_GRID_STRUCTURAL_DEMAND,MATERIALS_SPREAD_STRATEGIC,COPPER_AI_GRID_STRUCTURAL_DEMAND,GREEN_POSSIBLE,20,16,20,12,8,6,10,ai_datacenter_grid_demand|grid_modernization|ev_renewable_copper_demand|copper_price_breakout,deficit_forecast|mine_disruption|company_eps_revision|realized_copper_price,low_cost_production|production_volume_stable|fcf_conversion|capital_return,ai_copper_narrative_crowded|stockpile_distortion_ignored|physical_etf_flow_overpriced,copper_price_drop|mine_supply_normalization|demand_destruction|tariff_inventory_unwind,low_cost_production|production_volume_stable|fcf_conversion|capital_return,inventory_distortion|tariff_stockpile|mine_restart|demand_destruction,tariff_inventory|mine_restart|demand_destruction|stockpile,false,false,"Copper has AI-grid demand, but company-level Green still needs cost curve, volume, FCF, and returns."
COPPER_PROCESSING_INPUT_COST_OVERLAY,MATERIALS_SPREAD_STRATEGIC,COPPER_PROCESSING_INPUT_COST_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,sulfuric_acid_cost|processing_input_cost|mine_disruption|tariff_inventory_distortion,input_cost_risk_detected,not_applicable_gate_only,not_applicable_gate_only,sulfuric_acid_spike|processing_cost_squeeze|mine_supply_disruption|tariff_inventory_unwind,,sulfuric_acid_spike|processing_cost_squeeze|mine_supply_disruption|tariff_inventory_unwind,sulfuric_acid|processing_input_cost|mine_disruption|tariff_inventory,true,false,Copper processing input cost is a RedTeam overlay; it can eat the benefit of AI-grid copper demand.
NICKEL_SULFUR_HPAL_INPUT_COST,MATERIALS_SPREAD_STRATEGIC,NICKEL_SULFUR_HPAL_INPUT_COST,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,battery_grade_nickel_demand|indonesia_hpal_capacity|nickel_price_rebound,nickel_price_rebound_detected|hpal_margin_risk_detected,not_applicable_gate_only,battery_nickel_rally_before_processing_margin,sulfur_shortage|sulfuric_acid_spike|hpal_capacity_cut|processing_margin_squeeze|import_dependency,,sulfur_shortage|sulfuric_acid_spike|hpal_capacity_cut|processing_margin_squeeze|import_dependency,sulfur|sulfuric_acid|hpal_margin|input_cost,true,false,Nickel price rebound is not enough when sulfur/HPAL input costs squeeze battery-grade nickel economics.
RARE_METALS_PRICE_FLOOR_OFFTAKE,MATERIALS_SPREAD_STRATEGIC,RARE_METALS_PRICE_FLOOR_OFFTAKE,GREEN_POSSIBLE,20,24,20,12,8,8,10,rare_earth_export_control|strategic_supply_chain|defense_supply_chain|rare_earth_price_spike,government_investment|price_floor|offtake_contract|long_term_purchase|production_capacity,production_ramp_up|customer_diversification|revenue_recognized|fcf_conversion,rare_earth_related_rally_crowded|no_production_capacity_rally|price_floor_overgeneralized,production_ramp_failure|price_floor_policy_change|customer_offtake_delay|policy_support_delay,government_support|price_floor|offtake_contract|production_capacity|fcf_conversion,no_production_capacity|no_offtake|no_price_floor|project_delay|policy_dependency,policy|production_ramp|project_execution|price_floor,false,false,"Rare metals get stronger only when policy support is tied to price floor, offtake, production, and FCF."
