target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop2_penalty_axes,gate_only,production_scoring_changed,normalization_point
PLATFORM_SOFTWARE_INTERNET,PLATFORM_CONTENT_SW_SECURITY,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,18,18,7,15,13,1,5,portal_or_messenger_growth|commerce_platform_growth|ad_platform_recovery|user_growth,arpu_growth|recurring_revenue|opm_improvement|governance_clean,platform_monetization|fcf_conversion|regulatory_risk_low|ad_quality_clean,platform_multiple_crowded|user_count_story_overpriced|legal_risk_ignored,privacy_lawsuit|founder_legal_case|regulatory_investigation|trust_damage|scam_ad_lawsuit,arpu_growth|recurring_revenue|opm_improvement|fcf_conversion|governance_clean,governance|privacy|legal_overhang|youth_safety|ad_quality,governance|privacy|ad_quality|youth_safety,false,false,"Platform Green needs monetization and trust, not user count alone."
CLOUD_AI_SOFTWARE_INFRA,PLATFORM_CONTENT_SW_SECURITY,CLOUD_AI_SOFTWARE_INFRA,GREEN_POSSIBLE,21,23,8,16,14,0,5,cloud_erp_transition|b2b_saas_growth|ai_workflow_feature|sme_cloud_conversion,arr_growth|recurring_revenue_ratio|customer_retention|opm_improvement|large_customer_contract,customer_lock_in|fcf_conversion|net_retention_rate|valuation_frame_shift,ai_saas_narrative_crowded|valuation_saturation|strong_results_stock_stalls,churn_spike|ai_compute_cost_surge|opm_decline|si_revenue_reversion,arr_growth|recurring_revenue_ratio|net_retention_rate|opm_improvement|fcf_conversion,churn|ai_cost|si_revenue_mix|customer_concentration|margin_slowdown,churn|ai_cost|si_revenue|valuation,false,false,"B2B SaaS can be Green, but only when repeat revenue and margin/FCF are visible."
AI_SOFTWARE_APPLICATION,PLATFORM_CONTENT_SW_SECURITY,AI_SOFTWARE_APPLICATION,WATCH_YELLOW_FIRST,20,19,9,15,13,0,5,ai_application_launch|enterprise_ai_adoption|api_usage_growth,paid_customer_growth|api_revenue|workflow_integration|total_contract_value,repeat_paid_usage|fcf_conversion|compute_cost_controlled|auditable_workflow,ai_app_narrative_crowded|valuation_before_margin_proof|rule_of_40_fully_priced,compute_cost_spike|model_dependency|copyright_lawsuit|data_privacy_lawsuit,paid_usage|api_revenue|workflow_integration|compute_cost_controlled|fcf_conversion,compute_cost|model_dependency|copyright|data_privacy|free_user_growth_only,compute_cost|model_dependency|4b_crowding,false,false,"AI software needs paid usage and unit economics, not feature announcements."
GENERATIVE_AI_IP_RISK,PLATFORM_CONTENT_SW_SECURITY,GENERATIVE_AI_IP_RISK,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,6,generative_ai_training_data|content_license|open_source_dependency,licensed_dataset|rights_cleared_revenue|enterprise_contract,rights_cleared_repeat_revenue|liability_risk_low,genai_ip_story_overheated,copyright_lawsuit|license_gap|privacy_lawsuit|opensource_supply_chain_risk,licensed_data|rights_cleared_revenue|enterprise_contract|liability_risk_low,copyright|license_risk|privacy|training_data,copyright|license|training_data,true,false,Generative AI IP is a RedTeam overlay; rights and revenue must be proven.
CONTACT_CENTER_AI_AUTOMATION,PLATFORM_CONTENT_SW_SECURITY,CONTACT_CENTER_AI_AUTOMATION,WATCH_YELLOW_FIRST,19,20,8,14,13,0,5,ccaas_ai_agent_assist|contact_center_automation|seat_expansion,enterprise_contract|seat_expansion|retention_rate|opm_improvement|aht_reduction,workflow_embedded|low_churn|enterprise_retention|fcf_conversion|roi_verified,contact_center_ai_crowded,churn_spike|it_budget_cut|privacy_event|automation_roi_failure,enterprise_contract|seat_expansion|low_churn|retention_rate|opm_improvement,churn|it_budget_cut|privacy|roi_failure,churn|it_budget|privacy|roi,false,false,Contact-center AI needs enterprise retention and workflow economics.
SERVICE_KIOSK_SELF_CHECKOUT,PLATFORM_CONTENT_SW_SECURITY,SERVICE_KIOSK_SELF_CHECKOUT,WATCH_YELLOW_FIRST,17,15,7,12,10,0,5,kiosk_installation|self_checkout_rollout|unmanned_store_theme,maintenance_revenue|payment_fee_revenue|store_roi,recurring_maintenance|low_theft|customer_acceptance|fcf_visibility,kiosk_theme_crowded,theft_rate_up|customer_complaint|hardware_one_off|regulatory_restriction,maintenance_revenue|payment_fee_revenue|store_roi|customer_acceptance,theft|customer_complaint|hardware_one_off|regulation,theft|hardware_one_off|customer_complaint,false,false,"Kiosk themes need recurring maintenance/payment economics, not hardware installation counts."
GAME_CONTENT_IP,PLATFORM_CONTENT_SW_SECURITY,GAME_CONTENT_IP,WATCH_YELLOW_FIRST,19,17,6,13,11,0,5,new_title_announcement|ip_expansion|user_growth|platform_growth,bookings_growth|sell_through|live_service_monetization|op_eps_revision,repeat_ip_portfolio|global_monetization|single_ip_risk_low,single_ip_valuation_crowded|launch_expectations_saturated,game_delay|bookings_cut|child_safety_regulation|user_growth_slowdown|age_verification_friction,bookings_growth|sell_through|live_service_monetization|repeat_ip_portfolio,single_ip|game_delay|child_safety|regulatory_ban|bookings_cut,single_ip|delay|child_safety|bookings_cut,false,false,Game IP is Watch unless bookings and repeat monetization are proven.
MEDIA_AD_CONTENT_CYCLE,PLATFORM_CONTENT_SW_SECURITY,MEDIA_AD_CONTENT_CYCLE,WATCH_YELLOW_FIRST,17,15,6,13,10,0,5,ad_market_recovery|ctv_growth|digital_ad_rebound|retail_media_growth,ad_revenue_growth|ad_arpu|opm_improvement|budget_resilience,repeat_platform_ad_revenue|budget_resilience|hybrid_ad_subscription_model,adtech_valuation_crowded|growth_expectations_saturated|premium_multiple_guidance_miss,client_budget_cut|revenue_miss|privacy_lawsuit|scam_ad_regulation|ai_disintermediation,ad_revenue_growth|ad_arpu|opm_improvement|budget_resilience,ad_cycle|client_budget_cut|privacy|scam_ads|ai_disintermediation,ad_cycle|client_budget|ai_disruption|guidance_miss,false,false,Ad platforms need repeat revenue and budget resilience; ad-cycle rebounds stay capped.
STREAMING_AD_PLATFORM,PLATFORM_CONTENT_SW_SECURITY,STREAMING_AD_PLATFORM,WATCH_YELLOW_FIRST,20,21,8,14,13,0,5,ad_tier_user_growth|streaming_ad_inventory|ctv_ad_platform,ad_tier_users|ad_revenue_growth|ad_arpu|own_ad_tech,subscription_ad_hybrid|arpu_expansion|privacy_risk_low|fcf_support,streaming_ad_multiple_crowded|ad_tier_growth_fully_priced|privacy_risk_ignored,privacy_lawsuit|ad_arpu_saturation|ad_load_pressure|subscriber_churn,ad_tier_users|ad_revenue_growth|ad_arpu|privacy_risk_low|own_ad_tech,privacy|ad_arpu_saturation|ad_load|subscriber_churn,privacy|ad_arpu|ad_load|churn,false,false,"Streaming ad platforms can improve, but privacy and ad ARPU are hard gates."
SECURITY_IDENTITY_DEEPFAKE,PLATFORM_CONTENT_SW_SECURITY,SECURITY_IDENTITY_DEEPFAKE,WATCH_YELLOW_FIRST,20,20,10,14,13,0,5,cybersecurity_demand|identity_threat|deepfake_regulation,arr_growth|customer_diversification|low_churn|opm_improvement,security_platform_lock_in|renewal_strength|operational_trust_intact,security_multiple_crowded|outage_risk_ignored,global_outage|faulty_update|customer_lawsuit|renewal_rate_down|trust_damage,arr_growth|low_churn|customer_retention|operational_trust_intact,outage|lawsuit|renewal_risk|trust_damage,outage|customer_lawsuit|renewal|trust_damage,false,false,Security ARR is not enough; operational reliability is a hard gate.
