target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,production_scoring_changed,normalization_point
REFINING_OIL_SPREAD,MATERIALS_SPREAD_STRATEGIC,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,20,10,18,10,10,2,5,refining_margin_rebound|oil_price_or_geopolitical_event|inventory_gain,refining_op_improvement|core_margin_ex_inventory|logistics_normalization,repeat_fcf|high_margin_mix|inventory_noise_excluded,refining_margin_peak|oil_spread_recovery_crowded,refining_margin_drop|inventory_loss|logistics_or_production_delay,repeat_fcf|core_margin|inventory_noise_excluded,inventory_loss|refining_margin_drop|logistics_delay,false,"Refining is cycle/watch; Green requires repeated FCF and core margin, not inventory gains."
CHEMICAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,COMMODITY_SPREAD,REDTEAM_FIRST,20,8,16,8,8,0,5,chemical_spread_recovery|china_stimulus|product_price_rebound,op_improvement|spread_improvement|inventory_normalization,supply_glut_easing|capacity_restructuring|durable_margin,spread_recovery_fully_priced,china_middle_east_capacity_glut|spread_reversal|inventory_increase|op_fcf_drop,supply_glut_easing|capacity_restructuring|durable_margin,china_middle_east_capacity_glut|spread_reversal|inventory_increase,false,Chemicals are RedTeam-first because supply glut can erase temporary spread recovery.
STEEL_METAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,18,10,16,10,10,1,5,steel_price_rebound|china_output_cut|construction_demand_recovery,cost_cut|steel_spread_improvement|inventory_normalization,china_supply_discipline|demand_recovery|fcf_margin,steel_recovery_crowded,chinese_exports_surge|domestic_demand_weak|tariff_conflict|price_pressure,supply_discipline|demand_recovery|fcf_margin,chinese_exports|construction_demand_weak|price_pressure,false,Steel is Watch because China supply/export pressure can cap structural rerating.
NONFERROUS_STRATEGIC_METALS,MATERIALS_SPREAD_STRATEGIC,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,18,14,15,12,11,2,5,copper_zinc_aluminum_price|smelting_margin|nonferrous_cycle,metal_price_support|smelting_margin_improvement|customer_demand,cost_curve_advantage|supply_constraint|fcf_conversion,nonferrous_price_rally_crowded,metal_price_drop|china_demand_slowdown|smelting_margin_drop,cost_curve_advantage|supply_constraint|fcf_conversion,metal_price_drop|china_demand|margin_drop,false,Nonferrous metals need cost-curve and smelting-margin evidence; price alone is cycle.
RARE_METALS_STRATEGIC_MATERIALS,MATERIALS_SPREAD_STRATEGIC,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,18,18,18,14,13,5,5,rare_earth_export_control|defense_supply_chain|government_supply_policy,government_investment|price_floor|offtake_contract|long_term_purchase,production_capacity|fcf_conversion|policy_support_durable|customer_contracts,rare_earth_theme_overheat|price_only_rally,project_delay|rare_earth_price_drop|policy_support_cut|execution_failure,government_investment|price_floor|offtake_contract|production_capacity|fcf_conversion,project_delay|policy_dependency|price_only_rally,false,"Rare metals can move toward Green only with government support, price floor, offtake, production, and FCF."
LITHIUM_BATTERY_RAW_MATERIAL,MATERIALS_SPREAD_STRATEGIC,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,19,10,16,9,8,0,5,lithium_price_rebound|mine_closure|ev_or_ess_demand,low_cost_mine|offtake|fcf_defense|capex_discipline,price_cycle_beyond_rebound|durable_fcf|restart_supply_risk_controlled,lithium_rebound_crowded,lithium_price_crash|mine_restart_supply_rebound|ev_demand_slowdown|capex_cut,low_cost_mine|offtake|fcf_defense|capex_discipline,price_crash|mine_restart|ev_demand_slowdown,false,Lithium is cycle/watch; low-cost FCF and offtake must be proven before stronger stages.
PRECIOUS_METALS_SAFE_HAVEN_MINERS,MATERIALS_SPREAD_STRATEGIC,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,20,10,16,9,8,5,5,gold_silver_breakout|real_rate_drop|safe_haven_demand,realized_price|aisc_control|fcf_improvement|buyback_or_dividend,cost_control|capital_return|production_stable|fcf_conversion,record_gold_price_crowded|miner_group_overheat,gold_price_correction|aisc_rise|production_drop|political_mine_risk,realized_price|aisc_control|capital_return|fcf_conversion,gold_price_correction|aisc_rise|mine_risk,false,"Precious-metal miners can work, but they remain cycle/watch unless cost and capital returns persist."
ADVANCED_MATERIAL_SPECULATIVE_THEME,MATERIALS_SPREAD_STRATEGIC,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,5,5,5,5,5,0,3,superconductor_graphene_mxene_theme|paper_or_lab_result|quantum_material_keyword,commercial_contract|qualified_customer|revenue_conversion,commercial_revenue|repeat_customer|fcf_path,speculative_material_theme_overheat,no_commercialization|paper_only|no_revenue|dilution,commercial_contract|revenue_conversion|fcf_path,paper_only|no_revenue|theme_only,false,Speculative advanced materials are RedTeam-first until commercialization and revenue exist.
PAPER_PACKAGING_CYCLE,MATERIALS_SPREAD_STRATEGIC,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,17,13,12,10,9,3,5,paper_or_corrugated_spread|ecommerce_packaging|plastic_replacement,volume_recovery|price_cost_spread|mna_or_consolidation,durable_spread|scale_economics|cash_return,packaging_mna_premium_crowded,low_volume|price_pressure|regulatory_divestiture|mature_industry_limit,volume_recovery|price_cost_spread|cash_return,low_volume|price_pressure|mature_industry,false,Packaging is mature and cyclical; consolidation premium is not structural evidence by itself.
AGRI_COMMODITY_INPUTS,MATERIALS_SPREAD_STRATEGIC,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,18,10,14,8,8,0,5,grain_price|weather_event|disease_or_feed_cost|fertilizer_price,price_pass_through|inventory_status|demand_visibility,repeat_margin|cost_pass_through|fcf_margin,agri_event_crowded,commodity_cost_reversal|weather_normalization|inventory_loss,price_pass_through|repeat_margin|fcf_margin,weather_event_only|inventory_loss|commodity_reversal,false,"Agri inputs are event/watch because weather, disease, and commodity costs can reverse."
