target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop9_penalty_axes,gate_only,production_scoring_changed,normalization_point
AUTO_MOBILITY_COMPLETED_VEHICLE,MOBILITY_TRANSPORT_LEISURE,AUTO_MOBILITY_COMPLETED_VEHICLE,WATCH_YELLOW_FIRST,20,18,10,15,17,10,5,hybrid_demand|ev_slowdown_response|shareholder_return_policy|local_production_plan,sales_target|op_margin_target|buyback_or_dividend|fcf_margin|roe_pbr_rerating,durable_fcf|high_margin_mix|shareholder_return_execution|old_auto_discount_removed,valueup_narrative_crowded|hybrid_story_fully_priced|peak_margin_ignored,tariff_hit|op_margin_cut|recall_cost|peak_margin_reversal|demand_slowdown,hybrid_or_mix_improvement|op_margin_target|fcf_margin|shareholder_return|tariff_risk_low,tariff|op_margin_cut|recall|peak_margin|local_production_capex,tariff|opm_cut|recall|peak_margin,false,false,"Completed vehicles can be Watch-to-Green only when hybrid/mix, OPM, FCF, and capital return are source-backed."
AUTO_HYBRID_VALUEUP,MOBILITY_TRANSPORT_LEISURE,AUTO_HYBRID_VALUEUP,GREEN_POSSIBLE,21,20,11,15,17,10,5,ev_slowdown_response|hybrid_lineup_expansion|erev_strategy|shareholder_return_policy,sales_target|op_margin_target|buyback_or_dividend|dividend_policy_change|fcf_margin,roe_fcf_persistent|shareholder_return_execution|hybrid_mix_margin|pbr_per_frame_improves,auto_valueup_narrative_crowded|hybrid_margin_fully_priced,tariff_hit|op_margin_cut|recall_cost|peak_margin_reversal|demand_slowdown,hybrid_sales_growth|op_margin_target|fcf_margin|shareholder_return_ratio|tariff_risk_low,tariff|hybrid_capa|quality_cost|return_execution,tariff|hybrid_capa|quality_cost|return_execution,false,false,"Auto hybrid value-up is Green-eligible only when hybrid mix, OPM, FCF, and returns align."
AUTO_TARIFF_LOCALIZATION,MOBILITY_TRANSPORT_LEISURE,AUTO_TARIFF_LOCALIZATION,WATCH_YELLOW_FIRST,18,18,9,12,13,5,5,us_tariff|local_production_plan|georgia_plant_capacity|us_output_ramp,local_production_ratio|local_production_capacity|tariff_cost_mitigation|plant_ramp_up,op_margin_recovery|tariff_cost_absorbed|fcf_stability|localization_execution,localization_narrative_crowded,op_margin_cut|tariff_cost_amount|local_production_capex|ramp_up_delay|capex_burden,local_production_ratio|op_margin_recovery|tariff_cost_absorbed|fcf_stability,op_margin_cut|tariff_cost|local_production_capex|ramp_up_delay,tariff|opm_cut|capex|ramp_up,false,false,US localization is Stage 2 positive only if it later restores OPM and FCF; margin cuts cap rerating.
AUTO_US_LOCALIZATION_LABOR_VISA_RISK,MOBILITY_TRANSPORT_LEISURE,AUTO_US_LOCALIZATION_LABOR_VISA_RISK,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,us_localization|factory_ramp_up|tariff_mitigation_plan,local_labor_plan|visa_process_stable|plant_ramp_on_schedule,not_applicable_gate_only,localization_benefit_priced_before_ramp_proof,plant_ramp_delay|skilled_labor_shortage|visa_delay|labor_dispute|quality_ramp_cost,,labor_shortage|visa_delay|plant_ramp|quality_cost,labor|visa|ramp_up|quality,true,false,"US localization is a RedTeam overlay when ramp-up, skilled labor, visa, or labor issues can eat tariff benefits."
AUTO_MOBILITY_COMPONENTS,MOBILITY_TRANSPORT_LEISURE,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,20,18,11,14,14,3,5,hybrid_component_demand|electronics_component|lighting_or_adas_demand,customer_delivery|customer_diversification|opm_improvement|cost_pass_through,high_value_mix|repeat_program_visibility|fcf_improvement|quality_cost_low,component_group_multiple_expansion,customer_concentration|raw_material_cost_spike|quality_cost|program_delay,customer_delivery|cost_pass_through|customer_diversification|op_eps_revision,customer_concentration|raw_material|quality_cost|bottleneck_normalization,customer_concentration|raw_material|bottleneck_normalization,false,false,"Auto components need customer diversification, cost pass-through, OPM, and repeat programs."
HYBRID_COMPONENT_BOTTLENECK,MOBILITY_TRANSPORT_LEISURE,HYBRID_COMPONENT_BOTTLENECK,WATCH_YELLOW_FIRST,21,19,14,14,13,2,5,hybrid_wait_time|motor_bottleneck|inverter_bottleneck|magnet_bottleneck,customer_delivery|hybrid_component_order|capa_shortage|opm_improvement,high_value_hybrid_mix|fcf_improvement|cost_pass_through|customer_delivery_visible,hybrid_component_bottleneck_crowded,capacity_normalization|single_customer|raw_material_cost_spike|quality_cost,hybrid_component_order|customer_delivery|opm_improvement|cost_pass_through,capacity_normalization|single_customer|raw_material|quality_cost,capacity_normalization|single_customer|raw_material,false,false,"Hybrid bottleneck needs actual deliveries and margin, not just hybrid demand."
AUTO_COMPONENTS_EV_ADAS,MOBILITY_TRANSPORT_LEISURE,AUTO_COMPONENTS_EV_ADAS,WATCH_YELLOW_FIRST,18,16,9,13,11,0,5,adas_adoption|sensor_or_camera_order|ev_component_demand,actual_adoption|customer_diversification|development_cost_control,content_per_vehicle_growth|multi_customer_program|op_eps_revision,adas_theme_crowded,actual_adoption_missing|customer_concentration|development_cost|program_delay,actual_adoption|customer_diversification|op_eps_revision,actual_adoption_missing|customer_concentration|development_cost,actual_adoption|development_cost|single_customer,false,false,"ADAS parts need actual adoption and customer diversification, not autonomy theme labels."
AUTONOMOUS_ROBOTAXI_DEPLOYMENT,MOBILITY_TRANSPORT_LEISURE,AUTONOMOUS_ROBOTAXI_DEPLOYMENT,WATCH_YELLOW_FIRST,17,17,10,15,10,0,6,robotaxi_partnership|pilot_launch|service_area_expansion|autonomous_platform,robotaxi_service_area|robotaxi_fleet_size|paid_ride_volume|platform_integration,unit_economics|safety_record_clean|insurance_liability_cost_stable|vehicle_utilization,robotaxi_scale_narrative_crowded,safety_recall|weather_handling_failure|nhtsa_scrutiny|service_suspension|insurance_liability_cost,paid_ride_volume|vehicle_utilization|safety_record_clean|unit_economics,safety_recall|nhtsa_scrutiny|weather_handling|unit_economics,safety|nhtsa|weather|unit_economics,false,false,"Robotaxi is Watch-to-Green only after deployment, paid rides, safety, and unit economics are proven."
ROBOTAXI_OPERATIONAL_REALITY_CHECK,MOBILITY_TRANSPORT_LEISURE,ROBOTAXI_OPERATIONAL_REALITY_CHECK,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,robotaxi_rollout|service_area_claim|driverless_launch|limited_odd,wait_time_measured|ride_completion_rate|fleet_size_confirmed|service_reliability,not_applicable_gate_only,robotaxi_scale_narrative_overpriced,long_wait_time|limited_service_area|misrouting|dropoff_distance_issue|remote_or_safety_monitor_dependency|poor_completion_rate,,wait_time|limited_odd|misrouting|safety_monitor|poor_completion_rate,wait_time|limited_odd|misrouting|safety_monitor,true,false,"Robotaxi operational reality is a RedTeam gate: rollout headlines must survive wait-time, routing, and completion checks."
ROBOTAXI_SAFETY_REGULATORY_OVERLAY,MOBILITY_TRANSPORT_LEISURE,ROBOTAXI_SAFETY_REGULATORY_OVERLAY,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,robotaxi_safety_event|autonomous_vehicle_recall|nhtsa_probe,incident_quantified|regulatory_response|software_fix_confirmed,not_applicable_gate_only,safety_risk_underpriced,safety_recall|nhtsa_scrutiny|weather_handling_failure|accident_liability|service_suspension,,safety_recall|nhtsa_scrutiny|weather_handling|accident_liability,safety|nhtsa|weather|liability,true,false,"Robotaxi safety and regulatory failures are gate-level evidence, not positive deployment score inputs."
