target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,gate_only,production_scoring_changed,normalization_point
NORTH_KOREA_POLICY_EVENT,POLICY_GEOPOLITICAL_EVENT,NORTH_KOREA_POLICY_EVENT,REDTEAM_FIRST,4,3,5,8,4,0,3,summit_or_dialogue|tourism_reopening_headline|sanctions_discussion|inter_korea_infra_theme,government_approval|business_restart|sanctions_relief|cash_flow_project,very_rare_cash_flow_project|multi_year_contract|low_sanctions_risk,summit_expectation_rally|policy_theme_basket_crowding|tourism_reopen_price_spike,military_tension|facility_dismantle|road_rail_destroyed|sanctions_intact|hostile_state_rhetoric,sanctions_relief|funded_project|cash_flow_project|revenue_visibility,sanctions|military_tension|facility_dismantle|road_rail_destroyed|policy_reversal,false,false,North Korea policy themes remain hard Red-biased until sanctions relief and cash-flow evidence exist.
GEOPOLITICAL_RECONSTRUCTION,POLICY_GEOPOLITICAL_EVENT,GEOPOLITICAL_RECONSTRUCTION,WATCH_YELLOW_FIRST,12,11,8,10,8,0,4,reconstruction_conference|mou_or_policy_declaration|post_war_infra_theme,actual_project|project_financing|participating_company|company_contract|construction_started,multi_year_revenue|supplier_margin|funded_backlog|delivery_schedule,reconstruction_basket_rally_before_contract|headline_project_priced|financing_expectation_crowding,war_escalation|financing_failure|insurance_delay|project_start_delay,actual_project|project_financing|company_contract|margin_visibility,mou_only|financing_missing|geopolitical_setback|project_delay,false,false,Reconstruction is a Watch path only after funded projects and company-level exposure appear.
REAL_RECONSTRUCTION_FINANCING,POLICY_GEOPOLITICAL_EVENT,REAL_RECONSTRUCTION_FINANCING,WATCH_YELLOW_FIRST,14,15,9,11,9,0,5,reconstruction_need|international_financing_intent|mou_or_support_declaration,ebrd_ifc_financing|guarantee_structure|operating_company|infrastructure_asset|project_financing,company_contract|revenue_recognition|margin_visibility|multi_year_cashflow,single_financing_case_generalized_to_theme|reconstruction_theme_crowded,financing_delay|war_reescalation|guarantee_absent|project_cancellation|no_company_contract,project_financing|operating_company|infrastructure_asset|company_contract|revenue_visibility,war_risk|financing_delay|no_company_contract|insurance_absent,false,false,"Real reconstruction financing is stronger than a slogan, but still needs company-level revenue and margin proof."
DISASTER_REBUILD_EVENT,POLICY_GEOPOLITICAL_EVENT,DISASTER_REBUILD_EVENT,WATCH_YELLOW_FIRST,10,6,7,8,6,0,4,earthquake_rebuild|wildfire_rebuild|flood_or_typhoon_rebuild|rebuild_material_theme,rebuild_order|insurance_or_budget_approved|sell_through|margin_visibility,repeat_rebuild_demand|fcf_after_event|multi_period_orders,disaster_theme_rally|material_basket_crowding|insurance_expectation_rally,one_off_rebuild_fade|insurance_delay|budget_delay|inventory_build,rebuild_order|budget_approved|margin_visibility|repeat_demand,one_off_demand|budget_delay|insurance_delay|inventory,false,false,"Disaster rebuilding needs orders, budget, insurance, and margin checks before scoring credit."
CLIMATE_DISASTER_EVENT,POLICY_GEOPOLITICAL_EVENT,CLIMATE_DISASTER_EVENT,WATCH_YELLOW_FIRST,13,14,11,10,8,0,5,heatwave|cooling_demand|grid_stress|air_quality_event|wildfire_or_flood_event,grid_investment|cooling_order|demand_response_program|vpp_program|repeat_weather_demand,structural_grid_capex|recurring_cooling_demand|energy_system_investment|op_eps_conversion,seasonal_weather_theme_rally|cooling_theme_crowded|grid_theme_price_spike,weather_normalization|inventory_build|demand_fade|margin_reversal|policy_budget_delay,repeat_demand|grid_capex|sales_or_order|margin_visibility|vpp_or_ess_revenue,seasonality|weather_fade|inventory|no_sales_conversion,false,false,"Climate events become stronger only when they cross into grid, cooling, VPP, ESS, or rebuild capex."
CLIMATE_EVENT_TO_GRID_INFRA,POLICY_GEOPOLITICAL_EVENT,CLIMATE_EVENT_TO_GRID_INFRA,WATCH_YELLOW_FIRST,15,16,13,11,9,0,5,heatwave|cooling_demand|peak_load_increase|grid_stress,grid_stress|peak_load_increase_estimate|vpp_program|plug_in_battery_program|ess_or_grid_response_contract|cooling_infrastructure_order,recurring_grid_service_revenue|energy_system_investment|repeat_program_expansion|op_eps_conversion,heatwave_grid_theme_crowded|pilot_program_extrapolated,pilot_program_ends|budget_delay|no_follow_on_contract|weather_normalization,vpp_program|battery_program_capacity|grid_service_revenue|repeat_program_expansion,seasonal_demand|pilot_only|budget_delay|no_sales_conversion,false,false,"Climate event-to-grid cases need VPP, ESS, grid service, or repeat program evidence before Green is considered."
EVENT_DISEASE_PEST_DEMAND,POLICY_GEOPOLITICAL_EVENT,EVENT_DISEASE_PEST_DEMAND,REDTEAM_FIRST,13,9,8,8,6,0,5,outbreak_alert|who_emergency|pest_demand_spike|stockpile_headline,government_order|stockpile_contract|guide_up|dose_or_amount_disclosed,recurring_procurement|non_event_demand|ebitda_margin_visible,outbreak_news_rally|vaccine_or_pest_basket_crowding|demand_extrapolated,outbreak_normalization|government_purchase_end|inventory_build|demand_cliff,government_order|stockpile_contract|guide_up|recurring_procurement,one_off_outbreak|demand_normalization|purchase_end|inventory,false,false,"Disease/pest events are RedTeam-first unless orders, stockpile contracts, and guidance are source-backed."
DIAGNOSTICS_INFECTIOUS_EVENT,POLICY_GEOPOLITICAL_EVENT,DIAGNOSTICS_INFECTIOUS_EVENT,REDTEAM_FIRST,19,5,5,5,5,0,5,diagnostic_test_demand|pandemic_or_outbreak_testing|test_kit_order,diagnostic_revenue_after_event|recurring_non_event_demand|margin_normalization,durable_testing_market|non_event_revenue_base|fcf_conversion,test_kit_rally_after_case_counts|diagnostic_margin_extrapolated,testing_demand_wane|diagnostic_sales_decline|guide_down|inventory_writeoff,non_event_revenue|recurring_testing_demand|margin_normalization|fcf_conversion,covid_like_one_off|sales_decline|guide_down|inventory,false,false,Diagnostic EPS spikes must be tested against post-event revenue normalization.
SPECULATIVE_SCIENCE_THEME,POLICY_GEOPOLITICAL_EVENT,SPECULATIVE_SCIENCE_THEME,REDTEAM_FIRST,5,4,5,5,5,0,3,preprint|lab_claim|sns_video|paper_keyword,independent_replication|peer_review_validation|customer_testing|commercial_product|contract_or_revenue,commercial_revenue|repeat_customer|eps_fcf_conversion,preprint_sns_rally|retail_theme_crowding|paper_to_price_gap,replication_failure|impurity_explanation|peer_review_failure|trading_warning,replication_success|commercial_product|customer_contract|revenue,replication_failure|no_commercial_product|preprint_only|sns_only,false,false,"Science-themes need independent validation, customers, products, and revenue before they become scoring evidence."
ADVANCED_MATERIAL_SPECULATIVE_THEME,POLICY_GEOPOLITICAL_EVENT,ADVANCED_MATERIAL_SPECULATIVE_THEME,REDTEAM_FIRST,7,6,6,8,6,0,3,mxene_or_graphene_claim|quantum_material_news|advanced_material_theme,technical_validation|pilot_customer|supply_contract|revenue_conversion,repeat_order|commercial_scale|margin_visibility,advanced_material_theme_crowding|paper_to_price_gap,validation_failure|no_customer|no_revenue|dilution_or_funding_need,technical_validation|pilot_customer|revenue_conversion|margin_visibility,paper_only|no_customer|no_revenue|funding_need,false,false,Advanced materials are Watch/Red until commercial validation exists.
