target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop2_penalty_axes,production_scoring_changed,normalization_point
REFINING_OIL_SPREAD,MATERIALS_SPREAD_STRATEGIC,REFINING_OIL_SPREAD,WATCH_YELLOW_FIRST,20,10,18,10,9,2,5,refining_margin|inventory_gain|oil_price_or_geopolitical_event|logistics_normalization,core_refining_margin|inventory_noise_excluded|op_revision_1q|fcf_margin,repeat_fcf|core_margin_durable|inventory_noise_excluded,refining_margin_peak|inventory_gain_crowded|spread_recovery_fully_priced,refining_margin_drop|inventory_loss|logistics_delay|demand_slowdown,repeat_fcf|core_margin_durable|inventory_noise_excluded,inventory_loss|refining_margin_drop|temporary_crack_spread,inventory_gain_loss|refining_margin|commodity_price,false,Refining is Watch: inventory gains and crack spread rebounds are not durable FCF by themselves.
CHEMICAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,CHEMICAL_SPREAD,REDTEAM_FIRST,20,7,16,8,7,0,5,chemical_spread|product_price_rebound|china_stimulus|inventory_restocking,spread_change_90d|op_revision_1q|capacity_shutdown|inventory_normalization,durable_spread|supply_glut_easing|fcf_margin,chemical_spread_recovery_crowded,china_middle_east_capacity_glut|supply_glut|spread_reversal|inventory_increase|op_fcf_drop,supply_glut_easing|capacity_restructuring|durable_fcf,china_middle_east_capacity_glut|spread_reversal|supply_glut|inventory_increase,oversupply|supply_glut|china_middle_east_capacity,false,Chemicals are RedTeam-first because spread recovery often fails before FCF becomes structural.
STEEL_METAL_SPREAD,MATERIALS_SPREAD_STRATEGIC,STEEL_METAL_SPREAD,WATCH_YELLOW_FIRST,18,9,16,10,9,1,5,steel_spread|iron_ore_price|china_output_cut|construction_demand,steel_spread_improvement|cost_cut|op_revision_1q|inventory_normalization,supply_discipline|demand_recovery|fcf_margin,steel_recovery_crowded|dividend_expectation_full,china_exports_surge|construction_demand_weak|iron_ore_price_drop|dividend_cut,supply_discipline|demand_recovery|fcf_margin,chinese_exports|demand_weak|dividend_cut|price_pressure,steel_spread|china_supply|dividend_change,false,"Steel and iron ore are Watch; China supply, demand, and dividends decide whether the story survives."
NONFERROUS_STRATEGIC_METALS,MATERIALS_SPREAD_STRATEGIC,NONFERROUS_STRATEGIC_METALS,WATCH_YELLOW_FIRST,18,14,15,12,11,2,5,copper_zinc_aluminum_price|smelting_margin|ai_grid_demand|mine_disruption,smelting_margin|customer_demand|op_revision_1q|fcf_margin,cost_curve_advantage|supply_constraint|fcf_conversion,nonferrous_price_rally_crowded|event_premium_confused_with_fcf,metal_price_drop|china_demand_slowdown|smelting_margin_drop|governance_event_only,cost_curve_advantage|supply_constraint|fcf_conversion,metal_price_drop|smelting_margin_drop|event_premium|governance_dispute,smelting_margin|commodity_price|event_premium,false,Nonferrous metals need smelting-margin and FCF evidence; tender offers are event premiums.
RARE_METALS_STRATEGIC_MATERIALS,MATERIALS_SPREAD_STRATEGIC,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,18,20,18,14,13,5,5,rare_earth_export_control|defense_supply_chain|government_supply_policy|strategic_supply_chain,government_investment|price_floor|offtake_contract|production_capacity|customer_contract,price_floor|offtake_contract|production_ramp|fcf_conversion|policy_support_durable,rare_earth_price_spike_crowded|price_only_rally,project_delay|policy_support_cut|rare_earth_price_drop|execution_failure,government_support|price_floor|offtake_contract|production_capacity|fcf_conversion,no_production_capacity|no_offtake|no_price_floor|project_delay|policy_dependency,price_floor|offtake|government_support|production_capacity,false,"Rare metals can move toward Green only when price floor, offtake, government support, production, and FCF are visible."
LITHIUM_BATTERY_RAW_MATERIAL,MATERIALS_SPREAD_STRATEGIC,LITHIUM_BATTERY_RAW_MATERIAL,WATCH_YELLOW_FIRST,18,9,16,9,7,0,5,lithium_price_rebound|mine_shutdown|ev_or_ess_demand|capex_cut,low_cost_mine|offtake_contract|fcf_defense|capex_discipline,durable_fcf|restart_supply_risk_controlled|low_cost_position,lithium_rebound_crowded,lithium_price_crash|mine_restart|ev_demand_slowdown|capex_cut|supply_rebound,low_cost_mine|offtake_contract|fcf_defense|capex_discipline,price_crash|mine_restart|ev_demand_slowdown|supply_rebound,lithium_price|mine_shutdown_restart|ev_demand,false,Lithium is Cycle/Watch: price rebound without low-cost FCF and offtake stays capped.
PRECIOUS_METALS_SAFE_HAVEN_MINERS,MATERIALS_SPREAD_STRATEGIC,PRECIOUS_METALS_SAFE_HAVEN_MINERS,WATCH_YELLOW_FIRST,20,10,16,9,8,5,5,gold_silver_price|safe_haven_demand|real_rate_drop|mine_output,realized_price|aisc_control|fcf_improvement|buyback_or_dividend,cost_control|capital_return|production_stable|fcf_conversion,record_gold_price_crowded|miner_group_overheat,gold_price_correction|aisc_rise|production_drop|jurisdiction_risk,realized_price|aisc_control|capital_return|fcf_conversion,gold_price_correction|aisc_rise|mine_risk,realized_price|aisc|capital_return,false,"Gold miners can work, but safe-haven price alone is a cycle signal until AISC and returns confirm FCF."
ADVANCED_MATERIAL_SPECULATIVE_THEME,MATERIALS_SPREAD_STRATEGIC,ADVANCED_MATERIAL_SPECULATIVE_THEME,REDTEAM_FIRST,5,5,5,5,5,0,3,superconductor_graphene_mxene_theme|paper_or_lab_result|quantum_material_keyword,commercial_contract|qualified_customer|revenue_conversion,commercial_revenue|repeat_customer|fcf_path,speculative_material_theme_overheat|paper_only_price_run,no_commercialization|paper_only|no_revenue|dilution,commercial_contract|revenue_conversion|fcf_path,paper_only|no_revenue|theme_only|no_commercialization,commercialization|revenue_conversion|dilution,false,Advanced materials are RedTeam-first before commercial revenue. A paper or lab result is not Green evidence.
PAPER_PACKAGING_CYCLE,MATERIALS_SPREAD_STRATEGIC,PAPER_PACKAGING_CYCLE,WATCH_YELLOW_FIRST,17,12,12,10,8,3,5,paper_price|corrugated_spread|packaging_mna|plastic_replacement,volume_recovery|price_cost_spread|mna_or_consolidation|cash_return,durable_spread|scale_economics|cash_return,packaging_mna_premium_crowded,low_volume|price_pressure|regulatory_divestiture|mature_industry_limit,volume_recovery|price_cost_spread|cash_return,low_volume|price_pressure|competition_remedy|mature_industry,packaging_mna|competition_remedy|mature_industry,false,Packaging is mature and cyclical; M&A premium is not durable spread evidence by itself.
AGRI_COMMODITY_INPUTS,MATERIALS_SPREAD_STRATEGIC,AGRI_COMMODITY_INPUTS,WATCH_YELLOW_FIRST,18,10,14,8,8,0,5,grain_price|feed_cost|weather_event|fertilizer_price|disease_event,price_pass_through|inventory_status|demand_visibility|op_revision_1q,repeat_margin|cost_pass_through|fcf_margin,agri_event_crowded,commodity_cost_reversal|weather_normalization|inventory_loss,price_pass_through|repeat_margin|fcf_margin,weather_event_only|inventory_loss|commodity_reversal,weather|inventory|commodity_cost,false,Agri inputs are Event/Watch because weather and commodity costs reverse quickly.
