target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop3_penalty_axes,gate_only,production_scoring_changed,normalization_point
CONSTRUCTION_REAL_ESTATE_CREDIT,CONSTRUCTION_REAL_ESTATE_MATERIALS,CONSTRUCTION_REAL_ESTATE_CREDIT,REDTEAM_FIRST,12,8,5,11,7,0,5,pf_support|rate_cut_expectation|property_recovery_news|backlog_headline,refinancing_success|unsold_inventory_decline|cash_flow_improvement|construction_cost_ratio_stable,pf_risk_reduced|eps_fcf_recovery|cash_conversion_improves|valuation_frame_change,pf_relief_rally_crowded|support_news_priced_before_restructuring,pf_delinquency_increase|bridge_loan_rollover_failure|debt_workout|impairment|cost_ratio_spike,refinancing_success|cash_flow_improvement|unsold_inventory_decline|cost_ratio_stable,pf_exposure|unsold_inventory|refinancing|construction_cost_ratio|debt_workout,pf|unsold_inventory|refinancing|cost_ratio|cash_conversion,false,false,"Backlog is secondary; PF exposure, refinancing, cash conversion, and cost ratio decide R10 credit quality."
PF_RESTRUCTURING_RELIEF,CONSTRUCTION_REAL_ESTATE_MATERIALS,PF_RESTRUCTURING_RELIEF,WATCH_YELLOW_FIRST,10,8,4,10,7,0,5,government_pf_support|guarantee_expansion|market_stabilizing_fund,profitable_project_refinanced|bridge_to_main_pf_conversion|bad_project_separated,cash_conversion_improves|cost_ratio_stable|pf_exposure_declines,relief_rally_before_restructuring|policy_support_priced_as_recovery,delinquency_rises_after_support|workout|impairment|unprofitable_project_restructuring,refinancing_success_flag|pf_exposure_reduction|cash_conversion_improvement,policy_support_only|unprofitable_project|bridge_loan|delinquency,policy_relief|refinancing|cash_conversion|project_profitability,false,false,PF policy support is Stage 1 relief until individual refinancing and cash-flow repair are proven.
RESIDENTIAL_HOUSING_CYCLE,CONSTRUCTION_REAL_ESTATE_MATERIALS,RESIDENTIAL_HOUSING_CYCLE,WATCH_YELLOW_FIRST,15,12,5,12,9,1,5,housing_recovery|rate_cut_expectation|presale_recovery,unsold_inventory_decline|starts_recovery|cost_ratio_stable,cash_flow_recovery|eps_fcf_recovery|credit_risk_low,housing_cycle_rally_crowded,unsold_inventory_increase|household_debt_stress|starts_decline|rate_shock,unsold_inventory_decline|cost_ratio_stable|cash_flow_recovery|credit_risk_low,unsold_inventory|household_debt|rate|construction_cost|starts_decline,unsold_inventory|household_debt|starts|rate|cost_ratio,false,false,"Housing-cycle improvement is Watch until inventory, cost, and cash conversion are visible."
REIT_DEVELOPMENT_TRUST,CONSTRUCTION_REAL_ESTATE_MATERIALS,REIT_DEVELOPMENT_TRUST,WATCH_YELLOW_FIRST,15,16,5,13,11,5,5,rate_cut_expectation|dividend_yield|nav_discount,occupancy|noi_affo|dividend_coverage|ltv_stable,affo_growth|dividend_sustainability|nav_discount_narrowing,high_yield_reit_rally_crowded|rate_cut_priced,vacancy_increase|ltv_deterioration|refinancing_failure|dividend_cut,occupancy|noi_affo|dividend_coverage|ltv_stable|funding_cost_controlled,vacancy|ltv|refinancing|dividend_cut|funding_cost,occupancy|noi_affo|ltv|funding_cost|dividend_coverage,false,false,"REIT/development-trust cases need asset cash flow and dividend coverage, not yield alone."
COMMERCIAL_REAL_ESTATE_CREDIT,CONSTRUCTION_REAL_ESTATE_MATERIALS,COMMERCIAL_REAL_ESTATE_CREDIT,REDTEAM_FIRST,10,7,4,11,6,0,5,office_recovery_news|cre_credit_relief|rate_cut_expectation,vacancy_stabilization|credit_loss_reserve_stable|dividend_coverage,loan_quality_recovery|occupancy_recovery|dividend_sustainability,cre_relief_rally_before_credit_repair|yield_chase_crowded,office_vacancy|watchlisted_or_impaired_loan|credit_loss_reserve|dividend_cut,vacancy_stabilization|loan_quality_recovery|dividend_coverage,office_exposure|vacancy|impaired_asset|credit_loss_reserve|dividend_cut,office_vacancy|impaired_loans|credit_reserve|dividend_cut,false,false,Commercial real-estate credit is RedTeam-first because vacancy and loan losses can break yield stories.
DATA_CENTER_REIT_INFRASTRUCTURE,CONSTRUCTION_REAL_ESTATE_MATERIALS,DATA_CENTER_REIT_INFRASTRUCTURE,GREEN_POSSIBLE,18,22,18,13,11,5,5,ai_data_center_reit_ipo|hyperscale_demand|asset_pipeline,asset_acquisition|binding_tenant_lease|power_cooling_water_secured|noi_affo,affo_growth|dividend_coverage|tenant_contract_quality|funding_cost_controlled,ai_infrastructure_reit_valuation_crowded|capex_pipeline_priced_before_cashflow,no_acquired_assets|no_tenant|no_affo|power_or_water_permitting_failure|funding_cost_up,asset_acquisition|hyperscale_tenant|noi_affo|dividend_coverage|power_water_secured,no_assets|tenant_concentration|capex|funding_cost|power_water_permitting,asset|tenant|noi_affo|power_water|funding_cost,false,false,"Data-center REIT Green requires assets, tenant lease, power/water, NOI/AFFO, and dividend coverage."
AI_DATA_CENTER_REAL_ASSET_DEVELOPMENT,CONSTRUCTION_REAL_ESTATE_MATERIALS,AI_DATA_CENTER_REAL_ASSET_DEVELOPMENT,WATCH_YELLOW_FIRST,13,15,16,13,7,2,5,ai_data_center_campus|dedicated_power_plan|energy_infra_development,binding_tenant_lease|power_secured|permitting|funding_secured,revenue_start|noi_affo|tenant_contract_quality|financing_stability,pre_revenue_ai_real_asset_valuation_crowded|long_term_plan_priced_today,no_revenue|no_tenant|single_site_concentration|permitting_failure|funding_gap|power_or_water_delay,binding_tenant_lease|power_secured|water_permitting_secured|revenue_start|noi_affo,pre_revenue|single_site|permitting|funding|power_water|tenant_missing,pre_revenue|tenant|power_water|permitting|funding,false,false,"AI data-center real-asset development stays high-risk Watch until lease, power/water, revenue, NOI/AFFO, and financing are proven."
DATA_CENTER_POWER_WATER_PERMITTING,CONSTRUCTION_REAL_ESTATE_MATERIALS,DATA_CENTER_POWER_WATER_PERMITTING,REDTEAM_FIRST,gate,gate,gate,gate,gate,gate,gate,local_opposition|water_rights_issue|grid_interconnection_delay|noise_pollution,permit_resolution|power_interconnection_secured|water_permitting_secured,community_approval|grid_and_water_secured|project_schedule_intact,power_water_risk_underpriced,project_withdrawal|referendum_or_moratorium|zoning_rejection|water_permitting_delay|grid_interconnection_failure,power_secured_flag|water_permitting_flag|community_approval_flag,local_opposition|water_permitting|grid_interconnection|noise|withdrawal,power|water|community|permitting,true,false,"Power, water, and local approval are gate checks, not positive score inputs."
COLD_CHAIN_REIT_LOGISTICS,CONSTRUCTION_REAL_ESTATE_MATERIALS,COLD_CHAIN_REIT_LOGISTICS,GREEN_POSSIBLE,17,19,12,12,10,5,5,cold_storage_ipo|food_pharma_cold_chain_demand|warehouse_network_scale,occupancy|customer_contract|noi_affo|energy_cost_control,repeat_logistics_demand|dividend_coverage|affo_visibility|debt_stable,cold_chain_reit_premium_crowded|warehouse_scale_priced_without_profit,net_loss|energy_cost_pressure|occupancy_decline|debt_burden|guidance_cut,occupancy|customer_count|noi_affo|energy_cost_control|dividend_coverage,net_loss|energy_cost|debt|occupancy|affo_uncertainty,occupancy|energy_cost|noi_affo|debt|customer_inventory,false,false,"Cold-chain scale is useful only when NOI/AFFO, occupancy, energy cost, debt, and dividend coverage are controlled."
BUILDING_MATERIALS_PRICE_COST,CONSTRUCTION_REAL_ESTATE_MATERIALS,BUILDING_MATERIALS_PRICE_COST,GREEN_POSSIBLE,18,15,12,11,10,3,5,price_hike|cost_stabilization|housing_starts_recovery|infrastructure_demand,volume_recovery|opm_improvement|cost_pass_through|energy_cost_control,fcf_stability|volume_and_price_aligned|opm_improvement|infrastructure_demand_visible,building_material_price_hike_crowded|infrastructure_spend_priced|price_hike_fully_priced,volume_decline|energy_cost_spike|raw_material_cost_spike|construction_slowdown|ebitda_decline,price_hike|cost_pass_through|volume_recovery|opm_improvement|fcf_stability,volume_decline|energy_cost|raw_material_cost|construction_slowdown|ebitda_decline,price|cost|volume|opm|fcf,false,false,"Building materials can be Watch-to-Green only when price, cost, volume, OPM, and FCF align."
