target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,loop6_penalty_axes,hard_gate,production_scoring_changed,normalization_point
GRID_TRANSFORMER_SHORTAGE,INDUSTRIAL_ORDERS_INFRA,GRID_TRANSFORMER_SHORTAGE,GREEN_POSSIBLE,24,25,24,12,10,1,5,data_center_power_demand|ev_grid_demand|grid_modernization|lead_time_extended|transformer_price_increase,supply_contract|contract_value_to_sales|delivery_schedule|backlog_growth|op_eps_revision,fy1_fy2_fy3_revision|long_lead_time|price_increase|margin_improvement|old_industrial_frame_rerating,sector_wide_ai_grid_consensus|valuation_band_expansion|capacity_addition_news|new_order_growth_slowdown,data_center_project_delay|capa_normalization|low_margin_contract|margin_miss,contract_value|contract_duration|delivery_schedule|backlog_growth|margin_improvement|op_eps_revision,capa_normalization|data_center_project_delay|low_margin_contract|raw_material_tariff_cost,capa_normalization|data_center_delay|low_margin_long_term_contract|project_delay,false,false,"Loop 6 strengthens transformer shortage, but Green still requires contract amount, duration, delivery, margin, and EPS conversion."
GRID_EHV_TRANSFORMER_EXPORT,INDUSTRIAL_ORDERS_INFRA,GRID_EHV_TRANSFORMER_EXPORT,WATCH_YELLOW_FIRST,24,25,24,13,10,1,6,ehv_transformer_shortage|525kv_transformer|765kv_transformer|us_grid_import_demand,ehv_export_contract|contract_value|delivery_schedule|data_center_use_case|counterparty_visible,backlog_growth|margin_visible|op_eps_revision|fcf_conversion|old_industrial_frame_rerating,k_transformer_export_narrative_crowded|ehv_contract_priced_as_green,delivery_delay|raw_material_cost_spike|customer_project_delay|capa_normalization|margin_unknown,contract_value|delivery_schedule|counterparty|data_center_or_utility_customer|margin_visible|op_eps_revision,contract_margin_missing|delivery_delay|copper_or_goes_cost|customer_project_delay,contract_margin|delivery_delay|raw_material_cost|customer_project_delay|project_delay,false,false,"525kV/765kV EHV export contracts are stronger than generic transformer headlines, but margin and delivery detail remain mandatory."
GRID_SUPPLY_SLOT_PREBUY,INDUSTRIAL_ORDERS_INFRA,GRID_SUPPLY_SLOT_PREBUY,WATCH_YELLOW_FIRST,22,24,22,12,10,1,5,lead_time_extended|factory_slot_prebuy|production_slot_shortage|transformer_price_increase,slot_based_long_term_agreement|prepayment|customer_project_schedule|capacity_allocation,slot_to_revenue_conversion|multi_year_visibility|margin_improvement|op_eps_revision,slot_prebuy_story_crowded|slot_premium_priced,slot_cancelled|customer_project_delay|capa_normalization|slot_premium_fades,slot_agreement|prepayment|customer_project_schedule|revenue_conversion|margin_visible,slot_cancelled|customer_project_delay|capa_normalization|prepayment_missing,slot_cancelled|project_delay|capa_normalization|slot_premium_fades,false,false,"Production-slot prebuy is a stronger visibility signal than generic demand, but it must convert into revenue, margin, and EPS."
GRID_MEDIUM_VOLTAGE_EXPANSION,INDUSTRIAL_ORDERS_INFRA,GRID_MEDIUM_VOLTAGE_EXPANSION,WATCH_YELLOW_FIRST,22,23,20,12,10,1,5,medium_voltage_demand|switchgear_keyword|substation_automation|utility_demand|electrification_demand,medium_voltage_order|capacity_expansion|utility_customer|grid_operator_customer|op_eps_revision,product_mix_improvement|order_to_revenue_conversion|opm_improvement|fy1_fy2_revision,medium_voltage_ai_grid_consensus_crowded|capacity_expansion_priced,capa_normalization|lead_time_normalization|price_normalization|mix_margin_miss,medium_voltage_order|switchgear_order|utility_customer|op_eps_revision|margin_visible,capa_normalization|product_mix_unclear|price_normalization,capa_normalization|product_mix_unclear|price_normalization,false,false,"Medium-voltage equipment expands the grid bottleneck lens beyond large transformers, but CAPA normalization must be tracked."
AI_DATA_CENTER_POWER_EQUIPMENT,INDUSTRIAL_ORDERS_INFRA,AI_DATA_CENTER_POWER_EQUIPMENT,GREEN_POSSIBLE,22,23,19,13,10,0,5,ups_pdu_switchgear_keyword|modular_power|electrification_equipment|hyperscaler_power_demand,data_center_orders|bookings_growth|backlog_growth|revenue_guidance_up,orders_to_revenue_conversion|op_margin_improvement|fcf_conversion|valuation_frame_change,data_center_power_consensus_crowded|ytd_return_extreme|valuation_crowding,project_delay|bookings_slowdown|data_center_capex_delay|low_margin_project,orders|backlog|revenue_guidance|op_eps_revision|margin_visible,project_delay|valuation_crowding|orders_slowdown|wind_or_mix_risk|grid_integration_complexity,project_delay|valuation_crowding|orders_slowdown|grid_interconnection_delay,false,false,"GE Vernova-style orders/backlog can support Stage 2/3, but rapid rerating creates 4B-watch."
GAS_TURBINE_POWER_BACKLOG,INDUSTRIAL_ORDERS_INFRA,GAS_TURBINE_POWER_BACKLOG,WATCH_YELLOW_FIRST,21,22,18,12,10,0,5,ai_power_demand|gas_turbine_slot_shortage|power_backlog|turbine_reservation,gas_turbine_backlog|turbine_slot_reservation|power_revenue_guidance_up|storage_equipment_order,turbine_backlog_to_revenue|electrification_profit_growth|margin_visible|fcf_conversion,gas_turbine_ai_power_story_crowded|turbine_slot_priced,tariff_cost|wind_segment_loss|turbine_delivery_delay|project_cancellation,turbine_backlog|slot_reservation|guidance_up|margin_visible,tariff_cost|wind_segment_loss|delivery_delay|project_cancellation,tariff_cost|wind_segment_loss|delivery_delay|project_cancelled,false,false,"AI power gas-turbine backlog is separated from generic data-center equipment because tariff cost, wind drag, and delivery slots need their own gate."
POWER_EQUIPMENT_CAPITAL_RETURN,INDUSTRIAL_ORDERS_INFRA,POWER_EQUIPMENT_CAPITAL_RETURN,WATCH_YELLOW_FIRST,22,22,18,12,9,4,5,power_equipment_backlog|ai_power_demand|fcf_growth|buyback_or_dividend,orders_to_fcf|cash_flow_jump|buyback_acceleration|margin_guidance_up,repeat_order_to_fcf_conversion|capital_return_durable|op_eps_revision|valuation_frame_change,capital_return_story_crowded|order_peak_priced|buyback_fully_capitalized,order_peak|legacy_segment_loss|fcf_slowdown|buyback_cut,fcf_growth|buyback_or_dividend|margin_visible|order_backlog_quality,order_peak|legacy_loss|fcf_slowdown|capital_return_one_off,order_peak|fcf_slowdown|buyback_cut|legacy_loss,false,false,"Backlog that converts to FCF and capital return can raise quality, but it also turns on 4B-watch if valuation has already rerated."
DATA_CENTER_GRID_FLEXIBILITY_OVERLAY,INDUSTRIAL_ORDERS_INFRA,DATA_CENTER_GRID_FLEXIBILITY_OVERLAY,WATCH_YELLOW_FIRST,gate,gate,gate,gate,gate,gate,gate,ai_load_flexibility|demand_response|grid_deferral_model|data_center_power_software,model_validated|utility_program|customer_contract|revenue_mapping,not_company_green_until_contract_revenue_and_margin_exist,grid_flexibility_model_priced_as_equipment_revenue,model_only|no_contract|no_revenue_mapping|project_delay,,model_only|no_contract|no_revenue_mapping,model_to_revenue_misclassified|project_delay|no_customer_contract,false,false,"AI load-flexibility research supports structural demand context, not individual Stage 3 evidence without contract and revenue mapping."
CONTRACT_BACKLOG_INDUSTRIAL,INDUSTRIAL_ORDERS_INFRA,CONTRACT_BACKLOG_INDUSTRIAL,GREEN_POSSIBLE,20,24,18,13,12,1,5,supply_contract_news|trading_value_breakout|backlog_keyword,contract_amount_to_sales|contract_duration|counterparty|delivery_schedule|op_eps_revision,multi_year_backlog|margin_visible|capacity_constraint|fy1_fy2_revision,crowded_order_story|target_price_cluster|new_order_growth_slowdown,contract_cancelled|delivery_delay|margin_miss|customer_credit_issue,contract_value|contract_duration|counterparty|delivery_schedule|margin_visible|op_eps_revision,contract_quality_unclear|delivery_delay|margin_uncertainty|mou_or_loi_only,contract_quality_unclear|delivery_delay|margin_uncertainty,false,false,"Generic order/backlog names need contract quality and margin/EPS conversion, not just order size."
DEFENSE_GOVERNMENT_BACKLOG,INDUSTRIAL_ORDERS_INFRA,DEFENSE_GOVERNMENT_BACKLOG,GREEN_POSSIBLE,21,24,17,14,14,3,5,nato_rearmament|defense_export_news|government_customer,official_contract|contract_value|multi_year_delivery|order_backlog_growth|op_eps_revision,government_backlog_to_sales|delivery_visibility|opm_improvement|export_mix_growth,defense_rerating_crowded|target_price_cluster|local_production_capex_ignored,delivery_delay|cost_overrun|export_permit_issue|dilution_shock|contract_cancelled,government_customer|multi_year_contract|delivery_schedule|backlog_growth|opm_improvement,delivery_delay|cost_overrun|export_license_risk|dilution|local_production_capex,capital_allocation_shock|dilution|delivery_delay|export_permit_issue,false,false,"Defense remains Green-capable, but delivery schedule, margin, and dilution/CAPEX overlay are mandatory."
