case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
hyundai_hybrid_valueup_case,AUTO_HYBRID_VALUEUP,005380,Hyundai Motor hybrid value-up,KR,success_candidate,AUTO_HYBRID_VALUEUP,GREEN_POSSIBLE,2024-08-28,2024-08-28,,,,hybrid_sales_growth|op_margin_target|buyback_amount|dividend_policy_change|shareholder_return_ratio,tariff_event_flag|peak_margin|recall_flag,auto_valueup_aligned_candidate,needs_price_backfill,false,"Hyundai is a candidate because hybrid mix, OPM target, FCF, and shareholder return are linked."
hyundai_tariff_margin_cut_case,AUTO_TARIFF_LOCALIZATION,005380,Hyundai tariff margin cut and US localization,KR,4b_watch,AUTO_TARIFF_LOCALIZATION,WATCH_YELLOW_FIRST,,2025-09-18,,2025-09-18,,local_production_ratio|local_production_capacity|hybrid_ev_us_capacity|tariff_response,op_margin_cut_flag|tariff_cost_amount|local_production_capex|us_ramp_up_risk,auto_tariff_margin_watch,needs_price_backfill,false,"US localization may help long term, but tariff-driven OPM target cuts cap valuation rerating."
toyota_hybrid_parts_bottleneck_case,HYBRID_COMPONENT_BOTTLENECK,7203.T,Toyota hybrid parts bottleneck reference,JP,success_candidate,HYBRID_COMPONENT_BOTTLENECK,WATCH_YELLOW_FIRST,,2025-03-31,,2025-03-31,,hybrid_sales_growth|inverter_supply_constraint_flag|magnet_supply_constraint_flag|motor_supply_constraint_flag,customer_concentration|raw_material_cost_change|bottleneck_normalization,hybrid_component_bottleneck_reference,needs_price_backfill,false,"Hybrid parts can be Watch-to-Green only after real delivery, margin, and cost pass-through are confirmed."
avride_hyundai_ioniq5_robotaxi_case,AUTONOMOUS_ROBOTAXI_DEPLOYMENT,005380,Avride Hyundai IONIQ 5 robotaxi partnership,KR,success_candidate,AUTONOMOUS_ROBOTAXI_DEPLOYMENT,WATCH_YELLOW_FIRST,,2025-03-05,,,,robotaxi_partnership|platform_integration_flag|robotaxi_fleet_size|service_area_expansion,safety_record_unverified|unit_economics_unverified|insurance_liability_cost_unverified,robotaxi_deployment_aligned_stage2_candidate,needs_price_backfill,false,"Robotaxi deployment becomes Stage 2 evidence only after service area, fleet, rides, safety, and unit economics are verified."
tesla_texas_robotaxi_wait_time_case,ROBOTAXI_OPERATIONAL_REALITY_CHECK,TSLA,Tesla Texas robotaxi wait-time and routing reality check,US,4c_thesis_break,ROBOTAXI_OPERATIONAL_REALITY_CHECK,REDTEAM_FIRST,2026-05-12,,,,2026-05-12,robotaxi_service_area|robotaxi_fleet_size|wait_time_minutes,long_wait_time|limited_service_area|misrouting_flag|dropoff_distance_issue_flag|safety_monitor_flag|poor_completion_rate,robotaxi_operational_reality_check,needs_price_backfill,false,"Robotaxi rollout is not scalable evidence if wait times, routing reliability, completion rate, or safety-monitor dependence fail."
waymo_flood_recall_robotaxi_case,ROBOTAXI_SAFETY_REGULATORY_OVERLAY,GOOGL,Waymo flooded-road robotaxi recall,US,4c_thesis_break,ROBOTAXI_SAFETY_REGULATORY_OVERLAY,REDTEAM_FIRST,,,,,2026-05-12,robotaxi_service_area|paid_ride_volume,safety_recall_flag|weather_handling_failure_flag|nhtsa_scrutiny_flag|remote_assistance_cost,robotaxi_safety_4c,needs_price_backfill,false,Robotaxi scale cannot stay Green if safety recall and weather-handling failures break operational trust.
waymo_houston_expansion_case,AUTONOMOUS_ROBOTAXI_DEPLOYMENT,GOOGL,Waymo Houston robotaxi expansion,US,4b_watch,AUTONOMOUS_ROBOTAXI_DEPLOYMENT,WATCH_YELLOW_FIRST,,2026-05-13,,2026-05-13,,robotaxi_service_area|paid_ride_volume|platform_integration_flag,safety_recall_flag|unit_economics_unverified|insurance_liability_cost_unverified,robotaxi_deployment_expansion_safety_watch,needs_price_backfill,false,Deployment expansion remains Watch until ride economics and safety record are proven.
korean_air_asiana_integration_case,AIRLINE_INTEGRATION_SCALE,003490,Korean Air Asiana integration,KR,cyclical_success,AIRLINE_INTEGRATION_SCALE,WATCH_YELLOW_FIRST,2024-12-12,2025-02-07,,2025-02-07,,asiana_integration_flag|record_revenue|operating_profit_growth|cargo_revenue_growth|synergy_amount,jet_fuel_price|fx_rate_exposure|integration_cost|cargo_cycle|tariff_trade_uncertainty,airline_integration_cycle_watch,needs_price_backfill,false,"Airline integration can be Stage 1/2, but fuel, FX, cargo cycle, and integration cost keep Green restricted."
china_group_visa_tourism_case,CASINO_DUTYFREE_TOURISM,KR_TOURISM_POLICY,Korea China group visa tourism policy basket,KR,event_premium,CASINO_DUTYFREE_TOURISM,WATCH_YELLOW_FIRST,2025-09-29,,,2025-09-29,,visa_free_policy_flag|china_tourist_arrivals|tourism_policy_event,average_spend_unverified|casino_drop_amount_unverified|duty_free_asp_unverified|policy_event_only,tourism_policy_event_stage1,needs_price_backfill,false,"Visa-free tourism is Stage 1 until spend, drop amount, duty-free ASP, RevPAR, and OPM are visible."
ses_airline_connectivity_case,SATELLITE_CONNECTIVITY_INFRA,SESG.PA,SES airline connectivity backlog,EU,success_candidate,SATELLITE_CONNECTIVITY_INFRA,GREEN_POSSIBLE,,2026-05-12,,2026-05-12,,connectivity_revenue_growth|airline_contract_count|new_contracts_value|gross_backlog,capex_debt_ratio|launch_delay_flag|competitor_constellation|government_budget_delay,satellite_connectivity_aligned_candidate,needs_price_backfill,false,"SES is different from a space theme because revenue, airline contracts, and backlog are visible."
