target_id,stage1,stage2,stage3,stage4b,stage4c,loop11_penalty_axes,hard_gate,production_scoring_changed
GRID_TRANSFORMER_SHORTAGE_KOREA,ai_data_center_power_demand|us_grid_shortage|transformer_lead_time_four_years|transformer_price_increase,us_capa_expansion|ehv_transformer_export|backlog_visibility|op_eps_revision,op_eps_fcf_revision|backlog_quality_improvement|opm_maintained_or_improving|60d_mfe_20pct|detail_verified,k_transformer_consensus_crowded|120d_mfe_80pct|252d_mfe_150pct|peer_top_quartile_valuation,capa_normalization|customer_project_delay|raw_material_cost_spike|margin_miss,capa_normalization|valuation_crowding|raw_material_cost|project_delay,false,false
GRID_US_LOCALIZATION_CAPA,hyosung_hico|memphis_transformer_plant|buy_america_or_tariff|us_utility_customer,us_plant_expansion|hvdc_transformer|765kv_exposure|local_capa_visibility,hico_utilization|margin_visible|op_eps_revision|price_path_aligned,k_power_equipment_basket_crowded|local_capa_priced_before_utilization,local_capex_burden|utilization_miss|margin_unknown|disclosure_detail_missing,local_capa_capex|utilization|margin_unknown,false,false
POWER_EQUIPMENT_BACKLOG_TO_FCF_KOREA,power_equipment_backlog|opm_improvement|fcf_conversion|old_low_margin_frame,backlog_growth|low_margin_order_cleanup|cashflow_visible|op_eps_revision,backlog_to_fcf|margin_sustained|old_frame_rerating|price_path_aligned,backlog_to_fcf_consensus_crowded|price_faster_than_revision,low_margin_backlog_returns|opm_miss|fcf_miss|order_growth_slowdown,low_margin_backlog|fcf_miss|valuation_crowding,false,false
SHIPBUILDING_US_PLATFORM_RESTRUCTURING,masga|us_shipbuilding_rebuild|arctic_icebreaker|naval_defense_demand,merger|share_exchange_ratio|us_shipbuilding_cooperation|record_high_price_reaction,actual_us_shipbuilding_or_mro_contract|yard_capa_utilization|margin_improvement|fcf_visible,merger_announcement_priced|record_high|event_day_10pct_rally,integration_risk|event_premium_only|actual_contract_missing|margin_unknown,mna_event_only|margin_unknown|contract_missing,false,false
SHIP_MRO_RECURRING_PLATFORM,ship_mro|retrofit|green_conversion|parts_service_recurring,ipo|revenue_growth|service_platform_visibility|customer_base,post_listing_fcf|recurring_mro_revenue|opm_sustained|customer_diversification,ipo_first_day_premium|kkR_overhang|mro_platform_fully_priced,ipo_premium_unwinds|fcf_miss|customer_concentration|overhang,ipo_premium|overhang|fcf_missing,false,false
NUCLEAR_EXPORT_PREFERRED_BIDDER,team_korea_nuclear_export|czech_nuclear_project|reactor_equipment_theme,preferred_bidder|project_value|scope_expected|price_path_rally,final_contract_signed|supplier_scope_confirmed|op_eps_revision|margin_visible,preferred_bidder_rally_40pct|contract_before_scope_priced,legal_appeal|contract_signing_block|westinghouse_ip_issue|financing_failure|political_change,preferred_bidder_only|legal_gate|scope_unknown,false,false
DEFENSE_AIRCRAFT_EXPORT_BACKLOG,fighter_modernization|fa50_export_demand|government_customer,aircraft_contract|contract_amount|aircraft_count|delivery_by_2030,follow_on_contract|delivery_margin_visible|maintenance_or_training_revenue|op_eps_revision,defense_aircraft_story_crowded|contract_value_priced_before_margin,delivery_delay|warranty_cost|development_cost|margin_unknown,margin_unknown|delivery_delay|warranty_cost,false,false
DEFENSE_INTERCEPTOR_COMBAT_VALIDATION,combat_validation|missile_defense_demand|patriot_alternative|middle_east_or_europe_interest,price_path_47pct|demand_interest|unit_cost_advantage|production_scalability,actual_export_contract|contract_amount|delivery_schedule|op_eps_revision,contract_before_price_rally|stage2_120d_mfe_80pct|war_event_priced,war_event_fades|export_contract_delay|competitor_price_cut|production_bottleneck,actual_contract_missing|war_event_only|valuation_crowding,false,false
GEOPOLITICAL_SHIPBUILDING_SANCTION_OVERLAY,us_shipbuilding_mro|philly_shipyard|section_301|us_china_maritime_tension,us_asset_acquisition|mro_contract|investment_pledge,not_green_until_sanction_scope_and_customer_impact_cleared,us_shipbuilding_option_priced_before_sanction_risk,china_sanctions|export_control|geopolitical_retaliation|share_price_drop|customer_or_supplier_restriction,sanction|export_control|geopolitical_retaliation,true,false
MOU_LOI_NOT_CONTRACT,mou|loi|contract_talk|order_report_without_final_contract,loi_or_negotiation_confirmed|details_undisclosed,not_green_until_final_contract_amount_customer_margin_delivery_visible,loi_priced_as_order|headline_order_rally,final_contract_missing|customer_unknown|margin_unknown|terms_undisclosed|loi_failed_to_convert,loi_only|mou_only|detail_missing,true,false
DISCLOSURE_CONFIDENCE_CAP,opendart_list_only|contract_headline|high_signal_disclosure,opendart_detail_fetched|contract_amount|counterparty|contract_duration,contract_amount_to_sales|delivery_schedule|margin_visible|multi_source_confirmation,undisclosed_contract_theme_crowded,detail_missing|contract_amount_missing|counterparty_missing|duration_missing|margin_unknown,disclosure_confidence_capped|detail_missing|margin_unknown,false,false
NUCLEAR_EXPORT_LEGAL_GATE,preferred_bidder|appeal|contract_signing_block|westinghouse_ip_issue,legal_gate_identified|competition_authority_review|appeal_resolution_needed,not_green_until_appeal_resolved_and_contract_signed,preferred_bidder_rally_ignores_legal_gate,contract_signing_prohibited|appeal_pending|ip_dispute|political_change|financing_failure,appeal_pending|contract_signing_block|ip_dispute,true,false
