case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
bavarian_nordic_us_stockpile_contract_case,EVENT_TO_CONTRACT_ESCALATION,BAVA.CO,Bavarian Nordic U.S. stockpile contract,EU,success_candidate,EVENT_TO_CONTRACT_ESCALATION,WATCH_YELLOW_FIRST,2026-05-11,2026-05-11,,,,government_order|stockpile_contract|contract_value|guide_up|ebitda_margin_guidance_raise,one_off_outbreak|government_purchase_end|demand_normalization,event_to_contract_stockpile_candidate,needs_price_backfill,false,A stockpile option and guidance raise can support Stage 2; recurrence and non-event revenue still decide higher stages.
bavarian_nordic_2024_mpox_order_case,EVENT_DISEASE_PEST_DEMAND,BAVA.CO,Bavarian Nordic 2024 mpox vaccine order,EU,event_premium,EVENT_DISEASE_PEST_DEMAND,REDTEAM_FIRST,2024-08-15,,,2024-08-16,,who_emergency|vaccine_order_doses|outbreak_alert|vaccine_theme_rally,one_off_outbreak|purchase_unverified|demand_normalization,event_premium_with_contract_validation_needed,needs_price_backfill,false,"A vaccine order can validate part of the event, but the case remains event premium until recurring demand is clear."
ukraine_telecom_ebrd_ifc_case,REAL_RECONSTRUCTION_FINANCING,UKRAINE_TELECOM_RECOVERY,Ukraine telecom EBRD IFC financing,GLOBAL,success_candidate,REAL_RECONSTRUCTION_FINANCING,WATCH_YELLOW_FIRST,2024-10-10,2024-10-10,,,,ebrd_ifc_financing|project_financing|financing_amount|guarantee_structure|operating_company|infrastructure_asset,war_escalation|financing_delay|insurance_delay,funded_geopolitical_infra_candidate,needs_price_backfill,false,Financing is better than a reconstruction slogan; company-level revenue and margin evidence still need validation.
heatwave_ac_grid_stress_case,CLIMATE_EVENT_TO_GRID_INFRA,HEATWAVE_GRID_BASKET,Heatwave air-conditioning grid stress,GLOBAL,success_candidate,CLIMATE_EVENT_TO_GRID_INFRA,WATCH_YELLOW_FIRST,2025-07-18,2025-07-18,,,,heatwave_event|cooling_demand|grid_stress|peak_load_increase_estimate|event_to_infra_crossover,seasonality|weather_normalization|no_sales_conversion,climate_event_to_grid_infra_watch,needs_price_backfill,false,"Heatwaves can route research to grid, cooling, ESS, HVAC, and transformers, but the weather event alone is not Green."
nyc_ac_battery_vpp_case,CLIMATE_EVENT_TO_GRID_INFRA,NYC_VPP_BATTERY_PROGRAM,NYC AC battery VPP demand-response program,US,success_candidate,CLIMATE_EVENT_TO_GRID_INFRA,WATCH_YELLOW_FIRST,2026-05-01,2026-05-01,,,,vpp_program|plug_in_battery_program|battery_program_capacity|battery_program_households|demand_response_program|grid_stress,policy_budget_delay|seasonal_demand_normalization|no_follow_on_contract,event_to_infra_crossover_candidate,needs_price_backfill,false,A VPP/battery program is stronger than a heatwave headline because it points to energy-system investment.
north_korea_kumgang_dismantle_case,NORTH_KOREA_POLICY_EVENT,INTER_KOREA_POLICY_BASKET,North Korea Kumgang facility dismantle,KR,4c_thesis_break,NORTH_KOREA_POLICY_EVENT,REDTEAM_FIRST,2025-02-13,,,,2025-02-13,facility_dismantle|hostile_state_rhetoric|road_rail_destroyed,facility_dismantle|military_tension|sanctions_intact|policy_reversal,north_korea_hard_red,needs_price_backfill,false,Facility dismantling and military deterioration are hard RedTeam evidence for inter-Korea policy themes.
lk99_superconductor_no_replication_case,SPECULATIVE_SCIENCE_THEME,LK99_THEME_BASKET,LK-99 no replication case,GLOBAL,4c_thesis_break,SPECULATIVE_SCIENCE_THEME,REDTEAM_FIRST,2023-08-08,,,,2023-08-08,replication_failure|peer_review_failure|no_commercial_product,replication_failure|no_commercial_product|technical_validation_failure,speculative_science_failure,needs_price_backfill,false,Replication failure is the clean 4C example for speculative-science themes.
lk99_cu2s_impurity_case,SPECULATIVE_SCIENCE_THEME,LK99_THEME_BASKET,LK-99 Cu2S impurity explanation,GLOBAL,4c_thesis_break,SPECULATIVE_SCIENCE_THEME,REDTEAM_FIRST,2023-11-01,,,,2023-11-01,impurity_explanation|replication_failure|peer_review_failure,impurity_explanation|no_commercial_product|no_customer_contract,speculative_science_failure,needs_price_backfill,false,"An impurity explanation is thesis-break evidence when a material theme lacks customers, products, and revenue."
abbott_diagnostics_demand_wane_case,DIAGNOSTICS_INFECTIOUS_EVENT,ABT,Abbott diagnostics demand wanes,US,4c_thesis_break,DIAGNOSTICS_INFECTIOUS_EVENT,REDTEAM_FIRST,2025-10-15,,,,2025-10-15,diagnostic_sales_decline|testing_demand_wane|post_event_revenue_drop,testing_demand_wane|diagnostic_sales_decline|guide_down,one_off_diagnostic_demand_normalized,needs_price_backfill,false,Diagnostics revenue decline after event demand proves why COVID-style EPS spikes should not be structural Green.
yellow_dust_mask_event_case,ONE_OFF_EVENT_DEMAND,YELLOW_DUST_MASK_BASKET,Yellow dust mask event demand,GLOBAL,event_premium,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,2025-07-18,,,,,air_quality_event|mask_demand|seasonal_theme_rally,seasonality|weather_normalization|no_sales_conversion,yellow_dust_one_off_event_premium,needs_price_backfill,false,"Yellow-dust or mask demand stays one-off unless repeated orders, guidance, and post-event revenue are visible."
