case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
kia_hybrid_localization_sdv_delay_stage2_4c_watch_case,AUTO_HYBRID_LOCALIZATION_KOREA,000270,Kia hybrid US localization with SDV delay and price-war overlay,KR,success_candidate,AUTO_HYBRID_LOCALIZATION_KOREA,WATCH_YELLOW_FIRST,,2025-03-28,,,2026-04-09,georgia_hybrid_production|kia_40pct_georgia_allocation|us_capacity_1_2m|tariff_hedge|hybrid_localization,sdv_delay|ev_target_cut_20pct|capex_hike_30pct|europe_price_war|share_price_minus_5_5pct,stage2_hybrid_localization_with_4c_watch,needs_kia_opm_tariff_hybrid_mix_price_backfill,false,"Kia hybrid localization is Stage 2 evidence, but SDV delay, EV target cut, capex hike, and Europe price competition block Green until OPM/FCF and tariff absorption are proven."
hyundai_mobis_lighting_restructuring_quality_recall_case,AUTO_COMPONENT_RESTRUCTURING_KOREA,012330,Hyundai Mobis lighting restructuring with ICCU quality overlay,KR,success_candidate,AUTO_COMPONENT_RESTRUCTURING_KOREA,WATCH_YELLOW_FIRST,,2026-01-27,,,,opmobility_lighting_stake_talks|lighting_revenue_over_1bn_eur|portfolio_restructuring|customer_diversification_option,deal_not_final|iccu_quality_issue|ev_recall|warranty_cost_risk|customer_trust_damage,stage2_restructuring_with_quality_cap,needs_deal_finality_opm_quality_cost_price_backfill,false,"Hyundai Mobis restructuring can be Stage 2, but quality and warranty cost must remain clean before Stage 3."
cj_logistics_shinsegae_oneday_volume_stage2_3_case,ECOMMERCE_LOGISTICS_REPEAT_CONTRACT,000120,CJ Logistics Shinsegae alliance and one-day delivery volume,KR,success_candidate,ECOMMERCE_LOGISTICS_REPEAT_CONTRACT,GREEN_POSSIBLE,,,,,,shinsegae_3y_logistics_alliance|300bn_krw_incremental_revenue_potential|one_day_overnight_volume_120pct_growth|customer_diversification|naver_customer_option,parcel_unit_price_unknown|labor_cost_risk|opm_fcf_backfill_needed|domestic_growth_slowdown|overseas_recovery_delay,stage2_3_logistics_candidate_needs_unit_margin,needs_parcel_unit_price_opm_fcf_labor_price_backfill,false,"CJ Logistics is a Stage 2/3 candidate only if contract volume converts into parcel unit price defense, automation efficiency, OPM, and FCF."
tourism_visa_free_dutyfree_casino_policy_event_case,CASINO_DUTYFREE_TOURISM_POLICY_KOREA,008770/034230/114090/032350,Hotel Shilla Paradise GKL Lotte Tour tourism visa-free policy basket,KR,event_premium,CASINO_DUTYFREE_TOURISM_POLICY_KOREA,WATCH_YELLOW_FIRST,2025-08-06,2025-09-29,,2025-08-06,,china_group_visa_free_policy|hotel_shilla_4_8pct|paradise_2_9pct|hyundai_department_7_1pct|korea_cosmetics_9_9pct|visa_free_execution|payment_option_expansion,actual_spend_missing|casino_drop_missing|return_visitor_risk|policy_event_4b|low_spend_tourist_mix,policy_price_reaction_not_green_before_spend_drop,needs_spend_drop_revpar_opm_price_backfill,false,"Tourism policy moved prices, but Stage 3 waits for visitor spend, casino drop, hold rate, RevPAR, and OPM/FCF."
casino_return_visitor_unit_economics_gate_case,CASINO_RETURN_VISITOR_UNIT_ECONOMICS,032350/034230/114090,Jeju Dream Tower Paradise GKL return visitor and casino unit economics gate,KR,success_candidate,CASINO_RETURN_VISITOR_UNIT_ECONOMICS,GREEN_POSSIBLE,,,,,,jeju_dream_tower_casino|foreigner_only_casino|visitor_arrivals_needed|casino_drop_amount_needed|hotel_revpar_needed,return_visitor_weak|low_spend_tourist_mix|hold_rate_missing|revpar_missing|debt_or_capex_burden,casino_stage2_3_requires_drop_hold_return_visitor,needs_casino_drop_hold_return_visitor_revpar_price_backfill,false,"Casino names need return visitor, drop, hold rate, spend, RevPAR, and cash-flow data before Green."
jeju_air_muan_crash_hard_4c_case,AIRLINE_SAFETY_REGULATORY_OVERLAY,089590,Jeju Air Muan crash hard safety 4C,KR,4c_thesis_break,AIRLINE_SAFETY_REGULATORY_OVERLAY,REDTEAM_FIRST,,,,,2024-12-30,lcc_recovery_prior|international_route_recovery_prior,muan_crash_179_fatalities|share_price_intraday_minus_15_7pct|safety_inspection|travel_cancellation|consumer_trust_damage,airline_safety_hard_4c,needs_accident_event_price_backfill,false,"Airline demand recovery is overridden by fatal safety accident, inspection, cancellations, and trust damage."
hmm_pan_ocean_freight_cycle_4b_4c_watch_case,SHIPPING_FREIGHT_CYCLE_KOREA,011200/028670,HMM and Pan Ocean freight cycle 4B/4C watch,KR,4b_watch,SHIPPING_FREIGHT_CYCLE_KOREA,WATCH_YELLOW_FIRST,,,,,,freight_rate_up|ebitda_cycle|red_sea_disruption|dividend_cashflow_option,overcapacity|route_normalization|freight_downcycle|new_vessel_supply|earnings_downcycle,shipping_cycle_watch_green_restricted,needs_freight_index_ebitda_price_backfill,false,"Korea shipping can rally on freight, but route normalization and overcapacity require 4B/4C cooling before structural Green."
kia_sdv_delay_capex_price_war_overlay_case,AUTO_SDV_DELAY_CAPEX_OVERLAY,000270,Kia SDV delay capex hike and Europe price-war overlay,KR,4c_thesis_break,AUTO_SDV_DELAY_CAPEX_OVERLAY,REDTEAM_FIRST,,2026-04-09,,,2026-04-09,sdv_roadmap|ai_car_narrative|hybrid_localization_context,sdv_delay_2027_to_2028|ev_target_cut_20pct|capex_hike_30pct|share_price_minus_5_5pct|europe_price_gap_pressure,sdv_strategy_event_is_not_green_if_delay_capex_margin_breaks,needs_sdv_event_price_backfill,false,"SDV and AI-car narratives are capped when launch timing, capex, EV targets, and pricing power worsen."
hyundai_mobis_iccu_quality_recall_overlay_case,AUTO_COMPONENT_QUALITY_RECALL_OVERLAY,012330,Hyundai Mobis ICCU quality and recall overlay,KR,4c_thesis_break,AUTO_COMPONENT_QUALITY_RECALL_OVERLAY,REDTEAM_FIRST,,,,,,ev_component_exposure|component_program_visibility,iccu_defect|korea_us_recall|warranty_cost|reputation_risk,component_quality_cost_blocks_green,needs_recall_cost_price_backfill,false,Auto components need quality and warranty-cost checks before customer CAPEX or EV content can support Green.
cj_logistics_labor_regulation_margin_cap_case,LOGISTICS_LABOR_REGULATION_OVERLAY,000120/002320,CJ Logistics and Hanjin labor regulation margin cap,KR,failed_rerating,LOGISTICS_LABOR_REGULATION_OVERLAY,REDTEAM_FIRST,,2025-06-03,,,,parcel_volume_growth|fast_delivery_competition|delivery_operation_pause,election_day_delivery_pause|labor_regulation_cost|unit_price_pressure|opm_risk,volume_without_margin_labor_cap,needs_labor_cost_unit_price_price_backfill,false,"Parcel volume growth is capped when labor, regulation, unit price, and OPM risks are unresolved."
