target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop11_penalty_axes,gate_only,production_scoring_changed
AUTO_HYBRID_LOCALIZATION_KOREA,hybrid_demand|ev_slowdown_response|us_tariff_hedge,georgia_hybrid_production|kia_40pct_allocation|us_capacity_1_2m|localization_plan,hybrid_sales_growth|opm_defense|tariff_cost_absorbed|fcf_and_return_stable|sdv_capex_control,hybrid_localization_narrative_crowded|auto_basket_rally_before_margin,sdv_delay|ev_target_cut|capex_hike|europe_price_war|opm_cut,sdv_delay|ev_target_cut|capex_hike|europe_price_war|opm_cut,sdv_delay|ev_target_cut|capex|price_war|tariff,false,false
AUTO_SDV_DELAY_CAPEX_OVERLAY,sdv_ai_car_narrative|software_defined_vehicle_plan,sdv_roadmap|ai_partner|nvidia_or_deepmind_partner,not_green_if_launch_delay_or_capex_hike,sdv_narrative_priced_before_execution,sdv_delay|ev_target_cut|capex_hike|share_price_negative_reaction,sdv_delay|ev_target_cut|capex_hike|share_price_negative_reaction,delay|capex|ev_target_cut|execution,true,false
AUTO_PRICE_WAR_EUROPE_OVERLAY,europe_sales_defense|china_ev_competition,price_gap_reduction|volume_defense,not_green_if_margin_cut_needed,volume_story_ignores_margin_cap,price_cut_signal|gross_margin_pressure|opm_cap|china_ev_price_competition,price_cut_signal|gross_margin_pressure|opm_cap|china_ev_price_competition,price_cut|opm|competition|europe,true,false
AUTO_COMPONENT_RESTRUCTURING_KOREA,auto_parts_restructuring|lighting_business|adas_or_ev_component,lighting_business_scale|opmobility_deal|portfolio_restructuring|customer_diversification,deal_finalized|opm_improvement|fcf_or_return_improvement|quality_cost_low,restructuring_premium_priced_before_deal,iccu_quality_issue|ev_recall|warranty_cost|customer_trust_damage,iccu_quality_issue|ev_recall|warranty_cost|customer_trust_damage,quality|recall|warranty|deal_not_final,false,false
AUTO_COMPONENT_QUALITY_RECALL_OVERLAY,ev_component_exposure|electronics_component,component_program_visibility,not_green_if_quality_cost_active,component_rerating_ignores_recall,iccu_defect|recall|warranty_cost|reputation_risk,iccu_defect|recall|warranty_cost|reputation_risk,recall|warranty|quality|trust,true,false
ECOMMERCE_LOGISTICS_REPEAT_CONTRACT,ecommerce_logistics_competition|fast_delivery|customer_trust_shock,three_year_logistics_alliance|incremental_revenue_potential|one_day_volume_growth|customer_diversification,parcel_unit_price_defended|opm_fcf_improvement|automation_efficiency|repeat_customer_contracts|labor_cost_controlled,fast_delivery_basket_rally|volume_story_priced_before_margin,unit_price_down|labor_regulation_cost|volume_up_opm_down|delivery_pause_or_operation_disruption,unit_price_down|labor_regulation_cost|volume_up_opm_down|delivery_pause_or_operation_disruption,unit_price|labor|opm|operation,false,false
LOGISTICS_LABOR_REGULATION_OVERLAY,parcel_volume_growth|delivery_competition,labor_policy_change|delivery_operation_pause,not_green_if_labor_cost_spikes,volume_growth_ignores_labor_cost,labor_regulation_cost|delivery_pause|courier_regulation|unit_cost_spike,labor_regulation_cost|delivery_pause|courier_regulation|unit_cost_spike,labor|regulation|unit_cost|operation,true,false
CASINO_DUTYFREE_TOURISM_POLICY_KOREA,china_group_visa_free|casino_dutyfree_hotel_basket_rally|tourism_policy,visa_free_execution|payment_options|cruise_or_group_tour_preparation|visitor_arrivals,average_spend|dutyfree_sales|casino_drop_amount|hold_rate|revpar|opm_fcf,policy_news_basket_rally|tourism_policy_priced_before_spend,return_visitor_weak|low_spend_tourist_mix|policy_end|tourist_safety_concern|casino_drop_weak,return_visitor_weak|low_spend_tourist_mix|policy_end|tourist_safety_concern|casino_drop_weak,spend_missing|drop_missing|return_visitor|policy_event,false,false
CASINO_RETURN_VISITOR_UNIT_ECONOMICS,foreigner_only_casino|jeju_casino|tourist_recovery,visitor_arrivals|casino_revenue|hotel_occupancy|payment_option,casino_drop_amount|hold_rate|return_visitor_rate|average_spend|revpar|opm_fcf,casino_policy_rally_before_drop,return_visitor_weak|drop_amount_weak|hold_rate_weak|debt_or_capex_burden|low_spend_mix,return_visitor_weak|drop_amount_weak|hold_rate_weak|debt_or_capex_burden|low_spend_mix,drop|hold|return_visitor|debt,false,false
AIRLINE_SAFETY_REGULATORY_OVERLAY,lcc_recovery|international_route_recovery,load_factor_recovery|cost_normalization,not_green_if_safety_accident_or_inspection,travel_recovery_ignores_safety,fatal_accident|safety_inspection|travel_cancellation|consumer_trust_damage|operating_restriction,fatal_accident|safety_inspection|travel_cancellation|consumer_trust_damage|operating_restriction,safety|inspection|trust|cancellation,true,false
SHIPPING_FREIGHT_CYCLE_KOREA,freight_rate_spike|red_sea_disruption|spot_rate_rally,ebitda_increase|dividend_or_cashflow_potential|freight_index_improves,multi_year_supply_discipline|contract_freight_visibility|fleet_discipline|cashflow_resilience,freight_spike_basket_rally|shipping_stocks_crowded,route_normalization|overcapacity|freight_rate_decline|new_vessel_supply|earnings_downcycle,route_normalization|overcapacity|freight_rate_decline|new_vessel_supply|earnings_downcycle,freight_cycle|overcapacity|route_normalization|new_supply,false,false
PARCEL_VOLUME_PRICE_COST_SPREAD,parcel_volume_growth|fast_delivery_competition,shipment_volume_growth|customer_diversification|automation_capex|hub_efficiency,parcel_unit_price_defended|delivery_cost_per_unit_down|opm_fcf_improves|automation_payback|labor_cost_controlled,parcel_volume_story_crowded,unit_price_down|delivery_cost_per_unit_up|volume_up_opm_down|labor_regulation_cost,unit_price_down|delivery_cost_per_unit_up|volume_up_opm_down|labor_regulation_cost,unit_price|unit_cost|opm|labor,false,false
TRAVEL_AGENCY_POLICY_EVENT,tourism_policy|outbound_travel_recovery|china_visa_free,departure_count|package_asp|reservation_growth|tour_product_margin,package_asp_up|opm_fcf_improves|repeat_travel_demand|cancellation_low,policy_event_travel_basket_rally,asp_missing|departure_count_missing|opm_missing|policy_only_rally|cancellation_spike,asp_missing|departure_count_missing|opm_missing|policy_only_rally|cancellation_spike,asp|opm|policy_only|cancellation,false,false
