case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,evidence_fields,red_flag_fields,price_validation_status,production_input,notes
humira_biosimilar_discount_access_candidate,BIOSIMILAR_COMMERCIALIZATION,HUMIRA_BIO_DISC,Humira biosimilar discount access candidate,US,success_candidate,BIOTECH_ROYALTY_COMMERCIALIZATION,WATCH_YELLOW_FIRST,price_discount|payer_or_pbm_adoption,margin_pressure|uptake_failure,needs_price_backfill,false,"Discount access can help adoption, but needs prescription and margin evidence."
humira_biosimilar_slow_uptake_counterexample,BIOSIMILAR_COMMERCIALIZATION,HUMIRA_SLOW,Humira biosimilar slow uptake counterexample,US,failed_rerating,BIOTECH_ROYALTY_COMMERCIALIZATION,WATCH_YELLOW_FIRST,biosimilar_approval|price_discount,payer_adoption|uptake_failure,needs_price_backfill,false,Cheaper biosimilar can still fail to convert prescriptions quickly.
ustekinumab_biosimilar_multi_approval_candidate,BIOSIMILAR_COMMERCIALIZATION,USTE_BIO,Ustekinumab biosimilar multi-approval candidate,GLOBAL,success_candidate,BIOTECH_ROYALTY_COMMERCIALIZATION,WATCH_YELLOW_FIRST,biosimilar_approval|multi_country_launch,price_competition|margin_pressure,needs_price_backfill,false,Multiple approvals expand opportunity but increase price competition.
biosimilar_price_margin_pressure_4c,BIOSIMILAR_COMMERCIALIZATION,BIO_MARGIN_4C,Biosimilar price margin pressure 4C,GLOBAL,4c_thesis_break,BIOTECH_ROYALTY_COMMERCIALIZATION,WATCH_YELLOW_FIRST,launch_news,price_margin_collapse|supply_quality_issue,needs_price_backfill,false,Price discount without margin defense can break the thesis.
lilly_oral_glp1_foundayo_candidate,OBESITY_GLP1_COMMERCIALIZATION,LLY_ORAL,Lilly oral GLP-1 uptake candidate,US,success_candidate,BIOTECH_ROYALTY_COMMERCIALIZATION,GREEN_POSSIBLE,oral_glp1|prescription_volume_growth,competition|prescription_slowdown,needs_price_backfill,false,Oral GLP-1 can widen market if prescriptions and supply scale.
novo_wegovy_slowdown_compounded_alternative_4c,OBESITY_GLP1_COMMERCIALIZATION,NVO_WEGOVY_4C,Novo Wegovy slowdown and compounded alternative 4C,US,4c_thesis_break,BIOTECH_ROYALTY_COMMERCIALIZATION,GREEN_POSSIBLE,glp1_demand,guidance_cut|compounded_substitution,needs_price_backfill,false,Large GLP-1 demand can still break if competition or compounded alternatives cut guidance.
glp1_advertising_regulation_india_counterexample,OBESITY_GLP1_COMMERCIALIZATION,GLP1_AD_REG,GLP-1 advertising regulation India counterexample,IN,failed_rerating,BIOTECH_ROYALTY_COMMERCIALIZATION,GREEN_POSSIBLE,obesity_market,advertising_regulation|regulatory_campaign_halt,needs_price_backfill,false,Country advertising rules can block commercial narrative.
oral_glp1_uptake_below_expectation_counterexample,OBESITY_GLP1_COMMERCIALIZATION,ORAL_GLP1_SLOW,Oral GLP-1 uptake below expectation counterexample,US,failed_rerating,BIOTECH_ROYALTY_COMMERCIALIZATION,GREEN_POSSIBLE,oral_glp1,prescription_slowdown|reimbursement,needs_price_backfill,false,Launch prescriptions must be compared with revenue expectations.
bluebird_gene_therapy_approval_but_cash_crunch_4c,GENE_THERAPY_RARE_DISEASE,BLUE_4C,Bluebird gene therapy approval but cash crunch 4C,US,4c_thesis_break,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,gene_therapy_approval,cash_crunch|patient_uptake_failure,needs_price_backfill,false,Approval did not prevent cash crunch when commercialization was slow.
rare_disease_reimbursement_delay_counterexample,GENE_THERAPY_RARE_DISEASE,RARE_REIMB,Rare disease reimbursement delay counterexample,GLOBAL,failed_rerating,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,rare_disease_unmet_need,reimbursement_failure|commercialization_slow,needs_price_backfill,false,High unmet need still needs reimbursement.
