case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
samyang_buldak_export_rerating_case,EXPORT_RECURRING_CONSUMER,003230,삼양식품 Buldak 수출 리레이팅,KR,success_candidate,EXPORT_RECURRING_CONSUMER,GREEN_POSSIBLE,,2024-06-14,,2024-06-14,,export_sales_growth|us_europe_shipments|asp_change|capa_expansion|op_revision_84pct|target_price_revision_26pct|share_price_plus_5_7pct,single_product_dependency|foreign_inventory_check_needed|recall_overlay_required|viral_challenge_safety_risk,export_recurring_aligned_candidate,needs_price_backfill,false,"Export, ASP, CAPA, OP revision, and event-day price align, but single-product and recall overlays remain required."
samyang_buldak_denmark_recall_case,FOOD_SAFETY_RECALL_OVERLAY,003230_RECALL,삼양식품 Buldak 덴마크 리콜,KR,4c_thesis_break,FOOD_SAFETY_RECALL_OVERLAY,REDTEAM_FIRST,,,,,2024-06-12,buldak_brand|single_product_concentration,recall_flag|country_sales_ban|capsaicin_or_additive_risk|viral_challenge_safety_issue,food_safety_regulatory_4c_watch,needs_price_backfill,false,A successful K-food candidate still needs country-level recall and safety overlays.
samyang_buldak_denmark_partial_reversal_case,FOOD_SAFETY_RECALL_OVERLAY,003230_RECALL_REVERSAL,삼양식품 Buldak 덴마크 리콜 일부 해소,KR,event_premium,FOOD_SAFETY_RECALL_OVERLAY,REDTEAM_FIRST,,2024-08-08,,,,country_sales_ban_reversal|buldak_brand|regulatory_review,country_specific_regulation_still_active|single_product_concentration|viral_challenge_safety_issue,food_safety_partial_reversal_watch,needs_price_backfill,false,Partial recall reversal can reduce one risk but does not remove country-level food-safety monitoring.
kfood_hero_to_portfolio_case,K_FOOD_GLOBAL_PORTFOLIO_EXPANSION,KFOOD_PORTFOLIO_REF,K푸드 hero product에서 portfolio 확장,KR,success_candidate,K_FOOD_GLOBAL_PORTFOLIO_EXPANSION,WATCH_YELLOW_FIRST,,,,,,hero_product_flag|sku_expansion_flag|country_diversification_score|channel_diversification_score|repeat_purchase_signal,hero_product_fatigue|foreign_inventory_growth|sku_expansion_failure|country_sales_ban_risk,k_food_hero_to_portfolio_watch,needs_source_date_and_price_backfill,false,"Hero products can create Stage 2, but Stage 3 needs SKU, country, channel, sell-through, and reorder proof."
kbeauty_us_export_overtake_france_case,K_BEAUTY_EXPORT_DISTRIBUTION,KBEAUTY_US_REF,K뷰티 미국 수출 프랑스 추월,KR,success_candidate,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,,2025-06-05,,2025-06-05,,us_export_overtake_france|us_ecommerce_growth_71pct|offline_channel_entry|sephora_ulta_target_costco_channel|brand_diversification,tariff_flag|china_sales_change|sell_through_unverified|brand_saturation,kbeauty_structural_success_candidate,missing_direct_symbol_mapping,false,"K-beauty export growth and channel entry route research, but sell-through and reorder are required before Green."
olive_young_us_retail_platform_case,K_BEAUTY_RETAIL_PLATFORM,OLIVEYOUNG_REF,Olive Young 미국 리테일 플랫폼,KR,success_candidate,K_BEAUTY_RETAIL_PLATFORM,WATCH_YELLOW_FIRST,,,,,,olive_young_us_entry|sephora_ulta_target_costco_channel|indie_brand_discovery|online_to_offline_conversion,store_economics_unverified|inventory_growth|brand_churn|channel_conflict|sell_through_unverified,kbeauty_retail_platform_stage2_candidate,needs_exact_stage_date_backfill,false,"Retail platform evidence is useful, but store-level sell-through, reorder, inventory, and FCF must be backfilled before any Green discussion."
kbeauty_us_tariff_risk_case,K_BEAUTY_TARIFF_IMPORT_REVIEW,KBEAUTY_TARIFF_REF,K뷰티 미국 관세·수입규제 리스크,KR,4c_thesis_break,K_BEAUTY_TARIFF_IMPORT_REVIEW,REDTEAM_FIRST,,,,,,k_beauty_export_growth|us_import_1_7b|us_channel_entry,tariff_flag|tariff_rate_25pct_possible|import_delay|fda_import_review|gross_margin_buffer_weak,kbeauty_tariff_4c_watch,needs_exact_stage_date_backfill,false,Tariff/import regulation can damage channel margin; month-level source marker needs exact date backfill.
kbeauty_offline_sellthrough_case,K_BEAUTY_OFFLINE_SELL_THROUGH,KBEAUTY_OFFLINE_REF,K뷰티 오프라인 sell-through 검증,KR,success_candidate,K_BEAUTY_OFFLINE_SELL_THROUGH,WATCH_YELLOW_FIRST,,,,,,offline_channel_entry|sephora_ulta_target_costco_channel|store_count|initial_shipment,reorder_absent|inventory_growth|receivables_growth|discount_clearance|sell_through_unverified,channel_entry_but_unknown_reorder,needs_retailer_entry_date_and_price_backfill,false,"Offline retailer entry is Stage 2 evidence, while sell-through, reorder, inventory, receivables, and OPM decide higher stages."
apr_medicube_beauty_device_case,BEAUTY_DEVICE_EXPORT,278470,APR / Medicube beauty device,KR,4b_watch,BEAUTY_DEVICE_EXPORT,GREEN_POSSIBLE,,2025-10-20,,2025-10-20,,share_price_4x|market_value_6b|overseas_sales_ratio_80pct|us_sales_exceeds_korea|beauty_device_revenue_share,valuation_overheat|tariff_flag|device_competition|hero_product_dependency|regulatory_risk,beauty_device_aligned_but_4b,needs_price_backfill,false,"Beauty device export can be structurally strong, but 4x price move and valuation expansion require 4B-watch."
medicube_ulta_tiktok_omnichannel_case,BEAUTY_DEVICE_AFFILIATE_COMMERCE,MEDICUBE_REF,Medicube Ulta / TikTok omnichannel,KR,success_candidate,BEAUTY_DEVICE_AFFILIATE_COMMERCE,WATCH_YELLOW_FIRST,,2026-02-13,,,,ulta_1400_store_entry|tiktok_shop_sales_102_9m|prime_day_sales_22m|creator_network_34000|omnichannel_sell_through,publisher_profile_bias|price_backfill_needed|sell_through_quality_check_needed|channel_stuffing_check_needed,omnichannel_sell_through_candidate,missing_direct_symbol_mapping,false,"Omnichannel evidence is useful, but price, OP margin, sell-through, and reorder quality need backfill."
kbeauty_oem_odm_fast_beauty_case,BEAUTY_OEM_ODM_SUPPLYCHAIN,KBEAUTY_OEM_ODM_REF,K뷰티 OEM/ODM fast-beauty 공급망,KR,success_candidate,BEAUTY_OEM_ODM_SUPPLYCHAIN,GREEN_POSSIBLE,,2025-06-05,,,,cosmax_kolmar_contract_manufacturer|fast_beauty_model|brand_customer_growth|customer_diversification,brand_sell_through_unverified|inventory_growth|receivables_growth|customer_concentration,beauty_oem_odm_supplychain_candidate,missing_direct_symbol_mapping,false,"OEM/ODM can diversify brand risk, but customer sell-through, inventory, receivables, and reorder must be checked."
