case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,evidence_fields,red_flag_fields,price_validation_status,production_input,notes
ecolab_coolit_ai_liquid_cooling_candidate,AI_DATA_CENTER_COOLING,ECL_COOLIT,Ecolab/CoolIT AI liquid cooling,US,success_candidate,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,customer_datacenter_capex_link|cooling_bottleneck|confirmed_order_or_delivery,customer_concentration|project_margin,needs_price_backfill,false,"AI cooling candidate needs delivery, service revenue, and OP revision backfill."
samsung_flaktgroup_hvac_candidate,AI_DATA_CENTER_COOLING,005930_FLKT,Samsung FlaktGroup HVAC,KR,success_candidate,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,hvac_acquisition|ai_datacenter_capex,non_core_exposure|revenue_exposure_unclear,needs_price_backfill,false,HVAC acquisition supports search routing; revenue exposure must be proven.
liquid_cooling_theme_no_order_counterexample,AI_DATA_CENTER_COOLING,COOLING_THEME,액체냉각테마_무수주,KR,failed_rerating,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,liquid_cooling_keyword,liquid_cooling_theme_only|no_customer_order,needs_price_backfill,false,Cooling keyword without order is not score evidence.
ai_capex_delay_cooling_4c,AI_DATA_CENTER_COOLING,COOL_CAPEX_4C,AI_CAPEX지연_냉각,US,4c_thesis_break,AI_DATA_CENTER_INFRASTRUCTURE,GREEN_POSSIBLE,cooling_project_pipeline,ai_capex_delay|customer_order_delay,needs_price_backfill,false,AI CAPEX delay can break cooling backlog assumptions.
sk_hynix_hbm_success_case,MEMORY_HBM_CAPACITY,000660,SK하이닉스 HBM,KR,structural_success,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,hbm_demand|supply_discipline|medium_term_revision,capex_reversal|memory_price_down,needs_price_backfill,false,HBM structural success candidate; exact price path must be source-filled.
sk_hynix_4b_crowding_watch,MEMORY_HBM_CAPACITY,000660,SK하이닉스 4B crowding,KR,4b_watch,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,one_to_two_year_price_surge|global_crowding|market_cap_multiple_saturation,capex_reversal|revision_slowdown,needs_price_backfill,false,Successful HBM rerating needs 4B-watch after large price move.
simple_dram_rebound_counterexample,MEMORY_HBM_CAPACITY,DRAM_REBOUND,단순DRAM반등,KR,failed_rerating,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,memory_price_rebound,no_medium_term_revision|cycle_only,needs_price_backfill,false,Simple DRAM rebound is cyclical unless medium-term evidence exists.
ai_capex_cut_memory_4c,MEMORY_HBM_CAPACITY,MEMORY_CAPEX_4C,AI_CAPEX둔화_메모리,KR,4c_thesis_break,MEMORY_HBM_CAPACITY,GREEN_POSSIBLE,hbm_exposure,customer_ai_capex_slowdown|memory_price_down,needs_price_backfill,false,Customer AI CAPEX slowdown is a hard memory risk.
kbeauty_us_offline_channel_candidate,K_BEAUTY_EXPORT_DISTRIBUTION,KBEAUTY_US,K뷰티 미국오프라인채널,KR,success_candidate,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,export_growth|offline_retail_entry|repeat_orders,tariff|inventory,needs_price_backfill,false,US offline expansion needs sell-through and inventory discipline.
kbeauty_oem_odm_customer_diversification_candidate,K_BEAUTY_EXPORT_DISTRIBUTION,KBEAUTY_ODM,K뷰티 OEM/ODM 고객다변화,KR,success_candidate,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,customer_diversification|opm_roe_improvement,customer_concentration|receivables,needs_price_backfill,false,OEM/ODM needs diversified customers and margin evidence.
