target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop7_penalty_axes,gate_only,production_scoring_changed
CDMO_HEALTHCARE_CONTRACT,cdmo_contract|capacity_expansion|new_manufacturing_site|us_eu_local_production,long_term_contract|capacity_utilization|customer_diversification|op_eps_revision,multi_year_production_visibility|fcf_conversion|utilization_leverage|high_value_modality_mix,capacity_premium_overheated|capex_story_priced_before_utilization,utilization_down|contract_delay|capex_burden|tariff_or_quality_issue|us_operating_cost,underutilization|customer_concentration|capex_burden|quality_issue|tariff|us_operating_cost,utilization|customer_contract|capex|quality,false,false
CDMO_US_TARIFF_HEDGE_CAPACITY,us_manufacturing_site|tariff_hedge|facility_acquisition|capacity_liters,facility_close|customer_contract|technology_transfer|capacity_utilization,us_capacity_revenue_conversion|opm_fcf_conversion|customer_diversification|operating_cost_control,us_cdmo_capacity_premium_overheated|tariff_hedge_story_crowded,customer_contract_missing|site_upgrade_capex_overrun|utilization_low|us_operating_cost_up|technology_transfer_delay,customer_contract_missing|underutilization|us_operating_cost|capex_burden|technology_transfer_delay,us_capacity|utilization|customer_contract|technology_transfer|operating_cost,false,false
CDMO_ADC_CELL_GENE_CAPABILITY,adc_cell_gene_capacity|high_value_modality_capacity|technology_transfer_plan|site_upgrade_capex,customer_contract|regulatory_tech_transfer|capacity_utilization|quality_system_ready,repeat_high_value_modality_revenue|opm_fcf_conversion|customer_diversification|utilization_leverage,adc_cell_gene_capacity_premium_overheated|modality_story_priced_before_contract,customer_contract_missing|technology_transfer_delay|quality_issue|utilization_low|capex_overrun,customer_contract_missing|regulatory_tech_transfer_missing|underutilization|quality_issue|capex_burden,customer_contract|technology_transfer|utilization|quality|capex,false,false
CRO_CLINICAL_SERVICE,clinical_service_backlog|pharma_rd_budget|trial_volume_growth,service_revenue_growth|customer_diversification|repeat_service_revenue|funding_cycle_stable,multi_year_backlog|funding_cycle_stable|high_fcf_conversion,cro_recovery_expectation_overheated,biotech_funding_crunch|customer_rd_budget_cut|forecast_cut|order_cancellation|revenue_decline,biotech_funding_cycle_down|customer_budget_cut|trial_delay|low_margin_backlog|forecast_cut,funding_cycle|customer_budget|forecast_cut,false,false
CRO_FUNDING_CYCLE_OVERLAY,biotech_funding_crunch|customer_rd_budget_cut|trial_delay|order_cancellation,forecast_cut|revenue_decline|backlog_conversion_weak|restructuring,not_applicable_gate_only,cro_recovery_story_ignores_funding_cycle,biotech_funding_crunch|forecast_cut|customer_rd_budget_cut|trial_delay|revenue_decline,biotech_funding_crunch|forecast_cut|customer_rd_budget_cut|trial_delay|revenue_decline,funding_cycle|forecast_cut|customer_budget|backlog_conversion,true,false
BIOSIMILAR_COMMERCIALIZATION,fda_ema_approval|patent_expiry|biosimilar_launch|discount_access_program,pbm_listing|insurance_coverage|prescription_conversion|launch_revenue,prescription_growth|margin_defense|multi_country_launch|payer_access,approval_news_overheated|biosimilar_launch_crowded,price_competition|prescription_conversion_delay|margin_collapse|pbm_incentive_gap,price_competition|coverage_gap|slow_switching|margin_pressure|pbm_incentive_gap,pbm|coverage|prescription_switch|margin,false,false
BIOSIMILAR_ACCESS_CASH_PAY,cash_pay_discount|goodrx_access_program|interchangeable_biosimilar|patient_access_news,discount_program_live|pharmacy_substitution|prescription_conversion|margin_defense,sustained_prescription_growth|pbm_or_cash_channel_scaled|gross_margin_stable|payer_access,discount_access_story_overheated|biosimilar_discount_crowded,prescription_conversion_delay|margin_pressure|pbm_incentive_gap|coverage_gap|originator_rebate_defense,slow_switching|margin_pressure|pbm_incentive_gap|coverage_gap|discount_without_uptake,discount|prescription_switch|pbm|margin|access,false,false
BIOSIMILAR_PBM_FORMULARY_SWITCH,pbm_preferred_list|formulary_switch|zero_copay_program|interchangeable_biosimilar,pbm_listing|insurance_coverage|prescription_conversion|switching_incentive_visible,sustained_prescription_switch|payer_access_scaled|margin_defense|revenue_conversion,pbm_switch_story_crowded|discount_access_priced_before_uptake,slow_switching|originator_rebate_defense|pbm_incentive_gap|margin_pressure|patent_litigation,slow_switching|pbm_incentive_gap|margin_pressure|patent_litigation|discount_without_uptake,pbm|formulary|prescription_switch|margin|patent,false,false
BIOSIMILAR_PATENT_LITIGATION,patent_litigation|injunction_risk|settlement_negotiation|launch_delay_risk,risk_event_detected,not_applicable_gate_only,not_applicable_gate_only,patent_litigation|launch_delay|injunction_risk|settlement_cost|margin_compression|pbm_exclusion,patent_litigation|launch_delay|injunction_risk|settlement_cost|margin_compression,patent|launch_timing|settlement|margin,true,false
OBESITY_GLP1_COMMERCIALIZATION,glp1_approval|oral_glp1_trial|prescription_growth|maintenance_therapy_data,weekly_scripts|insurance_coverage|supply_capacity|sales_ramp|price_defense,durable_prescription_growth|price_defense|op_eps_revision|coverage_expansion|maintenance_use_case,obesity_market_narrative_crowded|scripts_lag_valuation|market_size_priced_before_uptake,compounded_alternative|price_cut|coverage_denial|prescription_slowdown|telehealth_channel_risk,competition|compounded_alternative|coverage_gap|price_regulation|slow_uptake|telehealth_channel_risk,scripts|coverage|price|competition|compounded_drugs,false,false
