target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop11_penalty_axes,gate_only,production_scoring_changed
ENTERPRISE_AI_CLOUD_INFRA_KOREA,ai_cloud|physical_ai|enterprise_automation|sovereign_ai_option,strategic_investor|kkr_cb|ai_offering_expansion|cash_for_mna,ai_cloud_revenue|arr|long_term_cloud_contract|opm_fcf_improvement|mna_execution,strategic_investor_name_rerating|ai_option_priced_before_revenue,cb_dilution|ai_revenue_missing|mna_execution_failure|ai_investment_margin_pressure,cb_dilution|actual_ai_arr_missing|mna_execution_unknown|ai_cost_margin_pressure,cb_dilution|ai_arr_missing|mna_execution|margin,false,false
B2B_SAAS_ERP_WORKFLOW_KOREA,erp_cloud|sme_accounting_tax_compliance|workflow_software,strategic_pe_investment|recurring_software_model|workflow_lock_in|stake_sale,arr_growth|low_churn|opm_fcf_improvement|arpu_growth|renewal_rate,pe_premium_priced_before_arr|software_multiple_crowded,arr_churn_miss|opm_decline|regulatory_approval_delay|workflow_competition,arr_churn_missing|opm_unconfirmed|regulatory_approval_pending|pe_event_premium,arr_missing|churn|opm|pe_event_premium,false,false
PRIVATE_EQUITY_SOFTWARE_RERATING,pe_interest|software_takeout_premium|governance_improvement_expectation,strategic_stake|operation_improvement_plan|core_business_focus,opm_improvement|fcf_conversion|arr_growth|operational_kpi_improves,pe_name_premium_before_execution,deal_approval_delay|operation_improvement_failure|debt_or_governance_issue,event_premium_only|opm_unconfirmed|deal_delay|governance_issue,event_premium|execution|governance,false,false
AI_CLOUD_CAPITAL_ALLOCATION,cash_balance|ai_mna_option|stablecoin_option,capital_allocation_strategy|strategic_advice|cb_or_external_capital,disciplined_mna|ai_revenue_after_capex|fcf_after_investment,mna_option_overpriced,cb_dilution|bad_mna|capex_overrun|margin_pressure,cb_dilution|mna_execution_unknown|ai_investment_cost|margin_pressure,dilution|mna|capex|margin,true,false
SOVEREIGN_KOREAN_AI_MODEL,korean_llm|sovereign_ai|technical_report|benchmark,model_release|public_enterprise_adoption_expectation|cloud_usage_pipeline,b2b_paid_api|naver_cloud_revenue|ai_search_ad_arpu|inference_margin|enterprise_contract,sovereign_ai_keyword_overheated,inference_cost_pressure|b2b_monetization_missing|ai_search_arpu_missing|model_competition,b2b_monetization_missing|inference_cost_unknown|ai_search_arpu_missing|technical_report_only,monetization|inference_cost|arpu|competition,false,false
WEBTOON_PLATFORM_IP_MONETIZATION,webtoon_ip|creator_platform|k_content,nasdaq_ipo|paid_content|ad_revenue|ip_adaptation_pipeline,paid_content_growth|ad_arpu|ip_adaptation_revenue|opm_fcf|retention,ipo_premium|global_ip_platform_crowded,guidance_miss|ip_adaptation_revenue_decline|net_loss|platform_valuation_compression,guidance_miss|ip_adaptation_revenue_decline|net_loss|monetization_gap,guidance|ip_adaptation|net_loss|monetization,false,false
PLATFORM_PRIVACY_SECURITY_OVERLAY,global_platform_asset|line_ly_corp|platform_data,buyback_or_asset_monetization|platform_asset_value,not_green_if_data_leak_or_regulatory_pressure,platform_asset_repricing_ignores_security,data_leak|privacy_security_incident|foreign_regulatory_pressure|capital_relationship_review,data_leak|privacy_security_incident|regulatory_pressure|governance_uncertainty,privacy|security|regulatory|governance,true,false
GAME_CONTENT_IP_REPEAT_MONETIZATION,game_ip|new_title|global_console_expansion|live_service,new_ip_sales|live_service_cash_cow|bookings_visibility|india_platform_option,live_service_bookings|repeat_sales|dlc_or_ugc_monetization|opm_fcf|pipeline_stability,ipo_or_hit_title_premium|valuation_before_repeat_bookings,release_delay|developer_lawsuit|community_backlash|new_ip_sales_slowdown,single_ip_concentration|release_delay|lawsuit|community_backlash|valuation_premium,single_ip|launch|legal|valuation,false,false
GAME_SINGLE_IP_EVENT_PREMIUM,new_title_hype|ipo_premium|single_ip_success,initial_sales|pc_port|preorder_actual|publisher_pipeline,repeat_bookings|retention|follow_on_sales|opm_fcf,single_ip_valuation_premium|ipo_premium_crowded,single_ip_fade|pipeline_gap|platform_fee_pressure|user_retention_miss,single_ip_concentration|ipo_valuation_premium|pipeline_uncertainty|retention_miss,single_ip|ipo|pipeline|retention,false,false
GAME_IP_LAUNCH_DELAY_LEGAL_RISK,sequel_expectation|new_ip_pipeline,publisher_portfolio|release_schedule,not_green_if_delay_or_lawsuit,ip_hype_before_release,release_delay|earnout_dispute|developer_lawsuit|community_backlash,release_delay|developer_lawsuit|community_backlash|earnout_dispute,release_delay|lawsuit|community|trust,true,false
KPOP_PLATFORM_CONTENT_IP,kpop_ip|china_reopening|fan_platform|global_touring,strategic_stake|touring_schedule|fan_platform_arpu_expectation|china_option,china_performance_reopens|fan_platform_arpu|album_tour_revenue|opm_fcf|artist_pipeline_stability,kpop_china_reopening_crowded|ip_expectation_priced,founder_legal_risk|governance_issue|artist_ip_break|china_delay,founder_legal_risk|governance_issue|artist_ip_concentration|china_delay,legal|governance|artist_ip|china,false,false
ENTERTAINMENT_GOVERNANCE_LEGAL_OVERLAY,entertainment_ip|stake_battle|platform_option,legal_overhang_relief|governance_restructuring,not_green_until_legal_overhang_clears,ip_value_ignores_legal_risk,founder_legal_risk|stock_manipulation_case|management_warrant|fan_backlash,founder_legal_risk|governance_discount|stock_manipulation_case|management_warrant,legal|governance|fan_backlash,true,false
AD_CONTENT_PLATFORM_GUIDANCE_RISK,ad_platform|content_platform|ip_adaptation,ad_revenue_visibility|ip_revenue_pipeline,not_green_if_guidance_miss,platform_ip_ipo_premium,guidance_miss|ad_revenue_decline|ip_adaptation_revenue_decline|net_loss,guidance_miss|ad_revenue_decline|ip_adaptation_revenue_decline|net_loss,guidance|ad_revenue|ip_adaptation|loss,true,false
