case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage1_date,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
mp_materials_dod_apple_price_floor_case,RARE_METALS_STRATEGIC_MATERIALS,MP,MP Materials 국방부·Apple price floor,US,success_candidate,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,,,,,,government_investment|price_floor|offtake_contract|long_term_purchase|supply_chain_security|production_capacity,project_execution_risk|policy_dependency|rare_earth_price_drop|capacity_ramp_up_risk,price_floor_offtake_green_candidate,needs_source_date_and_price_backfill,false,"Month-level source marker exists, but exact stage date and price must be backfilled before price alignment."
china_heavy_rare_earth_export_control_case,RARE_METALS_STRATEGIC_MATERIALS,RARE_EARTH_CONTROL_REF,중국 heavy rare earth 수출통제,GLOBAL,event_premium,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,,2026-05-13,,,,rare_earth_export_control|heavy_rare_earth_shortage|geopolitical_bottleneck|strategic_supply_chain,price_only_rally|no_production_capacity|no_offtake|policy_reversal,geopolitical_bottleneck_reference,missing_direct_symbol_mapping,false,"Export control is macro Stage 1/2 evidence, not company-level Green without production, offtake, and FCF."
posco_international_alaska_lng_20y_case,GENERAL_TRADING_RESOURCE_INFRA,047050,POSCO International Alaska LNG 20년 계약,KR,success_candidate,GENERAL_TRADING_RESOURCE_INFRA,WATCH_YELLOW_FIRST,,2025-12-04,,,,twenty_year_lng_supply|project_stake|steel_supply|long_term_offtake|energy_security,fid_pending|financing_risk|lng_price_risk|project_delay,watch_to_green_candidate,needs_price_backfill,false,A 20-year LNG contract plus project stake and steel supply is stronger than spot LNG exposure.
berkshire_japan_sogo_shosha_case,GENERAL_TRADING_RESOURCE_INFRA,JP_TRADING_HOUSES_REF,Berkshire 일본 5대 상사 투자,JP,structural_success,GENERAL_TRADING_RESOURCE_INFRA,WATCH_YELLOW_FIRST,,2025-03-17,,,,resource_infra_fcf|capital_return|conglomerate_discount_rerating|buyback_dividend,commodity_cycle|fx_risk|complex_conglomerate_discount,structural_resource_success,needs_price_backfill,false,Resource/infra FCF plus capital allocation can change the market frame for trading houses.
barrick_record_gold_buyback_case,PRECIOUS_METALS_SAFE_HAVEN_MINERS,GOLD,Barrick record gold and buyback,US,cyclical_success,PRECIOUS_METALS_SAFE_HAVEN_MINERS,WATCH_YELLOW_FIRST,,2026-05-11,,,,record_gold_price|realized_price|aisc_control|buyback_amount|net_income_growth,gold_price_correction|aisc_rise|mine_political_risk,commodity_cyclical_success,needs_price_backfill,false,"Gold price plus AISC control and buyback can be profitable, but it remains a commodity cycle until durability is proven."
sk_innovation_refining_recovery_case,REFINING_OIL_SPREAD,096770,SK Innovation 정유 흑자전환,KR,cyclical_success,REFINING_OIL_SPREAD,WATCH_YELLOW_FIRST,,2026-05-13,,,,refining_op_improvement|earnings_beat|refining_recovery|inventory_noise_excluded_check_needed,recovery_delay_warning|refining_margin_reversal|inventory_loss,commodity_cyclical_success,needs_price_backfill,false,"Strong refining recovery remains Watch because margin, inventory, and recovery duration still need validation."
copper_ai_grid_demand_case,NONFERROUS_STRATEGIC_METALS,COPPER_GRID_REF,구리 AI 데이터센터·전력망 수요,GLOBAL,success_candidate,NONFERROUS_STRATEGIC_METALS,WATCH_YELLOW_FIRST,,2025-12-12,,,,copper_price|ai_grid_demand|supply_constraint|smelting_margin_check_needed,metal_price_drop|china_demand_slowdown|no_company_fcf_mapping,structural_resource_success_candidate,missing_direct_symbol_mapping,false,"Copper demand can route research, but company-level Green still needs cost curve, margin, and FCF evidence."
korea_zinc_tender_offer_event_case,NONFERROUS_STRATEGIC_METALS,010130,Korea Zinc 공개매수 이벤트,KR,event_premium,NONFERROUS_STRATEGIC_METALS,WATCH_YELLOW_FIRST,,2024-09-13,,,,tender_offer|governance_event|strategic_metal_exposure|event_day_price_reaction,event_premium|governance_dispute|fcf_not_verified|hostile_takeover,event_premium_misclassified,needs_price_backfill,false,Tender-offer price reaction must be separated from zinc smelting and durable FCF rerating.
ds_smith_international_paper_packaging_case,PAPER_PACKAGING_CYCLE,DS_SMITH_REF,DS Smith / International Paper packaging M&A,EU,event_premium,PAPER_PACKAGING_CYCLE,WATCH_YELLOW_FIRST,,2025-04-14,,,,packaging_mna|scale_economics_candidate|competition_remedy|plant_divestment,mature_industry|regulatory_divestiture|price_pressure|low_volume,event_premium_misclassified,missing_public_price_data,false,Packaging M&A premium is not a structural spread rerating unless durable margin and cash return follow.
lg_chem_lotte_chemical_oversupply_case,CHEMICAL_SPREAD,KR_CHEMICALS_REF,LG Chem / Lotte Chemical 공급과잉,KR,4c_thesis_break,CHEMICAL_SPREAD,REDTEAM_FIRST,,,,,2025-02-07,chemical_spread_story,china_middle_east_capacity_glut|operating_loss|op_profit_collapse|spread_reversal|supply_glut,spread_recovery_false_green,needs_price_backfill,false,Chemical Green is blocked when China/Middle East capacity and spread reversal crush OP/FCF.
